front_type,budget,scheme,pair,source_family,source_best,source_run,source_solution_id,source_EP,source_HV,target_family,target_best,target_run,target_solution_id,target_EP,target_HV,distance
estimatedReferenceFronts,1000,gower_consensus_weighted,EP_vs_EP,RE3D,EP,18,1,-0.2999086875011251,0.9962704231239856,RWA3D,EP,25,1,-0.113523564973122,0.8250810839343455,0.22706444377872434
estimatedReferenceFronts,1000,gower_consensus_weighted,EP_vs_HV,RE3D,EP,18,1,-0.2999086875011251,0.9962704231239856,RWA3D,HV,15,9,-0.1074804418336295,0.8298645813884598,0.4766861643764074
estimatedReferenceFronts,1000,gower_consensus_weighted,HV_vs_EP,RE3D,HV,9,20,-0.2538412009139438,0.9974222425270856,RWA3D,EP,25,1,-0.113523564973122,0.8250810839343455,0.746459704863143
estimatedReferenceFronts,1000,gower_consensus_weighted,HV_vs_HV,RE3D,HV,9,20,-0.2538412009139438,0.9974222425270856,RWA3D,HV,15,9,-0.1074804418336295,0.8298645813884598,0.2911420956388577
estimatedReferenceFronts,1000,gower_unweighted,EP_vs_EP,RE3D,EP,18,1,-0.2999086875011251,0.9962704231239856,RWA3D,EP,25,1,-0.113523564973122,0.8250810839343455,0.2798757171328102
estimatedReferenceFronts,1000,gower_unweighted,EP_vs_HV,RE3D,EP,18,1,-0.2999086875011251,0.9962704231239856,RWA3D,HV,15,9,-0.1074804418336295,0.8298645813884598,0.3561435023727206
estimatedReferenceFronts,1000,gower_unweighted,HV_vs_EP,RE3D,HV,9,20,-0.2538412009139438,0.9974222425270856,RWA3D,EP,25,1,-0.113523564973122,0.8250810839343455,0.5065077858239797
estimatedReferenceFronts,1000,gower_unweighted,HV_vs_HV,RE3D,HV,9,20,-0.2538412009139438,0.9974222425270856,RWA3D,HV,15,9,-0.1074804418336295,0.8298645813884598,0.21906113029975047
referenceFronts,1000,gower_consensus_weighted,EP_vs_EP,RE3D,EP,16,1,0.0203258888717473,0.8496722603184311,RWA3D,EP,3,5,0.1778440209740283,0.5850047896751626,0.3057787039828225
referenceFronts,1000,gower_consensus_weighted,EP_vs_HV,RE3D,EP,16,1,0.0203258888717473,0.8496722603184311,RWA3D,HV,3,3,0.1799431077011282,0.5853406182339455,0.28455095359881616
referenceFronts,1000,gower_consensus_weighted,HV_vs_EP,RE3D,HV,27,7,0.023808342777888,0.8501032199357709,RWA3D,EP,3,5,0.1778440209740283,0.5850047896751626,0.4045178734569793
referenceFronts,1000,gower_consensus_weighted,HV_vs_HV,RE3D,HV,27,7,0.023808342777888,0.8501032199357709,RWA3D,HV,3,3,0.1799431077011282,0.5853406182339455,0.4858755517330021
referenceFronts,1000,gower_unweighted,EP_vs_EP,RE3D,EP,16,1,0.0203258888717473,0.8496722603184311,RWA3D,EP,3,5,0.1778440209740283,0.5850047896751626,0.1698137140952432
referenceFronts,1000,gower_unweighted,EP_vs_HV,RE3D,EP,16,1,0.0203258888717473,0.8496722603184311,RWA3D,HV,3,3,0.1799431077011282,0.5853406182339455,0.136660207015041
referenceFronts,1000,gower_unweighted,HV_vs_EP,RE3D,HV,27,7,0.023808342777888,0.8501032199357709,RWA3D,EP,3,5,0.1778440209740283,0.5850047896751626,0.2398922082595672
referenceFronts,1000,gower_unweighted,HV_vs_HV,RE3D,HV,27,7,0.023808342777888,0.8501032199357709,RWA3D,HV,3,3,0.1799431077011282,0.5853406182339455,0.2523406247163323
