front_type,budget,scheme,n_RE3D,n_RWA3D,within_RE3D_mean,within_RE3D_median,within_RWA3D_mean,within_RWA3D_median,between_mean,between_median,nearest_cross_RE3D_mean,nearest_cross_RE3D_median,nearest_cross_RWA3D_mean,nearest_cross_RWA3D_median,between_minus_mean_within
estimatedReferenceFronts,1000,gower_consensus_weighted,852,545,0.36031917944734515,0.365209143360183,0.32731040797086364,0.3278409613134392,0.4321838674010962,0.4338715117842457,0.18823035327146614,0.17774809485859722,0.12117491812726384,0.11925494156337445,0.08836907369199182
estimatedReferenceFronts,1000,gower_unweighted,852,545,0.3155057141865985,0.3196249403594855,0.28877199372020734,0.29620038166455565,0.3586184494367609,0.3573595321865777,0.16557029597371076,0.17046893891863157,0.12332020178476191,0.12130341168903613,0.056479595483358014
referenceFronts,1000,gower_consensus_weighted,230,237,0.3785334136508798,0.38763022481298337,0.3723786591790335,0.368048689092246,0.5239689913405101,0.5310316737489245,0.2343586145265891,0.22859887507281518,0.23938605895456092,0.2306115785355317,0.1485129549255535
referenceFronts,1000,gower_unweighted,230,237,0.2921010481284832,0.29509431817247544,0.2431533412510953,0.2424523794273924,0.30106364153011206,0.30351107631686464,0.12385749496189903,0.10903554407642702,0.09872973445238978,0.09731640446436296,0.03343644684032282
estimatedReferenceFronts,3000,gower_consensus_weighted,938,592,0.3888963867081053,0.3842098133369468,0.34915541182045934,0.34978719788057777,0.4431075533590669,0.4486764876447476,0.19139847825379855,0.19056282058002422,0.1380732681900607,0.13775618202598172,0.07408165409478457
estimatedReferenceFronts,3000,gower_unweighted,938,592,0.34558706956796076,0.34055070228519013,0.32356523842019325,0.3272806739210626,0.3876686057325781,0.3868784069994978,0.1810862343955281,0.17847730897295763,0.1449448388811043,0.14498029931437623,0.05309245173850108
referenceFronts,3000,gower_consensus_weighted,202,411,0.36407406978484336,0.34222764028976255,0.3051740760201549,0.28252074493312507,0.49540568856711176,0.5239270599990181,0.21321690018812683,0.21932262899547084,0.21064712901779747,0.21013783064547092,0.16078161566461263
referenceFronts,3000,gower_unweighted,202,411,0.2937316618921988,0.2993494155493247,0.23382039330371931,0.2354310768143319,0.33301023430901056,0.3377324264654158,0.16455787269733682,0.1816726569003464,0.12541505180702314,0.12281099538047231,0.06923420671105152
estimatedReferenceFronts,5000,gower_consensus_weighted,716,537,0.4509725544680639,0.47181150604727096,0.3472135733635477,0.3473987317158915,0.497787375977457,0.5042251926566715,0.20910747811516084,0.2268263428272138,0.09740423466934381,0.08644935777604536,0.09869431206165119
estimatedReferenceFronts,5000,gower_unweighted,716,537,0.38019746979051106,0.387867540496479,0.3259338811588334,0.3313825482902253,0.402828739346664,0.40622535649294084,0.18880725508702506,0.18106349748227624,0.15095925594411647,0.14781134679409544,0.04976306387199175
referenceFronts,5000,gower_consensus_weighted,238,451,0.3830318490858956,0.3922687445233728,0.30215824813798353,0.29331720654440163,0.49446042378571853,0.49850427918555523,0.23735317924395527,0.2447322979053843,0.23843693313328812,0.24364438265260382,0.15186537517377896
referenceFronts,5000,gower_unweighted,238,451,0.2760302348107579,0.2797370702414436,0.21583297476986676,0.2144707488579783,0.3429668605814147,0.35156872391187666,0.16893614369619225,0.1793935781087028,0.1354794099849472,0.12789256988330186,0.09703525579110234
estimatedReferenceFronts,7000,gower_consensus_weighted,667,545,0.37799843700322194,0.3780698247585552,0.3123691720092613,0.32038917722142624,0.45030721955713177,0.4693313443457668,0.20733406719101616,0.22469254506300212,0.146785518411033,0.1316298106323294,0.10512341505089012
estimatedReferenceFronts,7000,gower_unweighted,667,545,0.39032808097520516,0.40241250345825735,0.3489667312409522,0.35659405188522364,0.41509094590308243,0.4185154638846512,0.20050619130535488,0.1985638146015713,0.1689873094483629,0.16959168811863404,0.04544353979500376
referenceFronts,7000,gower_consensus_weighted,264,407,0.404075874749575,0.3963163927034673,0.38761274697653575,0.37106539271911726,0.4913125047304267,0.4886204602240356,0.19993547052361865,0.2027644439671272,0.17254680848751944,0.1702291443938032,0.09546819386737132
referenceFronts,7000,gower_unweighted,264,407,0.269760856275087,0.2729429349842014,0.23357579500826012,0.23533606313231714,0.3282249904191611,0.3282219799186265,0.15643518388763733,0.17262119168963436,0.13542398140611958,0.13452144298650204,0.07655666477748752
