scope,front_type,budget,indicator,rank,parameter_family,importance,n_samples
RE3D,referenceFronts,1000,EP,1,mutationProbabilityFactor,0.3319322604834219,230
RE3D,referenceFronts,1000,EP,2,blxAlphaBetaCrossoverBeta,0.11534541600244366,230
RE3D,referenceFronts,1000,EP,3,mutation,0.07570196594584996,230
RE3D,referenceFronts,1000,HVMinus,1,mutationProbabilityFactor,0.580298308446507,230
RE3D,referenceFronts,1000,HVMinus,2,crossoverProbability,0.06948960786003092,230
RE3D,referenceFronts,1000,HVMinus,3,nonUniformMutationPerturbation,0.05342979038602194,230
RWA3D,referenceFronts,1000,EP,1,powerLawMutationDelta,0.4466808323573922,237
RWA3D,referenceFronts,1000,EP,2,mutationProbabilityFactor,0.14760765960540778,237
RWA3D,referenceFronts,1000,EP,3,crossoverProbability,0.07584277089154297,237
RWA3D,referenceFronts,1000,HVMinus,1,powerLawMutationDelta,0.289911621721709,237
RWA3D,referenceFronts,1000,HVMinus,2,blxAlphaBetaCrossoverAlpha,0.11014741697662696,237
RWA3D,referenceFronts,1000,HVMinus,3,mutationProbabilityFactor,0.10472146318856533,237
RE3D,estimatedReferenceFronts,1000,EP,1,mutation,0.21601824321068225,852
RE3D,estimatedReferenceFronts,1000,EP,2,polynomialMutationDistributionIndex,0.16205040479046712,852
RE3D,estimatedReferenceFronts,1000,EP,3,blxAlphaBetaCrossoverBeta,0.1149608015236603,852
RE3D,estimatedReferenceFronts,1000,HVMinus,1,archiveType,0.23275181126946448,852
RE3D,estimatedReferenceFronts,1000,HVMinus,2,blxAlphaBetaCrossoverBeta,0.1410767534379495,852
RE3D,estimatedReferenceFronts,1000,HVMinus,3,mutationProbabilityFactor,0.10490281590805066,852
RWA3D,estimatedReferenceFronts,1000,EP,1,mutation,0.27020394619507193,545
RWA3D,estimatedReferenceFronts,1000,EP,2,uniformMutationPerturbation,0.2289500584422905,545
RWA3D,estimatedReferenceFronts,1000,EP,3,levyFlightMutationBeta,0.1609304864552672,545
RWA3D,estimatedReferenceFronts,1000,HVMinus,1,mutationProbabilityFactor,0.2422723352524759,545
RWA3D,estimatedReferenceFronts,1000,HVMinus,2,populationSizeWithArchive,0.10933548437391986,545
RWA3D,estimatedReferenceFronts,1000,HVMinus,3,mutationRepairStrategy,0.10880261439055033,545
