Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,1.0,72.0,1.0,4.0,5.0,0.0,4.0,0.962312788703813,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,0.9585859363102192,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.6900116709063076,3.0,NaN,NaN
100,1,1.0,31.0,1.0,0.0,4.0,0.0,8.0,0.5929591394330908,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9017683165691812,0.1750532965131395,4.0,0.8988937366038108,2.0,NaN,NaN,NaN,NaN,1.060912182272395,0.5923753886166816,NaN,2.0,NaN,87.1224142312961
100,2,1.0,65.0,1.0,4.0,1.0,0.0,4.0,0.8137675286451282,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.106618810229257,2.0,NaN,NaN,NaN,NaN,1.334494567438178,0.9185783485280075,NaN,1.0,NaN,NaN
200,0,1.0,65.0,1.0,4.0,1.0,0.0,4.0,0.8137675286451282,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.106618810229257,2.0,NaN,NaN,NaN,NaN,1.334494567438178,0.9185783485280075,NaN,1.0,NaN,NaN
200,1,1.0,94.0,1.0,4.0,5.0,0.0,4.0,0.9469101585148985,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,0.9585859363102192,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.6900116709063076,3.0,NaN,NaN
200,2,1.0,140.0,1.0,3.0,3.0,0.0,3.0,0.6836421740742931,0.0,NaN,NaN,0.8235896621104916,0.8632903462172211,NaN,NaN,NaN,NaN,NaN,NaN,5.0,0.9995948047725864,0.0,NaN,NaN,NaN,NaN,NaN,NaN,5.362912556342918,2.0,NaN,17.279145316722214
200,3,1.0,53.0,1.0,3.0,6.0,0.0,7.0,0.7478184169174718,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.499704367316407,0.865114098250023,NaN,NaN,5.0,0.7945421654627726,0.0,NaN,NaN,NaN,NaN,NaN,NaN,4.231608544816329,1.0,NaN,NaN
300,0,1.0,31.0,1.0,0.0,4.0,0.0,8.0,0.5929591394330908,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9017683165691812,0.1750532965131395,4.0,0.8988937366038108,2.0,NaN,NaN,NaN,NaN,1.060912182272395,0.5923753886166816,NaN,2.0,NaN,87.1224142312961
300,1,1.0,72.0,1.0,0.0,3.0,0.0,3.0,0.6065893896469657,2.0,NaN,NaN,0.46930351433722545,0.4909890582696647,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.146985414243832,2.0,0.5734815398113987,NaN,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
400,0,1.0,72.0,1.0,2.0,6.0,0.0,3.0,0.46091348802926113,0.0,NaN,NaN,0.528226359080734,0.7513161141158775,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.1116245066304757,2.0,0.5696758967001715,NaN,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
400,1,1.0,71.0,1.0,4.0,5.0,0.0,2.0,0.2606277924113423,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.5484708692449725,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.361338093473293,3.0,NaN,NaN
500,0,1.0,72.0,1.0,2.0,6.0,0.0,3.0,0.46091348802926113,0.0,NaN,NaN,0.528226359080734,0.7513161141158775,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.1116245066304757,2.0,0.5696758967001715,NaN,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
500,1,1.0,71.0,1.0,4.0,5.0,0.0,2.0,0.2606277924113423,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.5484708692449725,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.361338093473293,3.0,NaN,NaN
500,2,1.0,31.0,1.0,0.0,4.0,0.0,3.0,0.6113843114085469,2.0,NaN,NaN,0.4376206172777525,0.490844169844904,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.0507689327830876,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.47319776959658,3.0,NaN,NaN
500,3,1.0,71.0,1.0,3.0,5.0,0.0,3.0,0.9706522834481516,1.0,NaN,NaN,0.9882847636682575,0.8561496535837955,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.545148949492827,1.0,NaN,NaN,NaN,NaN,NaN,NaN,5.02813425307425,3.0,NaN,NaN
600,0,1.0,72.0,1.0,2.0,6.0,0.0,3.0,0.46091348802926113,0.0,NaN,NaN,0.528226359080734,0.7513161141158775,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.1116245066304757,2.0,0.5696758967001715,NaN,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
