family,front_type,budget,parameter,value,frequency_pct
RE3D,extremePointsFronts,1000,createInitialSolutions,cauchy,53.333333333333336
RE3D,extremePointsFronts,1000,createInitialSolutions,sobol,16.666666666666664
RE3D,extremePointsFronts,1000,createInitialSolutions,scatterSearch,13.333333333333334
RE3D,extremePointsFronts,1000,createInitialSolutions,latinHypercubeSampling,10.0
RE3D,extremePointsFronts,1000,createInitialSolutions,default,6.666666666666667
RE3D,referenceFronts,1000,createInitialSolutions,cauchy,53.333333333333336
RE3D,referenceFronts,1000,createInitialSolutions,latinHypercubeSampling,13.333333333333334
RE3D,referenceFronts,1000,createInitialSolutions,sobol,10.0
RE3D,referenceFronts,1000,createInitialSolutions,default,10.0
RE3D,referenceFronts,1000,createInitialSolutions,scatterSearch,6.666666666666667
RE3D,referenceFronts,1000,createInitialSolutions,oppositionBased,6.666666666666667
RE3D,extremePointsFronts,3000,createInitialSolutions,cauchy,33.33333333333333
RE3D,extremePointsFronts,3000,createInitialSolutions,default,20.0
RE3D,extremePointsFronts,3000,createInitialSolutions,scatterSearch,13.333333333333334
RE3D,extremePointsFronts,3000,createInitialSolutions,oppositionBased,13.333333333333334
RE3D,extremePointsFronts,3000,createInitialSolutions,sobol,10.0
RE3D,extremePointsFronts,3000,createInitialSolutions,latinHypercubeSampling,10.0
RE3D,referenceFronts,3000,createInitialSolutions,cauchy,30.0
RE3D,referenceFronts,3000,createInitialSolutions,oppositionBased,23.333333333333332
RE3D,referenceFronts,3000,createInitialSolutions,scatterSearch,20.0
RE3D,referenceFronts,3000,createInitialSolutions,sobol,10.0
RE3D,referenceFronts,3000,createInitialSolutions,default,10.0
RE3D,referenceFronts,3000,createInitialSolutions,latinHypercubeSampling,6.666666666666667
RE3D,extremePointsFronts,5000,createInitialSolutions,cauchy,43.333333333333336
RE3D,extremePointsFronts,5000,createInitialSolutions,sobol,16.666666666666664
RE3D,extremePointsFronts,5000,createInitialSolutions,oppositionBased,13.333333333333334
RE3D,extremePointsFronts,5000,createInitialSolutions,default,13.333333333333334
RE3D,extremePointsFronts,5000,createInitialSolutions,latinHypercubeSampling,6.666666666666667
RE3D,extremePointsFronts,5000,createInitialSolutions,scatterSearch,6.666666666666667
RE3D,referenceFronts,5000,createInitialSolutions,cauchy,30.0
RE3D,referenceFronts,5000,createInitialSolutions,sobol,20.0
RE3D,referenceFronts,5000,createInitialSolutions,scatterSearch,16.666666666666664
RE3D,referenceFronts,5000,createInitialSolutions,oppositionBased,16.666666666666664
RE3D,referenceFronts,5000,createInitialSolutions,default,13.333333333333334
RE3D,referenceFronts,5000,createInitialSolutions,latinHypercubeSampling,3.3333333333333335
RE3D,extremePointsFronts,7000,createInitialSolutions,cauchy,30.0
RE3D,extremePointsFronts,7000,createInitialSolutions,default,26.666666666666668
RE3D,extremePointsFronts,7000,createInitialSolutions,oppositionBased,20.0
RE3D,extremePointsFronts,7000,createInitialSolutions,scatterSearch,13.333333333333334
RE3D,extremePointsFronts,7000,createInitialSolutions,sobol,6.666666666666667
RE3D,extremePointsFronts,7000,createInitialSolutions,latinHypercubeSampling,3.3333333333333335
RE3D,referenceFronts,7000,createInitialSolutions,sobol,30.0
RE3D,referenceFronts,7000,createInitialSolutions,cauchy,30.0
RE3D,referenceFronts,7000,createInitialSolutions,oppositionBased,16.666666666666664
RE3D,referenceFronts,7000,createInitialSolutions,scatterSearch,13.333333333333334
RE3D,referenceFronts,7000,createInitialSolutions,default,6.666666666666667
RE3D,referenceFronts,7000,createInitialSolutions,latinHypercubeSampling,3.3333333333333335
RE3D,extremePointsFronts,1000,crossover,BLX-alpha-beta,63.33333333333333
RE3D,extremePointsFronts,1000,crossover,BLX-alpha,36.666666666666664
RE3D,referenceFronts,1000,crossover,BLX-alpha-beta,60.0
RE3D,referenceFronts,1000,crossover,BLX-alpha,33.33333333333333
RE3D,referenceFronts,1000,crossover,laplace,3.3333333333333335
RE3D,referenceFronts,1000,crossover,PCX,3.3333333333333335
RE3D,extremePointsFronts,3000,crossover,BLX-alpha-beta,46.666666666666664
RE3D,extremePointsFronts,3000,crossover,laplace,33.33333333333333
RE3D,extremePointsFronts,3000,crossover,BLX-alpha,16.666666666666664
RE3D,extremePointsFronts,3000,crossover,PCX,3.3333333333333335
RE3D,referenceFronts,3000,crossover,BLX-alpha,36.666666666666664
RE3D,referenceFronts,3000,crossover,laplace,26.666666666666668
RE3D,referenceFronts,3000,crossover,BLX-alpha-beta,23.333333333333332
RE3D,referenceFronts,3000,crossover,PCX,13.333333333333334
RE3D,extremePointsFronts,5000,crossover,laplace,50.0
RE3D,extremePointsFronts,5000,crossover,BLX-alpha-beta,36.666666666666664
RE3D,extremePointsFronts,5000,crossover,BLX-alpha,13.333333333333334
RE3D,referenceFronts,5000,crossover,laplace,50.0
RE3D,referenceFronts,5000,crossover,BLX-alpha,30.0
RE3D,referenceFronts,5000,crossover,BLX-alpha-beta,20.0
RE3D,extremePointsFronts,7000,crossover,laplace,93.33333333333333
RE3D,extremePointsFronts,7000,crossover,BLX-alpha,6.666666666666667
RE3D,referenceFronts,7000,crossover,laplace,63.33333333333333
RE3D,referenceFronts,7000,crossover,BLX-alpha-beta,23.333333333333332
RE3D,referenceFronts,7000,crossover,BLX-alpha,13.333333333333334
RE3D,extremePointsFronts,1000,mutation,levyFlight,50.0
RE3D,extremePointsFronts,1000,mutation,powerLaw,26.666666666666668
RE3D,extremePointsFronts,1000,mutation,linkedPolynomial,10.0
RE3D,extremePointsFronts,1000,mutation,uniform,6.666666666666667
RE3D,extremePointsFronts,1000,mutation,polynomial,3.3333333333333335
RE3D,extremePointsFronts,1000,mutation,nonUniform,3.3333333333333335
RE3D,referenceFronts,1000,mutation,levyFlight,40.0
RE3D,referenceFronts,1000,mutation,powerLaw,36.666666666666664
RE3D,referenceFronts,1000,mutation,nonUniform,13.333333333333334
RE3D,referenceFronts,1000,mutation,uniform,10.0
RE3D,extremePointsFronts,3000,mutation,powerLaw,50.0
RE3D,extremePointsFronts,3000,mutation,levyFlight,46.666666666666664
RE3D,extremePointsFronts,3000,mutation,polynomial,3.3333333333333335
RE3D,referenceFronts,3000,mutation,levyFlight,60.0
RE3D,referenceFronts,3000,mutation,powerLaw,30.0
RE3D,referenceFronts,3000,mutation,uniform,6.666666666666667
RE3D,referenceFronts,3000,mutation,linkedPolynomial,3.3333333333333335
RE3D,extremePointsFronts,5000,mutation,levyFlight,63.33333333333333
RE3D,extremePointsFronts,5000,mutation,powerLaw,33.33333333333333
RE3D,extremePointsFronts,5000,mutation,nonUniform,3.3333333333333335
RE3D,referenceFronts,5000,mutation,levyFlight,56.666666666666664
RE3D,referenceFronts,5000,mutation,powerLaw,43.333333333333336
RE3D,extremePointsFronts,7000,mutation,levyFlight,66.66666666666666
RE3D,extremePointsFronts,7000,mutation,powerLaw,33.33333333333333
RE3D,referenceFronts,7000,mutation,levyFlight,53.333333333333336
RE3D,referenceFronts,7000,mutation,powerLaw,46.666666666666664
RE3D,extremePointsFronts,1000,selection,boltzmann,40.0
RE3D,extremePointsFronts,1000,selection,tournament,16.666666666666664
RE3D,extremePointsFronts,1000,selection,stochasticUniversalSampling,16.666666666666664
RE3D,extremePointsFronts,1000,selection,random,13.333333333333334
RE3D,extremePointsFronts,1000,selection,ranking,13.333333333333334
RE3D,referenceFronts,1000,selection,boltzmann,40.0
RE3D,referenceFronts,1000,selection,tournament,30.0
RE3D,referenceFronts,1000,selection,stochasticUniversalSampling,16.666666666666664
RE3D,referenceFronts,1000,selection,random,6.666666666666667
RE3D,referenceFronts,1000,selection,ranking,6.666666666666667
RE3D,extremePointsFronts,3000,selection,boltzmann,40.0
RE3D,extremePointsFronts,3000,selection,ranking,30.0
RE3D,extremePointsFronts,3000,selection,tournament,16.666666666666664
RE3D,extremePointsFronts,3000,selection,stochasticUniversalSampling,10.0
RE3D,extremePointsFronts,3000,selection,random,3.3333333333333335
RE3D,referenceFronts,3000,selection,tournament,46.666666666666664
RE3D,referenceFronts,3000,selection,ranking,33.33333333333333
RE3D,referenceFronts,3000,selection,boltzmann,13.333333333333334
RE3D,referenceFronts,3000,selection,stochasticUniversalSampling,6.666666666666667
RE3D,extremePointsFronts,5000,selection,tournament,26.666666666666668
RE3D,extremePointsFronts,5000,selection,stochasticUniversalSampling,20.0
RE3D,extremePointsFronts,5000,selection,boltzmann,20.0
RE3D,extremePointsFronts,5000,selection,ranking,20.0
RE3D,extremePointsFronts,5000,selection,random,13.333333333333334
RE3D,referenceFronts,5000,selection,ranking,33.33333333333333
RE3D,referenceFronts,5000,selection,boltzmann,33.33333333333333
RE3D,referenceFronts,5000,selection,stochasticUniversalSampling,16.666666666666664
RE3D,referenceFronts,5000,selection,random,10.0
RE3D,referenceFronts,5000,selection,tournament,6.666666666666667
RE3D,extremePointsFronts,7000,selection,boltzmann,33.33333333333333
RE3D,extremePointsFronts,7000,selection,stochasticUniversalSampling,20.0
RE3D,extremePointsFronts,7000,selection,ranking,20.0
RE3D,extremePointsFronts,7000,selection,random,13.333333333333334
RE3D,extremePointsFronts,7000,selection,tournament,13.333333333333334
RE3D,referenceFronts,7000,selection,random,30.0
RE3D,referenceFronts,7000,selection,ranking,26.666666666666668
RE3D,referenceFronts,7000,selection,boltzmann,23.333333333333332
RE3D,referenceFronts,7000,selection,stochasticUniversalSampling,13.333333333333334
RE3D,referenceFronts,7000,selection,tournament,6.666666666666667
RWA3D,extremePointsFronts,1000,createInitialSolutions,cauchy,70.0
RWA3D,extremePointsFronts,1000,createInitialSolutions,default,16.666666666666664
RWA3D,extremePointsFronts,1000,createInitialSolutions,latinHypercubeSampling,6.666666666666667
RWA3D,extremePointsFronts,1000,createInitialSolutions,oppositionBased,3.3333333333333335
RWA3D,extremePointsFronts,1000,createInitialSolutions,sobol,3.3333333333333335
RWA3D,referenceFronts,1000,createInitialSolutions,cauchy,60.0
RWA3D,referenceFronts,1000,createInitialSolutions,latinHypercubeSampling,16.666666666666664
RWA3D,referenceFronts,1000,createInitialSolutions,scatterSearch,16.666666666666664
RWA3D,referenceFronts,1000,createInitialSolutions,default,6.666666666666667
RWA3D,extremePointsFronts,3000,createInitialSolutions,cauchy,63.33333333333333
RWA3D,extremePointsFronts,3000,createInitialSolutions,latinHypercubeSampling,16.666666666666664
RWA3D,extremePointsFronts,3000,createInitialSolutions,oppositionBased,13.333333333333334
RWA3D,extremePointsFronts,3000,createInitialSolutions,sobol,3.3333333333333335
RWA3D,extremePointsFronts,3000,createInitialSolutions,default,3.3333333333333335
RWA3D,referenceFronts,3000,createInitialSolutions,cauchy,70.0
RWA3D,referenceFronts,3000,createInitialSolutions,oppositionBased,10.0
RWA3D,referenceFronts,3000,createInitialSolutions,default,6.666666666666667
RWA3D,referenceFronts,3000,createInitialSolutions,scatterSearch,6.666666666666667
RWA3D,referenceFronts,3000,createInitialSolutions,latinHypercubeSampling,6.666666666666667
RWA3D,extremePointsFronts,5000,createInitialSolutions,cauchy,80.0
RWA3D,extremePointsFronts,5000,createInitialSolutions,default,10.0
RWA3D,extremePointsFronts,5000,createInitialSolutions,scatterSearch,10.0
RWA3D,referenceFronts,5000,createInitialSolutions,cauchy,86.66666666666667
RWA3D,referenceFronts,5000,createInitialSolutions,oppositionBased,10.0
RWA3D,referenceFronts,5000,createInitialSolutions,default,3.3333333333333335
RWA3D,extremePointsFronts,7000,createInitialSolutions,cauchy,53.333333333333336
RWA3D,extremePointsFronts,7000,createInitialSolutions,latinHypercubeSampling,13.333333333333334
RWA3D,extremePointsFronts,7000,createInitialSolutions,scatterSearch,10.0
RWA3D,extremePointsFronts,7000,createInitialSolutions,sobol,10.0
RWA3D,extremePointsFronts,7000,createInitialSolutions,default,10.0
RWA3D,extremePointsFronts,7000,createInitialSolutions,oppositionBased,3.3333333333333335
RWA3D,referenceFronts,7000,createInitialSolutions,cauchy,56.666666666666664
RWA3D,referenceFronts,7000,createInitialSolutions,scatterSearch,10.0
RWA3D,referenceFronts,7000,createInitialSolutions,sobol,10.0
RWA3D,referenceFronts,7000,createInitialSolutions,latinHypercubeSampling,10.0
RWA3D,referenceFronts,7000,createInitialSolutions,oppositionBased,6.666666666666667
RWA3D,referenceFronts,7000,createInitialSolutions,default,6.666666666666667
RWA3D,extremePointsFronts,1000,crossover,BLX-alpha-beta,56.666666666666664
RWA3D,extremePointsFronts,1000,crossover,BLX-alpha,43.333333333333336
RWA3D,referenceFronts,1000,crossover,BLX-alpha-beta,83.33333333333334
RWA3D,referenceFronts,1000,crossover,BLX-alpha,16.666666666666664
RWA3D,extremePointsFronts,3000,crossover,BLX-alpha-beta,60.0
RWA3D,extremePointsFronts,3000,crossover,BLX-alpha,36.666666666666664
RWA3D,extremePointsFronts,3000,crossover,laplace,3.3333333333333335
RWA3D,referenceFronts,3000,crossover,BLX-alpha-beta,53.333333333333336
RWA3D,referenceFronts,3000,crossover,BLX-alpha,46.666666666666664
RWA3D,extremePointsFronts,5000,crossover,BLX-alpha-beta,46.666666666666664
RWA3D,extremePointsFronts,5000,crossover,BLX-alpha,33.33333333333333
RWA3D,extremePointsFronts,5000,crossover,laplace,20.0
RWA3D,referenceFronts,5000,crossover,BLX-alpha-beta,60.0
RWA3D,referenceFronts,5000,crossover,BLX-alpha,23.333333333333332
RWA3D,referenceFronts,5000,crossover,SBX,6.666666666666667
RWA3D,referenceFronts,5000,crossover,PCX,3.3333333333333335
RWA3D,referenceFronts,5000,crossover,UNDC,3.3333333333333335
RWA3D,referenceFronts,5000,crossover,laplace,3.3333333333333335
RWA3D,extremePointsFronts,7000,crossover,BLX-alpha,40.0
RWA3D,extremePointsFronts,7000,crossover,BLX-alpha-beta,36.666666666666664
RWA3D,extremePointsFronts,7000,crossover,laplace,23.333333333333332
RWA3D,referenceFronts,7000,crossover,laplace,36.666666666666664
RWA3D,referenceFronts,7000,crossover,BLX-alpha,30.0
RWA3D,referenceFronts,7000,crossover,BLX-alpha-beta,30.0
RWA3D,referenceFronts,7000,crossover,SBX,3.3333333333333335
RWA3D,extremePointsFronts,1000,mutation,powerLaw,83.33333333333334
RWA3D,extremePointsFronts,1000,mutation,levyFlight,16.666666666666664
RWA3D,referenceFronts,1000,mutation,powerLaw,73.33333333333333
RWA3D,referenceFronts,1000,mutation,levyFlight,26.666666666666668
RWA3D,extremePointsFronts,3000,mutation,powerLaw,100.0
RWA3D,referenceFronts,3000,mutation,powerLaw,93.33333333333333
RWA3D,referenceFronts,3000,mutation,levyFlight,6.666666666666667
RWA3D,extremePointsFronts,5000,mutation,powerLaw,100.0
RWA3D,referenceFronts,5000,mutation,powerLaw,100.0
RWA3D,extremePointsFronts,7000,mutation,powerLaw,100.0
RWA3D,referenceFronts,7000,mutation,powerLaw,93.33333333333333
RWA3D,referenceFronts,7000,mutation,levyFlight,6.666666666666667
RWA3D,extremePointsFronts,1000,selection,ranking,40.0
RWA3D,extremePointsFronts,1000,selection,boltzmann,23.333333333333332
RWA3D,extremePointsFronts,1000,selection,stochasticUniversalSampling,20.0
RWA3D,extremePointsFronts,1000,selection,tournament,10.0
RWA3D,extremePointsFronts,1000,selection,random,6.666666666666667
