Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,0.0,NaN,NaN,1.0,1.0,0.0,5.0,0.2467569163719907,1.0,NaN,NaN,NaN,NaN,0.44027450729507767,NaN,NaN,NaN,NaN,NaN,4.0,1.5667866746519346,2.0,NaN,NaN,NaN,NaN,1.5229679844331976,0.745427698723025,NaN,0.0,3.0,NaN
200,0,0.0,NaN,NaN,1.0,1.0,0.0,5.0,0.2467569163719907,1.0,NaN,NaN,NaN,NaN,0.44027450729507767,NaN,NaN,NaN,NaN,NaN,4.0,1.5667866746519346,2.0,NaN,NaN,NaN,NaN,1.5229679844331976,0.745427698723025,NaN,0.0,3.0,NaN
200,1,1.0,34.0,1.0,1.0,2.0,0.0,1.0,0.2467569163719907,1.0,NaN,0.8494391135663976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.5667866746519346,2.0,NaN,NaN,NaN,NaN,1.5212708640816683,0.5475305786567048,NaN,0.0,9.0,NaN
300,0,0.0,NaN,NaN,1.0,1.0,0.0,5.0,0.2467569163719907,1.0,NaN,NaN,NaN,NaN,0.44027450729507767,NaN,NaN,NaN,NaN,NaN,4.0,1.5667866746519346,2.0,NaN,NaN,NaN,NaN,1.5229679844331976,0.745427698723025,NaN,0.0,3.0,NaN
300,1,1.0,34.0,1.0,1.0,2.0,0.0,1.0,0.2467569163719907,1.0,NaN,0.8494391135663976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.5667866746519346,2.0,NaN,NaN,NaN,NaN,1.5212708640816683,0.5475305786567048,NaN,0.0,9.0,NaN
300,2,1.0,46.0,1.0,4.0,4.0,0.0,4.0,0.3933138328591596,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6349670547406472,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.515223002888168,0.0,5.0,NaN
300,3,1.0,34.0,1.0,1.0,2.0,0.0,1.0,0.10583776807301346,1.0,NaN,0.4066556433594777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.005777522812356,2.0,NaN,NaN,NaN,NaN,1.3323708385748754,0.5826918873319648,NaN,1.0,NaN,NaN
400,0,1.0,10.0,0.0,0.0,7.0,0.0,3.0,0.6843945118694934,0.0,NaN,NaN,0.4319827724921261,0.9991715065970889,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.067695859986898,2.0,NaN,NaN,NaN,NaN,NaN,NaN,7.5183612240145905,2.0,NaN,73.30771485137517
400,1,1.0,46.0,1.0,4.0,4.0,0.0,4.0,0.44821103858798983,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6349670547406472,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.515223002888168,0.0,5.0,NaN
400,2,1.0,50.0,1.0,4.0,4.0,0.0,4.0,0.3933138328591596,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6349670547406472,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.515223002888168,0.0,4.0,NaN
400,3,1.0,34.0,1.0,2.0,2.0,0.0,1.0,0.2467569163719907,1.0,NaN,0.8501418282526079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.5744048320293946,2.0,NaN,NaN,NaN,NaN,1.502470771779031,0.5475305786567048,NaN,2.0,NaN,6.896786011348119
400,4,1.0,46.0,1.0,4.0,4.0,0.0,4.0,0.44821103858798983,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6349670547406472,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.515223002888168,0.0,5.0,NaN
500,0,1.0,34.0,1.0,2.0,2.0,0.0,1.0,0.2467569163719907,1.0,NaN,0.8501418282526079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.5744048320293946,2.0,NaN,NaN,NaN,NaN,1.502470771779031,0.5475305786567048,NaN,2.0,NaN,6.896786011348119
500,1,1.0,46.0,1.0,4.0,4.0,0.0,4.0,0.44821103858798983,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6349670547406472,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.515223002888168,0.0,5.0,NaN
500,2,1.0,34.0,1.0,2.0,2.0,0.0,1.0,0.45012793023957487,1.0,NaN,0.8501418282526079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.5744048320293946,2.0,NaN,NaN,NaN,NaN,NaN,NaN,7.3052805053957535,2.0,NaN,6.896786011348119
