# Evaluation: 0

# Evaluation: 100
EP=0.15369258291663573 HVMinus=-0.8477567130480186 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5923389979600567 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8693426234586007 --blxAlphaBetaCrossoverAlpha 0.8782825294015388 --mutation powerLaw --mutationProbabilityFactor 1.0785473085459387 --mutationRepairStrategy round --powerLawMutationDelta 4.007680685529535 --selection tournament --selectionTournamentSize 5 
EP=0.15341675640643368 HVMinus=-0.8458384870332749 | --algorithmResult population --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5486847959750224 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.6986598993682118 --blxAlphaBetaCrossoverAlpha 0.42149431594600606 --mutation uniform --mutationProbabilityFactor 1.8494338248840685 --mutationRepairStrategy round --uniformMutationPerturbation 0.9807037425435648 --selection tournament --selectionTournamentSize 8 
EP=0.15348064024480942 HVMinus=-0.8465517848336575 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType crowdingDistanceArchive --createInitialSolutions scatterSearch --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939390029418973 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.23653439378731278 --pcxCrossoverEta 0.7163452482901881 --mutation nonUniform --mutationProbabilityFactor 1.5100796773869722 --mutationRepairStrategy round --nonUniformMutationPerturbation 0.1749572498402956 --selection ranking 
EP=0.1545331847169423 HVMinus=-0.8484308236010093 | --algorithmResult externalArchive --populationSizeWithArchive 199 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.9991411196885149 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.49963691392602083 --mutation uniform --mutationProbabilityFactor 0.9372779674611527 --mutationRepairStrategy round --uniformMutationPerturbation 0.5989197039970681 --selection boltzmann --boltzmannTemperature 38.2889157019103 

# Evaluation: 200
EP=0.15325721473613188 HVMinus=-0.8482435282941206 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5923389979600567 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7522576959761242 --blxAlphaBetaCrossoverAlpha 0.7202768616950388 --mutation powerLaw --mutationProbabilityFactor 1.0785473085459387 --mutationRepairStrategy round --powerLawMutationDelta 5.13580141958661 --selection tournament --selectionTournamentSize 5 
EP=0.1528419912191618 HVMinus=-0.8480223529675472 | --algorithmResult population --createInitialSolutions sobol --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9991411196885149 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6976591041767998 --mutation uniform --mutationProbabilityFactor 0.9372779674611527 --mutationRepairStrategy round --uniformMutationPerturbation 0.8703629986663914 --selection boltzmann --boltzmannTemperature 38.2889157019103 
EP=0.15347819459307882 HVMinus=-0.8493599753487502 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.9722167256065906 --crossoverRepairStrategy round --fuzzyRecombinationCrossoverAlpha 0.46170818160923466 --mutation powerLaw --mutationProbabilityFactor 1.771385562196619 --mutationRepairStrategy round --powerLawMutationDelta 8.750042664312684 --selection tournament --selectionTournamentSize 6 
EP=0.1561509005049733 HVMinus=-0.8494416964871915 | --algorithmResult externalArchive --populationSizeWithArchive 51 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5323507014184817 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8812835099587045 --blxAlphaBetaCrossoverAlpha 0.7078380722621351 --mutation levyFlight --mutationProbabilityFactor 1.092469014847435 --mutationRepairStrategy round --levyFlightMutationBeta 1.5685855443404688 --levyFlightMutationStepSize 0.7133014170991583 --selection tournament --selectionTournamentSize 5 
EP=0.15187646554101655 HVMinus=-0.846383183459402 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.5340653669670965 --crossoverRepairStrategy round --laplaceCrossoverScale 0.20051714099285967 --mutation levyFlight --mutationProbabilityFactor 0.2622951729511298 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5685855443404688 --levyFlightMutationStepSize 0.45680070691436947 --selection stochasticUniversalSampling 

# Evaluation: 300
EP=0.15065839148478524 HVMinus=-0.8501061648629704 | --algorithmResult externalArchive --populationSizeWithArchive 44 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.6901458422418658 --crossoverRepairStrategy round --laplaceCrossoverScale 0.32032632989029075 --mutation levyFlight --mutationProbabilityFactor 1.1748378322243587 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5685855443404688 --levyFlightMutationStepSize 0.6899836239381363 --selection stochasticUniversalSampling 

# Evaluation: 400
EP=0.15065839148478524 HVMinus=-0.8501061648629704 | --algorithmResult externalArchive --populationSizeWithArchive 44 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.6901458422418658 --crossoverRepairStrategy round --laplaceCrossoverScale 0.32032632989029075 --mutation levyFlight --mutationProbabilityFactor 1.1748378322243587 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5685855443404688 --levyFlightMutationStepSize 0.6899836239381363 --selection stochasticUniversalSampling 
EP=0.1519600564420124 HVMinus=-0.850287155221641 | --algorithmResult externalArchive --populationSizeWithArchive 189 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5656529226586857 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.7161463420369512 --blxAlphaBetaCrossoverAlpha 0.9294310388529614 --mutation levyFlight --mutationProbabilityFactor 1.5804467590995575 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7800125629653367 --levyFlightMutationStepSize 0.09925311171041079 --selection tournament --selectionTournamentSize 9 
EP=0.15148259160084798 HVMinus=-0.8501070850551775 | --algorithmResult externalArchive --populationSizeWithArchive 46 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.530919160849059 --crossoverRepairStrategy round --mutation levyFlight --mutationProbabilityFactor 1.5890240865850127 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7967716992370877 --levyFlightMutationStepSize 0.9510806518046304 --selection stochasticUniversalSampling 

# Evaluation: 500
EP=0.15065839148478524 HVMinus=-0.8501061648629704 | --algorithmResult externalArchive --populationSizeWithArchive 44 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.6901458422418658 --crossoverRepairStrategy round --laplaceCrossoverScale 0.32032632989029075 --mutation levyFlight --mutationProbabilityFactor 1.1748378322243587 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5685855443404688 --levyFlightMutationStepSize 0.6899836239381363 --selection stochasticUniversalSampling 
EP=0.15145081592453938 HVMinus=-0.850419726028928 | --algorithmResult externalArchive --populationSizeWithArchive 60 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5560181568541099 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.7161397947936162 --blxAlphaBetaCrossoverAlpha 0.7558901898963711 --mutation levyFlight --mutationProbabilityFactor 1.0910941682273905 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5567367582925489 --levyFlightMutationStepSize 0.7074407479294007 --selection boltzmann --boltzmannTemperature 39.878039819807356 
EP=0.15578991930517994 HVMinus=-0.8505144056686501 | --algorithmResult externalArchive --populationSizeWithArchive 51 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5323507014184817 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8840453767489209 --blxAlphaBetaCrossoverAlpha 0.6722809038527577 --mutation levyFlight --mutationProbabilityFactor 1.0930643626468703 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5685855443404688 --levyFlightMutationStepSize 0.7133014170991583 --selection tournament --selectionTournamentSize 5 

# Evaluation: 600
