,PC1,PC2,PC3,PC4,PC5,PC1_abs
crossoverProbability,0.4176374361012121,-0.16897285636673426,0.14648691404230743,-0.10003735978248052,0.15851004798306503,0.4176374361012121
createInitialSolutions,0.3801351979235804,0.15404594743444983,-0.24203890173596193,0.047831096104932525,0.011452743484574812,0.3801351979235804
uniformMutationPerturbation,-0.3513415238229959,-0.1329885114355696,-0.08114234618343841,0.09879868997625972,0.14512216794869576,0.3513415238229959
sbxDistributionIndex,-0.35066443193482105,0.03634840514827606,0.0135846482417857,0.38913784911908256,-0.28544006740253103,0.35066443193482105
polynomialMutationDistributionIndex,0.3289495952221809,0.2210130504258673,-0.24155866577000304,0.10846479405708674,-0.025841177507385873,0.3289495952221809
linkedPolynomialMutationDistributionIndex,0.2725192441175722,-0.21038432394608708,0.2517987258976502,0.28332754947900995,-0.14140998112194098,0.2725192441175722
offspringPopulationSize,-0.21837200871357731,0.09797443125291297,0.4414116178246474,0.0526954102031648,0.0319085404658391,0.21837200871357731
mutationProbabilityFactor,-0.2059067573232423,-0.0013785847705603828,0.15501888765227206,-0.02498866588436484,0.6821806412229967,0.2059067573232423
blxAlphaCrossoverAlpha,0.20471172239036975,0.4306396991439409,0.05697215518836091,0.2743778215020403,0.03317912281901596,0.20471172239036975
selectionTournamentSize,-0.17981087318307756,0.45527991960183134,-0.19003346679325295,0.07211476899320995,-0.23252896117854674,0.17981087318307756
mutationRepairStrategy,0.16875659269480128,-0.028527476362384604,0.39015253573853925,0.36580866452578775,0.17057819965690907,0.16875659269480128
nonUniformMutationPerturbation,0.14218061408618024,0.39066920396041066,0.1218820711050275,0.09344699791382577,0.3049292852139055,0.14218061408618024
crossoverRepairStrategy,-0.12328724379491744,0.06713959239857435,-0.07344869248305465,0.5821954469215153,0.09576470850929426,0.12328724379491744
archiveType,0.11120970562417934,-0.14075066022225724,0.4399560135386094,0.03742338378948822,-0.4276495526111358,0.11120970562417934
populationSizeWithArchive,0.10118959858863005,-0.3560643660595747,-0.3017089544840357,0.25445735890884885,0.11100308846268458,0.10118959858863005
algorithmResult,-0.037035923086629514,0.3587962398960754,0.2759434524256438,-0.32084617769057494,-0.05939464762534091,0.037035923086629514
