,Epsilon_corr,Epsilon_pvalue,NormHV_corr,NormHV_pvalue,n_samples,is_conditional,parent_param,parent_value,abs_mean_corr
crossoverProbability,-0.7997586756875537,2.425501684741488e-13,-0.8225213858738512,1.3461746684466803e-14,55,False,,,0.8111400307807024
sbxDistributionIndex,0.7511993565417728,3.931447331277019e-11,0.7236157204793962,4.3361288469409066e-10,55,True,crossover,0.0,0.7374075385105845
populationSizeWithArchive,0.4656512096607687,0.06910182454350058,0.472399777916722,0.06464415251658555,16,True,algorithmResult,1.0,0.46902549378874536
archiveType,-0.4354003441841081,0.09186406697793284,-0.4354003441841081,0.09186406697793284,16,True,algorithmResult,1.0,0.4354003441841081
crossoverRepairStrategy,0.41035385387870676,0.0018603772576719938,0.3648037587227439,0.0061741912798244465,55,False,,,0.38757880630072533
createInitialSolutions,-0.33938034913191417,0.011250357919168378,-0.35445421112224357,0.007927632956260443,55,False,,,0.3469172801270789
selectionTournamentSize,0.3148894638044709,0.019203560273171976,0.3673944906233216,0.005792387679869754,55,True,selection,0.0,0.3411419772138963
algorithmResult,-0.3351804840620447,0.012367080801246925,-0.2794141767091848,0.038834040583691914,55,False,,,0.30729733038561474
mutationProbabilityFactor,-0.23303946485375443,0.08685372284177366,-0.25392756493429364,0.061384806372901585,55,False,,,0.24348351489402403
mutationRepairStrategy,-0.18326096399439026,0.18048711879017243,-0.23770215958259092,0.08055089204065308,55,False,,,0.2104815617884906
polynomialMutationDistributionIndex,0.12214114225631538,0.3743526568369867,0.049862634821767185,0.7177088613488813,55,True,mutation,0.0,0.08600188853904128
offspringPopulationSize,-0.008176507019882078,0.952755568483866,0.03970911431083318,0.7734691475307224,55,False,,,0.023942810665357632
