family,front_type,budget,view,quantile,n_total,n_elite,elite_id
RE3D,extremePointsFronts,1000,EP,0.05,282,15,EP_0.05
RE3D,extremePointsFronts,1000,EP,0.1,282,29,EP_0.10
RE3D,extremePointsFronts,1000,EP,0.2,282,57,EP_0.20
RE3D,extremePointsFronts,1000,HV,0.05,282,15,HV_0.05
RE3D,extremePointsFronts,1000,HV,0.1,282,29,HV_0.10
RE3D,extremePointsFronts,1000,HV,0.2,282,57,HV_0.20
RE3D,extremePointsFronts,1000,joint,0.05,282,15,joint_0.05
RE3D,extremePointsFronts,1000,joint,0.1,282,29,joint_0.10
RE3D,extremePointsFronts,1000,joint,0.2,282,57,joint_0.20
RWA3D,extremePointsFronts,1000,EP,0.05,204,11,EP_0.05
RWA3D,extremePointsFronts,1000,EP,0.1,204,21,EP_0.10
RWA3D,extremePointsFronts,1000,EP,0.2,204,41,EP_0.20
RWA3D,extremePointsFronts,1000,HV,0.05,204,11,HV_0.05
RWA3D,extremePointsFronts,1000,HV,0.1,204,21,HV_0.10
RWA3D,extremePointsFronts,1000,HV,0.2,204,41,HV_0.20
RWA3D,extremePointsFronts,1000,joint,0.05,204,11,joint_0.05
RWA3D,extremePointsFronts,1000,joint,0.1,204,21,joint_0.10
RWA3D,extremePointsFronts,1000,joint,0.2,204,41,joint_0.20
RE3D,referenceFronts,1000,EP,0.05,230,12,EP_0.05
RE3D,referenceFronts,1000,EP,0.1,230,23,EP_0.10
RE3D,referenceFronts,1000,EP,0.2,230,46,EP_0.20
RE3D,referenceFronts,1000,HV,0.05,230,12,HV_0.05
RE3D,referenceFronts,1000,HV,0.1,230,23,HV_0.10
RE3D,referenceFronts,1000,HV,0.2,230,46,HV_0.20
RE3D,referenceFronts,1000,joint,0.05,230,12,joint_0.05
RE3D,referenceFronts,1000,joint,0.1,230,23,joint_0.10
RE3D,referenceFronts,1000,joint,0.2,230,46,joint_0.20
RWA3D,referenceFronts,1000,EP,0.05,237,12,EP_0.05
RWA3D,referenceFronts,1000,EP,0.1,237,24,EP_0.10
RWA3D,referenceFronts,1000,EP,0.2,237,48,EP_0.20
RWA3D,referenceFronts,1000,HV,0.05,237,12,HV_0.05
RWA3D,referenceFronts,1000,HV,0.1,237,24,HV_0.10
RWA3D,referenceFronts,1000,HV,0.2,237,48,HV_0.20
RWA3D,referenceFronts,1000,joint,0.05,237,12,joint_0.05
RWA3D,referenceFronts,1000,joint,0.1,237,24,joint_0.10
RWA3D,referenceFronts,1000,joint,0.2,237,48,joint_0.20
RE3D,extremePointsFronts,3000,EP,0.05,286,15,EP_0.05
RE3D,extremePointsFronts,3000,EP,0.1,286,29,EP_0.10
RE3D,extremePointsFronts,3000,EP,0.2,286,58,EP_0.20
RE3D,extremePointsFronts,3000,HV,0.05,286,15,HV_0.05
RE3D,extremePointsFronts,3000,HV,0.1,286,29,HV_0.10
RE3D,extremePointsFronts,3000,HV,0.2,286,58,HV_0.20
RE3D,extremePointsFronts,3000,joint,0.05,286,15,joint_0.05
RE3D,extremePointsFronts,3000,joint,0.1,286,29,joint_0.10
RE3D,extremePointsFronts,3000,joint,0.2,286,58,joint_0.20
RWA3D,extremePointsFronts,3000,EP,0.05,257,13,EP_0.05
RWA3D,extremePointsFronts,3000,EP,0.1,257,26,EP_0.10
RWA3D,extremePointsFronts,3000,EP,0.2,257,52,EP_0.20
RWA3D,extremePointsFronts,3000,HV,0.05,257,13,HV_0.05
RWA3D,extremePointsFronts,3000,HV,0.1,257,26,HV_0.10
RWA3D,extremePointsFronts,3000,HV,0.2,257,52,HV_0.20
RWA3D,extremePointsFronts,3000,joint,0.05,257,13,joint_0.05
RWA3D,extremePointsFronts,3000,joint,0.1,257,26,joint_0.10
RWA3D,extremePointsFronts,3000,joint,0.2,257,52,joint_0.20
RE3D,referenceFronts,3000,EP,0.05,202,11,EP_0.05
RE3D,referenceFronts,3000,EP,0.1,202,21,EP_0.10
RE3D,referenceFronts,3000,EP,0.2,202,41,EP_0.20
RE3D,referenceFronts,3000,HV,0.05,202,11,HV_0.05
RE3D,referenceFronts,3000,HV,0.1,202,21,HV_0.10
RE3D,referenceFronts,3000,HV,0.2,202,41,HV_0.20
RE3D,referenceFronts,3000,joint,0.05,202,11,joint_0.05
RE3D,referenceFronts,3000,joint,0.1,202,21,joint_0.10
RE3D,referenceFronts,3000,joint,0.2,202,41,joint_0.20
RWA3D,referenceFronts,3000,EP,0.05,411,21,EP_0.05
RWA3D,referenceFronts,3000,EP,0.1,411,42,EP_0.10
RWA3D,referenceFronts,3000,EP,0.2,411,83,EP_0.20
RWA3D,referenceFronts,3000,HV,0.05,411,21,HV_0.05
RWA3D,referenceFronts,3000,HV,0.1,411,42,HV_0.10
RWA3D,referenceFronts,3000,HV,0.2,411,83,HV_0.20
RWA3D,referenceFronts,3000,joint,0.05,411,21,joint_0.05
RWA3D,referenceFronts,3000,joint,0.1,411,42,joint_0.10
RWA3D,referenceFronts,3000,joint,0.2,411,83,joint_0.20
RE3D,extremePointsFronts,5000,EP,0.05,283,15,EP_0.05
RE3D,extremePointsFronts,5000,EP,0.1,283,29,EP_0.10
RE3D,extremePointsFronts,5000,EP,0.2,283,57,EP_0.20
RE3D,extremePointsFronts,5000,HV,0.05,283,15,HV_0.05
RE3D,extremePointsFronts,5000,HV,0.1,283,29,HV_0.10
RE3D,extremePointsFronts,5000,HV,0.2,283,57,HV_0.20
RE3D,extremePointsFronts,5000,joint,0.05,283,15,joint_0.05
RE3D,extremePointsFronts,5000,joint,0.1,283,29,joint_0.10
RE3D,extremePointsFronts,5000,joint,0.2,283,57,joint_0.20
RWA3D,extremePointsFronts,5000,EP,0.05,279,14,EP_0.05
RWA3D,extremePointsFronts,5000,EP,0.1,279,28,EP_0.10
RWA3D,extremePointsFronts,5000,EP,0.2,279,56,EP_0.20
RWA3D,extremePointsFronts,5000,HV,0.05,279,14,HV_0.05
RWA3D,extremePointsFronts,5000,HV,0.1,279,28,HV_0.10
RWA3D,extremePointsFronts,5000,HV,0.2,279,56,HV_0.20
RWA3D,extremePointsFronts,5000,joint,0.05,279,14,joint_0.05
RWA3D,extremePointsFronts,5000,joint,0.1,279,28,joint_0.10
RWA3D,extremePointsFronts,5000,joint,0.2,279,56,joint_0.20
RE3D,referenceFronts,5000,EP,0.05,238,12,EP_0.05
RE3D,referenceFronts,5000,EP,0.1,238,24,EP_0.10
RE3D,referenceFronts,5000,EP,0.2,238,48,EP_0.20
RE3D,referenceFronts,5000,HV,0.05,238,12,HV_0.05
RE3D,referenceFronts,5000,HV,0.1,238,24,HV_0.10
RE3D,referenceFronts,5000,HV,0.2,238,48,HV_0.20
RE3D,referenceFronts,5000,joint,0.05,238,12,joint_0.05
RE3D,referenceFronts,5000,joint,0.1,238,24,joint_0.10
RE3D,referenceFronts,5000,joint,0.2,238,48,joint_0.20
RWA3D,referenceFronts,5000,EP,0.05,451,23,EP_0.05
