family,front_type,budget,parameter,parameter_kind,action,supported_views,recommendation_reason,recommended_value,recommended_min,recommended_max
RE3D,extremePointsFronts,1000,algorithmResult,categorical,fix,EP|HV|joint,dominant_category_repeats,externalArchive,,
RE3D,extremePointsFronts,1000,archiveType,categorical,fix,EP|HV|joint,dominant_category_repeats,unboundedArchive,,
RE3D,extremePointsFronts,1000,crossoverRepairStrategy,categorical,fix,HV|joint,dominant_category_repeats,bounds,,
RE3D,extremePointsFronts,1000,variation,categorical,fix,EP|HV|joint,dominant_category_repeats,crossoverAndMutationVariation,,
RE3D,extremePointsFronts,1000,boltzmannTemperature,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,createInitialSolutions,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,crossover,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,fuzzyRecombinationCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,laplaceCrossoverScale,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,levyFlightMutationBeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,linkedPolynomialMutationDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,mutation,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,mutationRepairStrategy,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,nonUniformMutationPerturbation,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,offspringPopulationSize,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,pcxCrossoverEta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,pcxCrossoverZeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,polynomialMutationDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,powerLawMutationDelta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,sbxDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,selection,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,selectionTournamentSize,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,undcCrossoverEta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,undcCrossoverZeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,uniformMutationPerturbation,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,1000,blxAlphaBetaCrossoverAlpha,numerical,narrow,EP|HV|joint,low_iqr_and_overlapping_centers,,0.9257122303999992,0.9790533861435315
RE3D,extremePointsFronts,1000,blxAlphaBetaCrossoverBeta,numerical,narrow,HV|joint,low_iqr_and_overlapping_centers,,0.7438735597809338,0.9097286114288801
RE3D,extremePointsFronts,1000,blxAlphaCrossoverAlpha,numerical,narrow,EP|joint,low_iqr_and_overlapping_centers,,0.8580907395965125,0.9991414880249868
RE3D,extremePointsFronts,1000,crossoverProbability,numerical,narrow,HV|joint,low_iqr_and_overlapping_centers,,0.9692278131658632,0.9998974863468664
RE3D,extremePointsFronts,1000,levyFlightMutationStepSize,numerical,narrow,HV|joint,low_iqr_and_overlapping_centers,,0.5418918739276407,0.993876537761409
RE3D,extremePointsFronts,1000,mutationProbabilityFactor,numerical,narrow,HV|joint,low_iqr_and_overlapping_centers,,0.0228989689007974,0.5278177541476936
RE3D,extremePointsFronts,1000,populationSizeWithArchive,numerical,narrow,EP|HV|joint,low_iqr_and_overlapping_centers,,14.5,23.5
RWA3D,extremePointsFronts,1000,algorithmResult,categorical,fix,EP|HV|joint,dominant_category_repeats,externalArchive,,
RWA3D,extremePointsFronts,1000,archiveType,categorical,fix,EP|HV|joint,dominant_category_repeats,unboundedArchive,,
RWA3D,extremePointsFronts,1000,createInitialSolutions,categorical,fix,HV|joint,dominant_category_repeats,cauchy,,
RWA3D,extremePointsFronts,1000,mutation,categorical,fix,EP|HV|joint,dominant_category_repeats,powerLaw,,
RWA3D,extremePointsFronts,1000,mutationRepairStrategy,categorical,fix,EP|HV|joint,dominant_category_repeats,bounds,,
RWA3D,extremePointsFronts,1000,variation,categorical,fix,EP|HV|joint,dominant_category_repeats,crossoverAndMutationVariation,,
RWA3D,extremePointsFronts,1000,blxAlphaBetaCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RWA3D,extremePointsFronts,1000,blxAlphaBetaCrossoverBeta,numerical,keep_open,,insufficient_consistency,,,
RWA3D,extremePointsFronts,1000,boltzmannTemperature,numerical,keep_open,,insufficient_consistency,,,
RWA3D,extremePointsFronts,1000,crossover,categorical,keep_open,,insufficient_consistency,,,
RWA3D,extremePointsFronts,1000,crossoverProbability,numerical,keep_open,,insufficient_consistency,,,
RWA3D,extremePointsFronts,1000,crossoverRepairStrategy,categorical,keep_open,,insufficient_consistency,,,
