family,front_type,parameter,rho,p_value,significant,n
RE3D,extremePointsFronts,blxAlphaBetaCrossoverAlpha,-0.11346018322762508,0.46336551945158,False,44
RE3D,extremePointsFronts,blxAlphaBetaCrossoverBeta,0.5385482734319944,0.0001625238126828633,True,44
RE3D,extremePointsFronts,blxAlphaCrossoverAlpha,0.1293054771315641,0.5662990497257996,False,22
RE3D,extremePointsFronts,boltzmannTemperature,0.5628517823639776,0.00015638679663895235,True,40
RE3D,extremePointsFronts,crossoverProbability,-0.3608931175776095,5.136132027454535e-05,True,120
RE3D,extremePointsFronts,levyFlightMutationBeta,-0.081192502958354,0.5104060644199727,False,68
RE3D,extremePointsFronts,levyFlightMutationStepSize,0.37256174371111195,0.0017556329049763374,True,68
RE3D,extremePointsFronts,mutationProbabilityFactor,0.3191541079241614,0.00038093669592596883,True,120
RE3D,extremePointsFronts,offspringPopulationSize,0.4448445852235378,3.574064230543892e-07,True,120
RE3D,extremePointsFronts,populationSizeWithArchive,0.5867711395135788,1.886074936498722e-12,True,120
RE3D,extremePointsFronts,powerLawMutationDelta,-0.1440652370884929,0.3566944877543674,False,43
RE3D,referenceFronts,blxAlphaBetaCrossoverAlpha,-0.18021665390086442,0.2789351519468286,False,38
RE3D,referenceFronts,blxAlphaBetaCrossoverBeta,0.33800196958091694,0.037939517824458965,True,38
RE3D,referenceFronts,blxAlphaCrossoverAlpha,0.2849503437738731,0.10237459274542239,False,34
RE3D,referenceFronts,boltzmannTemperature,0.22292780748663105,0.2123944192352814,False,33
RE3D,referenceFronts,crossoverProbability,-0.5216265018404055,1.0021963909052904e-09,True,120
RE3D,referenceFronts,levyFlightMutationBeta,-0.06067588325652842,0.6366473540703961,False,63
RE3D,referenceFronts,levyFlightMutationStepSize,0.2872983870967742,0.022426846708299357,True,63
RE3D,referenceFronts,mutationProbabilityFactor,0.39757622057087294,6.910549562512531e-06,True,120
RE3D,referenceFronts,offspringPopulationSize,0.2894741618543623,0.001342266650035192,True,120
RE3D,referenceFronts,populationSizeWithArchive,0.4844464355329175,2.066294446150969e-08,True,120
RE3D,referenceFronts,powerLawMutationDelta,-0.3904949121184089,0.006654069499299274,True,47
RWA3D,extremePointsFronts,blxAlphaBetaCrossoverAlpha,-0.16482356210058352,0.20821509212195116,False,60
RWA3D,extremePointsFronts,blxAlphaBetaCrossoverBeta,0.3395387607668798,0.007952446172280702,True,60
RWA3D,extremePointsFronts,blxAlphaCrossoverAlpha,0.04532839962997225,0.7648444911042855,False,46
RWA3D,extremePointsFronts,boltzmannTemperature,-0.20076923076923076,0.3358992064225955,False,25
RWA3D,extremePointsFronts,crossoverProbability,-0.5985624001666782,5.190626888444914e-13,True,120
RWA3D,extremePointsFronts,levyFlightMutationBeta,-0.39999999999999997,0.5046315754686911,False,5
RWA3D,extremePointsFronts,levyFlightMutationStepSize,-0.7,0.1881204043741873,False,5
RWA3D,extremePointsFronts,mutationProbabilityFactor,0.4823668310299326,2.4219798346976105e-08,True,120
RWA3D,extremePointsFronts,offspringPopulationSize,0.26691602065532044,0.0032089937046939727,True,120
RWA3D,extremePointsFronts,populationSizeWithArchive,-0.2770802633885044,0.00218609743410083,True,120
RWA3D,extremePointsFronts,powerLawMutationDelta,0.3882032667876588,1.8117607218460324e-05,True,115
RWA3D,referenceFronts,blxAlphaBetaCrossoverAlpha,-0.18567011489865248,0.12954368939379582,False,68
RWA3D,referenceFronts,blxAlphaBetaCrossoverBeta,0.2823224033286254,0.019669306211242375,True,68
RWA3D,referenceFronts,blxAlphaCrossoverAlpha,0.15294117647058825,0.38041695179822477,False,35
RWA3D,referenceFronts,boltzmannTemperature,-0.45725806451612905,0.009704165760823648,True,31
RWA3D,referenceFronts,crossoverProbability,-0.4709493714841308,5.686074536487101e-08,True,120
RWA3D,referenceFronts,levyFlightMutationBeta,-0.3706293706293707,0.2356210035126457,False,12
RWA3D,referenceFronts,levyFlightMutationStepSize,0.3636363636363637,0.2452650007307772,False,12
RWA3D,referenceFronts,mutationProbabilityFactor,0.3926453225918466,9.178348027350912e-06,True,120
RWA3D,referenceFronts,offspringPopulationSize,0.27549600239288335,0.0023230822352728257,True,120
RWA3D,referenceFronts,populationSizeWithArchive,-0.0930646208158872,0.31201777171862266,False,120
RWA3D,referenceFronts,powerLawMutationDelta,0.2356740689931121,0.014073245882295322,True,108
