# Evaluation: 0

# Evaluation: 100
EP=0.15198933488209063 HVMinus=-0.8490734163449065 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.24746469949994332 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 0.6913905083159473 --mutationRepairStrategy round --levyFlightMutationBeta 1.295562074235823 --levyFlightMutationStepSize 0.818177852263052 --selection boltzmann --boltzmannTemperature 57.576096320047995 
EP=0.151300283490108 HVMinus=-0.8481243986474263 | --algorithmResult externalArchive --populationSizeWithArchive 191 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.47875339979623077 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.6166587511563341 --blxAlphaBetaCrossoverAlpha 0.5949126394505136 --mutation uniform --mutationProbabilityFactor 0.28553445148459433 --mutationRepairStrategy bounds --uniformMutationPerturbation 0.13434973073803924 --selection stochasticUniversalSampling 

# Evaluation: 200
EP=0.15198933488209063 HVMinus=-0.8490734163449065 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.24746469949994332 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 0.6913905083159473 --mutationRepairStrategy round --levyFlightMutationBeta 1.295562074235823 --levyFlightMutationStepSize 0.818177852263052 --selection boltzmann --boltzmannTemperature 57.576096320047995 
EP=0.15143813949479723 HVMinus=-0.8485601859160984 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.24738633586280345 --crossoverRepairStrategy round --mutation levyFlight --mutationProbabilityFactor 0.6913905083159473 --mutationRepairStrategy round --levyFlightMutationBeta 1.295562074235823 --levyFlightMutationStepSize 0.818177852263052 --selection boltzmann --boltzmannTemperature 57.576096320047995 
EP=0.152344284876236 HVMinus=-0.8490807063500645 | --algorithmResult externalArchive --populationSizeWithArchive 34 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.24746469949994332 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 0.6913905083159473 --mutationRepairStrategy round --levyFlightMutationBeta 1.295562074235823 --levyFlightMutationStepSize 0.818177852263052 --selection boltzmann --boltzmannTemperature 57.576096320047995 

# Evaluation: 300
EP=0.15322769340831996 HVMinus=-0.8497783673560292 | --algorithmResult externalArchive --populationSizeWithArchive 25 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.5119332460735646 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7249065725087336 --mutation polynomial --mutationProbabilityFactor 1.5492234888551097 --mutationRepairStrategy bounds --polynomialMutationDistributionIndex 287.65302132616847 --selection ranking 
EP=0.1508681353078964 HVMinus=-0.8489821646559765 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.24746469949994332 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.278162071736917 --blxAlphaBetaCrossoverAlpha 0.6346113151256116 --mutation levyFlight --mutationProbabilityFactor 1.1599726720457455 --mutationRepairStrategy round --levyFlightMutationBeta 1.295562074235823 --levyFlightMutationStepSize 0.3663500718564401 --selection boltzmann --boltzmannTemperature 57.576096320047995 
EP=0.15117052803756267 HVMinus=-0.8497074158548585 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.24608961517640712 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.09469030761813975 --blxAlphaBetaCrossoverAlpha 0.6346113151256116 --mutation levyFlight --mutationProbabilityFactor 0.6897926833921454 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2604600829430928 --levyFlightMutationStepSize 0.8268105150314686 --selection boltzmann --boltzmannTemperature 57.576096320047995 

# Evaluation: 400
EP=0.1508681353078964 HVMinus=-0.8489821646559765 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.24746469949994332 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.278162071736917 --blxAlphaBetaCrossoverAlpha 0.6346113151256116 --mutation levyFlight --mutationProbabilityFactor 1.1599726720457455 --mutationRepairStrategy round --levyFlightMutationBeta 1.295562074235823 --levyFlightMutationStepSize 0.3663500718564401 --selection boltzmann --boltzmannTemperature 57.576096320047995 
