Evaluation,SolutionId,Configuration
100,0,--algorithmResult externalArchive --populationSizeWithArchive 150 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.42934625795061243 --crossoverRepairStrategy round --pcxCrossoverZeta 0.5630419408512535 --pcxCrossoverEta 0.4236621624298592 --mutation powerLaw --mutationProbabilityFactor 1.544245690647008 --mutationRepairStrategy bounds --powerLawMutationDelta 9.219970260233985 --selection tournament --selectionTournamentSize 3
100,1,--algorithmResult externalArchive --populationSizeWithArchive 91 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.9566451475523361 --crossoverRepairStrategy random --sbxDistributionIndex 81.86988322963295 --mutation linkedPolynomial --mutationProbabilityFactor 1.6883901103410306 --mutationRepairStrategy bounds --linkedPolynomialMutationDistributionIndex 15.02049264973966 --selection boltzmann --boltzmannTemperature 79.15194006573695
150,0,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.663938548921075 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection tournament --selectionTournamentSize 8
200,0,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.663938548921075 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection tournament --selectionTournamentSize 8
200,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection tournament --selectionTournamentSize 8
200,2,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
250,0,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection tournament --selectionTournamentSize 8
250,1,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
250,2,--algorithmResult externalArchive --populationSizeWithArchive 113 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.663938548921075 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.20075027382858046 --selection tournament --selectionTournamentSize 8
300,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
300,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
350,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
