Evaluation,SolutionId,EP,NHV
100,0,0.0172925320738546,0.009638896416292167
100,1,0.01698587574085202,0.010557702459647647
150,0,0.015592341677597836,0.008087896219657791
200,0,0.015592341677597836,0.008087896219657791
200,1,0.0158093882792846,0.007856186900771627
200,2,0.0143213888043077,0.008106135282707634
250,0,0.0158093882792846,0.007856186900771627
250,1,0.0143213888043077,0.008106135282707634
250,2,0.014980697414056129,0.007923910408992667
300,0,0.0143213888043077,0.008106135282707634
300,1,0.014380153641614305,0.007619179856922683
350,0,0.0143213888043077,0.008106135282707634
350,1,0.014380153641614305,0.007619179856922683
400,0,0.0143213888043077,0.008106135282707634
400,1,0.014380153641614305,0.007619179856922683
450,0,0.0143213888043077,0.008106135282707634
450,1,0.014380153641614305,0.007619179856922683
500,0,0.0143213888043077,0.008106135282707634
500,1,0.014380153641614305,0.007619179856922683
550,0,0.0143213888043077,0.008106135282707634
550,1,0.014380153641614305,0.007619179856922683
600,0,0.0143213888043077,0.008106135282707634
600,1,0.014380153641614305,0.007619179856922683
650,0,0.0143213888043077,0.008106135282707634
650,1,0.014380153641614305,0.007619179856922683
700,0,0.0143213888043077,0.008106135282707634
700,1,0.014380153641614305,0.007619179856922683
700,2,0.01697663168832489,0.007616287522635308
750,0,0.0143213888043077,0.008106135282707634
750,1,0.014380153641614305,0.007619179856922683
750,2,0.01697663168832489,0.007616287522635308
800,0,0.0143213888043077,0.008106135282707634
800,1,0.014380153641614305,0.007619179856922683
800,2,0.01697663168832489,0.007616287522635308
850,0,0.0143213888043077,0.008106135282707634
850,1,0.014380153641614305,0.007619179856922683
850,2,0.01697663168832489,0.007616287522635308
900,0,0.0143213888043077,0.008106135282707634
900,1,0.014380153641614305,0.007619179856922683
900,2,0.01697663168832489,0.007616287522635308
950,0,0.0143213888043077,0.008106135282707634
950,1,0.014380153641614305,0.007619179856922683
950,2,0.01697663168832489,0.007616287522635308
1000,0,0.0143213888043077,0.008106135282707634
1000,1,0.014380153641614305,0.007619179856922683
1000,2,0.016692346385078834,0.007516179741886024
1000,3,0.013275832671395862,0.00904773924772974
1050,0,0.0143213888043077,0.008106135282707634
1050,1,0.014380153641614305,0.007619179856922683
1050,2,0.016692346385078834,0.007516179741886024
1050,3,0.013275832671395862,0.00904773924772974
1100,0,0.0143213888043077,0.008106135282707634
1100,1,0.014380153641614305,0.007619179856922683
1100,2,0.016692346385078834,0.007516179741886024
1100,3,0.013275832671395862,0.00904773924772974
1150,0,0.0143213888043077,0.008106135282707634
1150,1,0.014380153641614305,0.007619179856922683
1150,2,0.016692346385078834,0.007516179741886024
1150,3,0.013275832671395862,0.00904773924772974
1200,0,0.0143213888043077,0.008106135282707634
1200,1,0.014380153641614305,0.007619179856922683
1200,2,0.016692346385078834,0.007516179741886024
