scope,front_type,budget,indicator,parameter,top_n,rest_n,top_median,top_q25,top_q75,rest_median,rest_q25,rest_q75,u_stat,p_value,significant
RE3D,referenceFronts,1000,EP,populationSizeWithArchive,23,207,20.0,19.5,24.0,25.0,18.0,37.0,1902.0,0.11384749653913569,False
RE3D,referenceFronts,1000,EP,powerLawMutationDelta,6,74,9.121873378992577,8.090345177284375,9.65939524513244,7.927999186333501,6.932209243171208,8.680252262580945,321.5,0.07052951817128304,False
RE3D,referenceFronts,1000,EP,mutationProbabilityFactor,23,207,0.6133633643254027,0.5547323398742874,0.7420082177885552,0.3896189597139894,0.2682063494785829,0.5874555590488297,3629.0,3.748908102957626e-05,True
RE3D,referenceFronts,1000,EP,crossoverProbability,23,207,0.9672295167189926,0.953167769172163,0.9916331332616134,0.9824792427058864,0.9590768343254172,0.9921108905413489,1944.5,0.15027451783481338,False
RE3D,referenceFronts,1000,HVMinus,populationSizeWithArchive,23,207,26.0,22.0,37.5,24.0,18.0,35.0,2674.0,0.3324511081173519,False
RE3D,referenceFronts,1000,HVMinus,powerLawMutationDelta,13,67,7.321520153162469,5.265243583817052,9.623423641280016,8.22666924968837,6.9753486387973,9.086611024126825,342.5,0.22764735265522773,False
RE3D,referenceFronts,1000,HVMinus,mutationProbabilityFactor,23,207,0.2095208815875896,0.17329364156907365,0.29840442735762823,0.4244441914754474,0.3141681380389185,0.6228915971450557,872.0,6.316707597307869e-07,True
RE3D,referenceFronts,1000,HVMinus,crossoverProbability,23,207,0.99241159507141,0.9787699954067248,0.9951294830671247,0.9775938239922544,0.9574717468711712,0.9909919430525553,3196.0,0.007099441918183293,True
RWA3D,referenceFronts,1000,EP,populationSizeWithArchive,24,213,35.0,28.75,39.0,33.0,23.0,40.0,2857.0,0.344868126464984,False
RWA3D,referenceFronts,1000,EP,powerLawMutationDelta,12,127,5.837598274903753,5.817002329675817,5.86374925185123,7.827632321583633,6.4347732904741,8.98001841174205,154.5,5.306338769292134e-06,True
RWA3D,referenceFronts,1000,EP,mutationProbabilityFactor,24,213,1.6203033654456418,1.4222416383580592,1.8221132102259374,1.5960052919005272,1.422143518289961,1.793157109812428,2661.0,0.7427667122057721,False
RWA3D,referenceFronts,1000,EP,crossoverProbability,24,213,0.9150080655875317,0.8576189322300991,0.9789187239179059,0.8922034605500797,0.8425894491916787,0.9583748498027626,2928.5,0.2426878108862065,False
RWA3D,referenceFronts,1000,HVMinus,populationSizeWithArchive,24,213,35.0,28.0,38.25,33.0,25.0,41.0,2482.5,0.8185053150592219,False
RWA3D,referenceFronts,1000,HVMinus,powerLawMutationDelta,23,116,9.007162110074454,8.055311719541693,9.4695627627732,6.786031077174499,6.060624700346869,8.392290300840585,2117.0,9.19319491761311e-06,True
RWA3D,referenceFronts,1000,HVMinus,mutationProbabilityFactor,24,213,1.5492386272933656,1.208204725239139,1.7615524184410567,1.600509554882412,1.426677060022558,1.7939136864618677,2291.5,0.40703882178719153,False
RWA3D,referenceFronts,1000,HVMinus,crossoverProbability,24,213,0.9399600533531485,0.8938621924309466,0.9658037528373835,0.8861511080405249,0.8322456743675964,0.9583742536441529,3407.0,0.007561180499080769,True
RE3D,extremePointsFronts,1000,EP,populationSizeWithArchive,29,253,20.0,17.0,32.0,23.0,18.0,38.0,3247.5,0.31125084432037153,False
RE3D,extremePointsFronts,1000,EP,powerLawMutationDelta,7,62,5.662629080092668,4.048616119765349,7.066138901957362,8.02425154086066,6.264187881533098,8.27882018923169,105.0,0.02666313622789369,True
RE3D,extremePointsFronts,1000,EP,mutationProbabilityFactor,29,253,0.4440030608365111,0.2565389430659677,0.7178211054064283,0.472821733750726,0.3036697715806577,0.7238314476881669,3521.0,0.7237939172975216,False
RE3D,extremePointsFronts,1000,EP,crossoverProbability,29,253,0.9674572734271352,0.8755206514839238,0.990206311575899,0.9736666246041188,0.9279566077952112,0.9868011902185504,3662.0,0.9884915222092447,False
RE3D,extremePointsFronts,1000,HVMinus,populationSizeWithArchive,29,253,19.0,17.0,22.0,24.0,19.0,39.0,2328.5,0.0012569422316918454,True
RE3D,extremePointsFronts,1000,HVMinus,powerLawMutationDelta,14,55,8.169779668747465,8.052237134646766,8.375795930328815,7.671813007240865,5.821147821389619,8.199731269672082,549.0,0.014686457135016113,True
RE3D,extremePointsFronts,1000,HVMinus,mutationProbabilityFactor,29,253,0.2764286943549209,0.1380664342811917,0.3195730427391599,0.5182478831726804,0.3356693348241009,0.7377171207601977,1342.0,2.247517582334864e-08,True
RE3D,extremePointsFronts,1000,HVMinus,crossoverProbability,29,253,0.9854332057680304,0.9843502459531488,0.9900322024505396,0.969591092173923,0.9137541193949764,0.9868011902185504,5192.0,0.00025088735381983556,True
RWA3D,extremePointsFronts,1000,EP,populationSizeWithArchive,21,183,25.0,22.0,32.0,32.0,25.0,46.0,1359.5,0.028257567842223986,True
RWA3D,extremePointsFronts,1000,EP,powerLawMutationDelta,20,157,8.497715499321515,8.071654442507622,9.00106110680239,7.915318441059189,7.411112381584693,9.06935742396511,1890.5,0.13813512601026348,False
RWA3D,extremePointsFronts,1000,EP,mutationProbabilityFactor,21,183,1.5785298317611829,1.4364396664355452,1.7210815505760886,1.5804455199141392,1.40257722185516,1.6839177277834367,1945.5,0.9269230618853495,False
RWA3D,extremePointsFronts,1000,EP,crossoverProbability,21,183,0.8382229090544212,0.7792220119007618,0.9399177686614698,0.8922740214640331,0.7726542139760761,0.9503952223154895,1722.0,0.43735483134998143,False
