# Evaluation: 0

# Evaluation: 100
EP=0.3935796526639162 HVMinus=-0.5835168520310791 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.7131567759861221 --crossoverRepairStrategy bounds --sbxDistributionIndex 356.12716626274596 --mutation powerLaw --mutationProbabilityFactor 1.7376447142896172 --mutationRepairStrategy round --powerLawMutationDelta 9.925239937478874 --selection boltzmann --boltzmannTemperature 32.782362318007905 
EP=0.3919632567624043 HVMinus=-0.5832811590451037 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.40402859926215673 --crossoverRepairStrategy round --sbxDistributionIndex 276.4707503588605 --mutation powerLaw --mutationProbabilityFactor 0.8480835182846167 --mutationRepairStrategy round --powerLawMutationDelta 6.346152231345691 --selection stochasticUniversalSampling 

# Evaluation: 200
EP=0.3919632567624043 HVMinus=-0.5832811590451037 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.40402859926215673 --crossoverRepairStrategy round --sbxDistributionIndex 276.4707503588605 --mutation powerLaw --mutationProbabilityFactor 0.8480835182846167 --mutationRepairStrategy round --powerLawMutationDelta 6.346152231345691 --selection stochasticUniversalSampling 
EP=0.39250021601401053 HVMinus=-0.584216369561347 | --algorithmResult externalArchive --populationSizeWithArchive 83 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.24348134776203012 --crossoverRepairStrategy round --fuzzyRecombinationCrossoverAlpha 0.9524087320552975 --mutation levyFlight --mutationProbabilityFactor 0.9001610388031243 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7441204161125174 --levyFlightMutationStepSize 0.7698265216522432 --selection ranking 
EP=0.3930172083365762 HVMinus=-0.5846694518837571 | --algorithmResult externalArchive --populationSizeWithArchive 136 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.007607681099525587 --crossoverRepairStrategy random --pcxCrossoverZeta 0.21098199282279095 --pcxCrossoverEta 0.445772312179452 --mutation powerLaw --mutationProbabilityFactor 0.6691474558624697 --mutationRepairStrategy bounds --powerLawMutationDelta 6.849242428774316 --selection tournament --selectionTournamentSize 6 
EP=0.3923868570333244 HVMinus=-0.5837141346230961 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.7131567759861221 --crossoverRepairStrategy bounds --sbxDistributionIndex 356.12716626274596 --mutation powerLaw --mutationProbabilityFactor 1.5309595168407004 --mutationRepairStrategy round --powerLawMutationDelta 9.925239937478874 --selection random 

# Evaluation: 300
EP=0.3919632567624043 HVMinus=-0.5832811590451037 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.40402859926215673 --crossoverRepairStrategy round --sbxDistributionIndex 276.4707503588605 --mutation powerLaw --mutationProbabilityFactor 0.8480835182846167 --mutationRepairStrategy round --powerLawMutationDelta 6.346152231345691 --selection stochasticUniversalSampling 
