# Evaluation: 0

# Evaluation: 100
EP=0.15813464887638665 HVMinus=-0.8411002380570284 | --algorithmResult population --createInitialSolutions default --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.6474916372437134 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.1474024373091853 --mutation levyFlight --mutationProbabilityFactor 1.257749813654273 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2568605913594055 --levyFlightMutationStepSize 0.21073074573614262 --selection ranking 
EP=0.15745238756858138 HVMinus=-0.8311434506213263 | --algorithmResult externalArchive --populationSizeWithArchive 154 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.8874319664652155 --crossoverRepairStrategy round --sbxDistributionIndex 261.9474366165936 --mutation powerLaw --mutationProbabilityFactor 0.5607453464830325 --mutationRepairStrategy bounds --powerLawMutationDelta 2.710762947040457 --selection boltzmann --boltzmannTemperature 74.6927733611881 

# Evaluation: 200
EP=0.15313893122725172 HVMinus=-0.8462034050778139 | --algorithmResult externalArchive --populationSizeWithArchive 104 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9906021959208857 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.7397626727368005 --blxAlphaBetaCrossoverAlpha 0.7990574269345336 --mutation linkedPolynomial --mutationProbabilityFactor 0.9238873142869342 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 373.41405800337816 --selection stochasticUniversalSampling 

# Evaluation: 300
EP=0.15313893122725172 HVMinus=-0.8462034050778139 | --algorithmResult externalArchive --populationSizeWithArchive 104 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9906021959208857 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.7397626727368005 --blxAlphaBetaCrossoverAlpha 0.7990574269345336 --mutation linkedPolynomial --mutationProbabilityFactor 0.9238873142869342 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 373.41405800337816 --selection stochasticUniversalSampling 
EP=0.15204255401163622 HVMinus=-0.8454718874728748 | --algorithmResult externalArchive --populationSizeWithArchive 103 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8133332274154957 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.7217309807392586 --blxAlphaBetaCrossoverAlpha 0.7990574269345336 --mutation linkedPolynomial --mutationProbabilityFactor 0.908827427630268 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 373.41405800337816 --selection stochasticUniversalSampling 
EP=0.15511122206917233 HVMinus=-0.8463018281668386 | --algorithmResult externalArchive --populationSizeWithArchive 104 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9906021959208857 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.7380179973526109 --blxAlphaBetaCrossoverAlpha 0.7983145413454323 --mutation linkedPolynomial --mutationProbabilityFactor 0.9238873142869342 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 373.41405800337816 --selection boltzmann --boltzmannTemperature 74.56418383286623 

# Evaluation: 400
EP=0.15121143977541562 HVMinus=-0.846349078972616 | --algorithmResult externalArchive --populationSizeWithArchive 104 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9906021959208857 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.7380179973526109 --blxAlphaBetaCrossoverAlpha 0.7983145413454323 --mutation linkedPolynomial --mutationProbabilityFactor 0.9238873142869342 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 373.41405800337816 --selection boltzmann --boltzmannTemperature 74.56418383286623 
EP=0.15612413027148406 HVMinus=-0.8466749014305629 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.6474916372437134 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7370726799038978 --pcxCrossoverEta 0.7617600215034189 --mutation powerLaw --mutationProbabilityFactor 1.2699199246117707 --mutationRepairStrategy bounds --powerLawMutationDelta 5.824646530771264 --selection ranking 
EP=0.15583604336674903 HVMinus=-0.8465981418679578 | --algorithmResult externalArchive --populationSizeWithArchive 10 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6475692573941854 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.4455598505877756 --mutation levyFlight --mutationProbabilityFactor 1.2699199246117707 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2580182103467021 --levyFlightMutationStepSize 0.21073074573614262 --selection ranking 

# Evaluation: 500
