# Evaluation: 0

# Evaluation: 100
EP=0.016334476628200256 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4442506731717786 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05205737279819389 --pcxCrossoverEta 0.8758891525067628 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8361969786425796 --levyFlightMutationStepSize 0.6703675227207986 --selection random 

# Evaluation: 200
EP=0.014688523496544996 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4442506731717786 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05205737279819389 --pcxCrossoverEta 0.8758891525067628 --mutation levyFlight --mutationProbabilityFactor 1.1267644137122272 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8361969786425796 --levyFlightMutationStepSize 0.6703675227207986 --selection random 

# Evaluation: 300
EP=0.014688523496544996 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4442506731717786 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05205737279819389 --pcxCrossoverEta 0.8758891525067628 --mutation levyFlight --mutationProbabilityFactor 1.1267644137122272 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8361969786425796 --levyFlightMutationStepSize 0.6703675227207986 --selection random 

# Evaluation: 400
EP=0.014688523496544996 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4442506731717786 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05205737279819389 --pcxCrossoverEta 0.8758891525067628 --mutation levyFlight --mutationProbabilityFactor 1.1267644137122272 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8361969786425796 --levyFlightMutationStepSize 0.6703675227207986 --selection random 

# Evaluation: 500
EP=0.014688523496544996 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4442506731717786 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05205737279819389 --pcxCrossoverEta 0.8758891525067628 --mutation levyFlight --mutationProbabilityFactor 1.1267644137122272 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8361969786425796 --levyFlightMutationStepSize 0.6703675227207986 --selection random 

# Evaluation: 600
EP=0.014688523496544996 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4442506731717786 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05205737279819389 --pcxCrossoverEta 0.8758891525067628 --mutation levyFlight --mutationProbabilityFactor 1.1267644137122272 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8361969786425796 --levyFlightMutationStepSize 0.6703675227207986 --selection random 

# Evaluation: 700
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 800
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 900
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 1000
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 1100
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 1200
