Evaluation,SolutionId,EP
100,0,0.016334476628200256
200,0,0.014688523496544996
300,0,0.014688523496544996
400,0,0.014688523496544996
500,0,0.014688523496544996
600,0,0.014688523496544996
700,0,0.01420469565632983
800,0,0.01420469565632983
900,0,0.01420469565632983
1000,0,0.01420469565632983
1100,0,0.01420469565632983
1200,0,0.01420469565632983
1300,0,0.01420469565632983
1400,0,0.01420469565632983
1500,0,0.01420469565632983
1600,0,0.013942274843943907
1700,0,0.013942274843943907
1800,0,0.013431886219509933
1900,0,0.013431886219509933
2000,0,0.013431886219509933
2100,0,0.013431886219509933
2200,0,0.013431886219509933
2300,0,0.013431886219509933
2400,0,0.013431886219509933
2500,0,0.013431886219509933
2600,0,0.013431886219509933
2700,0,0.013431886219509933
2800,0,0.013431886219509933
2900,0,0.013431886219509933
3000,0,0.013431886219509933
3000,0,0.013431886219509933
