Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.4442506731717786,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05205737279819389,0.8758891525067628,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.8361969786425796,0.6703675227207986,NaN,1.0,NaN,NaN
200,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.4442506731717786,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05205737279819389,0.8758891525067628,NaN,NaN,4.0,1.1267644137122272,2.0,NaN,NaN,NaN,NaN,1.8361969786425796,0.6703675227207986,NaN,1.0,NaN,NaN
300,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.4442506731717786,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05205737279819389,0.8758891525067628,NaN,NaN,4.0,1.1267644137122272,2.0,NaN,NaN,NaN,NaN,1.8361969786425796,0.6703675227207986,NaN,1.0,NaN,NaN
400,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.4442506731717786,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05205737279819389,0.8758891525067628,NaN,NaN,4.0,1.1267644137122272,2.0,NaN,NaN,NaN,NaN,1.8361969786425796,0.6703675227207986,NaN,1.0,NaN,NaN
500,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.4442506731717786,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05205737279819389,0.8758891525067628,NaN,NaN,4.0,1.1267644137122272,2.0,NaN,NaN,NaN,NaN,1.8361969786425796,0.6703675227207986,NaN,1.0,NaN,NaN
600,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.4442506731717786,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05205737279819389,0.8758891525067628,NaN,NaN,4.0,1.1267644137122272,2.0,NaN,NaN,NaN,NaN,1.8361969786425796,0.6703675227207986,NaN,1.0,NaN,NaN
700,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
800,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
900,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
1000,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
1100,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
1200,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
1300,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
1400,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
1500,0,1.0,97.0,1.0,1.0,7.0,0.0,7.0,0.81747235465306,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05222497940081943,0.8732566257607551,NaN,NaN,4.0,0.5959769734666824,2.0,NaN,NaN,NaN,NaN,1.3335677499326328,0.6730138458064885,NaN,1.0,NaN,NaN
1600,0,1.0,89.0,1.0,1.0,7.0,0.0,7.0,0.7459716919418495,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.6909951160987426,0.8758889296057859,NaN,NaN,4.0,0.5382312438677715,2.0,NaN,NaN,NaN,NaN,1.7148686616622693,0.6728883061181175,NaN,1.0,NaN,NaN
1700,0,1.0,89.0,1.0,1.0,7.0,0.0,7.0,0.7459716919418495,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.6909951160987426,0.8758889296057859,NaN,NaN,4.0,0.5382312438677715,2.0,NaN,NaN,NaN,NaN,1.7148686616622693,0.6728883061181175,NaN,1.0,NaN,NaN
1800,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.939512461590959,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.7028629638214491,0.8760748060163669,NaN,NaN,4.0,0.4742123742038084,2.0,NaN,NaN,NaN,NaN,1.2057910491626997,0.6731713596080662,NaN,1.0,NaN,NaN
1900,0,1.0,96.0,1.0,1.0,7.0,0.0,7.0,0.939512461590959,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.7028629638214491,0.8760748060163669,NaN,NaN,4.0,0.4742123742038084,2.0,NaN,NaN,NaN,NaN,1.2057910491626997,0.6731713596080662,NaN,1.0,NaN,NaN
