# Evaluation: 0

# Evaluation: 100
EP=0.15795294514053057 HVMinus=-0.8394115625759532 | --algorithmResult population --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.16109154477281984 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.4629184752074722 --blxAlphaBetaCrossoverAlpha 0.5811128620967182 --mutation nonUniform --mutationProbabilityFactor 1.6260951425940358 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.872462761194325 --selection tournament --selectionTournamentSize 7 
EP=0.15703045510992125 HVMinus=-0.8391419659259041 | --algorithmResult population --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.3071326196778741 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.666806580094952 --blxAlphaBetaCrossoverAlpha 0.865735297496528 --mutation nonUniform --mutationProbabilityFactor 0.725735191613474 --mutationRepairStrategy round --nonUniformMutationPerturbation 0.8394347366502987 --selection boltzmann --boltzmannTemperature 29.578207305843662 

# Evaluation: 200
EP=0.15560435623490304 HVMinus=-0.8450962726443004 | --algorithmResult externalArchive --populationSizeWithArchive 10 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.3071326196778741 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 1.3351602214853544 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.705412780439432 --levyFlightMutationStepSize 0.895053815208942 --selection boltzmann --boltzmannTemperature 11.7780721416856 
EP=0.15655082542896492 HVMinus=-0.8453628314183141 | --algorithmResult externalArchive --populationSizeWithArchive 51 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8509840806880151 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.4629184752074722 --blxAlphaBetaCrossoverAlpha 0.6051525948062606 --mutation nonUniform --mutationProbabilityFactor 1.650801568338962 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.5747092987892362 --selection tournament --selectionTournamentSize 7 

# Evaluation: 300
EP=0.15560435623490304 HVMinus=-0.8450962726443004 | --algorithmResult externalArchive --populationSizeWithArchive 10 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.3071326196778741 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 1.3351602214853544 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.705412780439432 --levyFlightMutationStepSize 0.895053815208942 --selection boltzmann --boltzmannTemperature 11.7780721416856 
EP=0.15655082542896492 HVMinus=-0.8453628314183141 | --algorithmResult externalArchive --populationSizeWithArchive 51 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8509840806880151 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.4629184752074722 --blxAlphaBetaCrossoverAlpha 0.6051525948062606 --mutation nonUniform --mutationProbabilityFactor 1.650801568338962 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.5747092987892362 --selection tournament --selectionTournamentSize 7 
EP=0.15522103172296003 HVMinus=-0.845031441936108 | --algorithmResult externalArchive --populationSizeWithArchive 12 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.33131008420205993 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 1.3351602214853544 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.705412780439432 --levyFlightMutationStepSize 0.895053815208942 --selection boltzmann --boltzmannTemperature 11.7780721416856 
