# Evaluation: 0

# Evaluation: 100
EP=0.3932290642389003 HVMinus=-0.5802178427414605 | --algorithmResult population --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7795325934634182 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7151133324317384 --blxAlphaBetaCrossoverAlpha 0.4099456107449141 --mutation levyFlight --mutationProbabilityFactor 1.0917997261502959 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.0785559461897982 --levyFlightMutationStepSize 0.5533438330859262 --selection tournament --selectionTournamentSize 3 

# Evaluation: 200
EP=0.3932290642389003 HVMinus=-0.5802178427414605 | --algorithmResult population --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7795325934634182 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7151133324317384 --blxAlphaBetaCrossoverAlpha 0.4099456107449141 --mutation levyFlight --mutationProbabilityFactor 1.0917997261502959 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.0785559461897982 --levyFlightMutationStepSize 0.5533438330859262 --selection tournament --selectionTournamentSize 3 
EP=0.39332797178339574 HVMinus=-0.5806398155207105 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.1404941905905357 --crossoverRepairStrategy bounds --sbxDistributionIndex 195.71690913049957 --mutation levyFlight --mutationProbabilityFactor 1.6202668683265111 --mutationRepairStrategy round --levyFlightMutationBeta 1.044345477386734 --levyFlightMutationStepSize 0.9665655266462572 --selection boltzmann --boltzmannTemperature 34.73364048552775 
EP=0.3938494160033785 HVMinus=-0.5817490813083825 | --algorithmResult externalArchive --populationSizeWithArchive 132 --archiveType crowdingDistanceArchive --createInitialSolutions sobol --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9710182940825097 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.35606526104017 --blxAlphaBetaCrossoverAlpha 0.8473543948508478 --mutation powerLaw --mutationProbabilityFactor 1.2854210353587403 --mutationRepairStrategy bounds --powerLawMutationDelta 4.682247990006551 --selection random 

# Evaluation: 300
EP=0.3921649254819717 HVMinus=-0.583530993561304 | --algorithmResult externalArchive --populationSizeWithArchive 92 --archiveType crowdingDistanceArchive --createInitialSolutions cauchy --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7502347693044124 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7628990916335112 --blxAlphaBetaCrossoverAlpha 0.9437729258132979 --mutation levyFlight --mutationProbabilityFactor 1.9251945016296306 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.332438668315709 --levyFlightMutationStepSize 0.731967519818163 --selection ranking 

# Evaluation: 400
EP=0.3921649254819717 HVMinus=-0.583530993561304 | --algorithmResult externalArchive --populationSizeWithArchive 92 --archiveType crowdingDistanceArchive --createInitialSolutions cauchy --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7502347693044124 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7628990916335112 --blxAlphaBetaCrossoverAlpha 0.9437729258132979 --mutation levyFlight --mutationProbabilityFactor 1.9251945016296306 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.332438668315709 --levyFlightMutationStepSize 0.731967519818163 --selection ranking 
EP=0.3929918285912468 HVMinus=-0.5837038644891154 | --algorithmResult externalArchive --populationSizeWithArchive 70 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9734003880780127 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.6139252199522611 --blxAlphaBetaCrossoverAlpha 0.31424423708747307 --mutation powerLaw --mutationProbabilityFactor 1.6149884106401926 --mutationRepairStrategy round --powerLawMutationDelta 8.109154151022063 --selection stochasticUniversalSampling 
EP=0.39300540381451293 HVMinus=-0.5839620512009744 | --algorithmResult externalArchive --populationSizeWithArchive 57 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.5782870040779684 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8836182925487776 --mutation powerLaw --mutationProbabilityFactor 0.997128331076804 --mutationRepairStrategy round --powerLawMutationDelta 9.925333809419577 --selection stochasticUniversalSampling 
EP=0.3920257622214252 HVMinus=-0.5829359124588093 | --algorithmResult externalArchive --populationSizeWithArchive 69 --archiveType crowdingDistanceArchive --createInitialSolutions cauchy --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.3868586995765486 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7628990916335112 --blxAlphaBetaCrossoverAlpha 0.9023231251151038 --mutation powerLaw --mutationProbabilityFactor 1.7326512971967698 --mutationRepairStrategy bounds --powerLawMutationDelta 9.81713973991939 --selection ranking 

# Evaluation: 500
EP=0.39172175461968023 HVMinus=-0.5843348653601547 | --algorithmResult externalArchive --populationSizeWithArchive 57 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.5782870040779684 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8843895640408017 --mutation powerLaw --mutationProbabilityFactor 0.984570720553724 --mutationRepairStrategy round --powerLawMutationDelta 9.925333809419577 --selection stochasticUniversalSampling 

# Evaluation: 600
EP=0.39172175461968023 HVMinus=-0.5843348653601547 | --algorithmResult externalArchive --populationSizeWithArchive 57 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.5782870040779684 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8843895640408017 --mutation powerLaw --mutationProbabilityFactor 0.984570720553724 --mutationRepairStrategy round --powerLawMutationDelta 9.925333809419577 --selection stochasticUniversalSampling 
