# Evaluation: 0

# Evaluation: 100
EP=0.1920408702416431 HVMinus=-0.5806432369768332 | --algorithmResult population --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.7210916489879727 --crossoverRepairStrategy round --sbxDistributionIndex 328.3099323998003 --mutation powerLaw --mutationProbabilityFactor 1.363759596819112 --mutationRepairStrategy bounds --powerLawMutationDelta 7.813828628853017 --selection ranking 
EP=0.18971904327897224 HVMinus=-0.5739557086923646 | --algorithmResult externalArchive --populationSizeWithArchive 138 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.1579266068366576 --crossoverRepairStrategy round --blxAlphaCrossoverAlpha 0.19302516543506676 --mutation nonUniform --mutationProbabilityFactor 1.6951487660767017 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.7187223299090008 --selection tournament --selectionTournamentSize 7 
EP=0.19158868806670162 HVMinus=-0.5805019524442925 | --algorithmResult externalArchive --populationSizeWithArchive 144 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover UNDC --crossoverProbability 0.018292316025055544 --crossoverRepairStrategy bounds --undcCrossoverZeta 0.6197150349653063 --undcCrossoverEta 0.3352887109014028 --mutation powerLaw --mutationProbabilityFactor 1.1995907547637419 --mutationRepairStrategy bounds --powerLawMutationDelta 7.722808043530616 --selection boltzmann --boltzmannTemperature 32.780321600068774 

# Evaluation: 200
EP=0.18745566646422093 HVMinus=-0.5816052948745943 | --algorithmResult externalArchive --populationSizeWithArchive 30 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.7954540800288105 --crossoverRepairStrategy round --pcxCrossoverZeta 0.5343471119428146 --pcxCrossoverEta 0.8455800471665148 --mutation powerLaw --mutationProbabilityFactor 1.3686991192336113 --mutationRepairStrategy round --powerLawMutationDelta 8.128952733746507 --selection boltzmann --boltzmannTemperature 49.0131281008637 
EP=0.18973906112017877 HVMinus=-0.5820439696656327 | --algorithmResult externalArchive --populationSizeWithArchive 33 --archiveType crowdingDistanceArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.3093626975506797 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7605450027237227 --pcxCrossoverEta 0.2992374430816095 --mutation powerLaw --mutationProbabilityFactor 0.689637272907628 --mutationRepairStrategy round --powerLawMutationDelta 8.771173832582603 --selection boltzmann --boltzmannTemperature 98.15623171262209 
EP=0.18637215649722128 HVMinus=-0.5813768275723968 | --algorithmResult externalArchive --populationSizeWithArchive 144 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover UNDC --crossoverProbability 0.018292316025055544 --crossoverRepairStrategy bounds --undcCrossoverZeta 0.6198939226433495 --undcCrossoverEta 0.3352887109014028 --mutation powerLaw --mutationProbabilityFactor 1.1669877187872637 --mutationRepairStrategy bounds --powerLawMutationDelta 6.059553822363614 --selection boltzmann --boltzmannTemperature 33.98710365838573 

# Evaluation: 300
EP=0.1836359505234099 HVMinus=-0.5832623512448795 | --algorithmResult externalArchive --populationSizeWithArchive 135 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.19681323485398405 --crossoverRepairStrategy round --sbxDistributionIndex 327.21807217330036 --mutation levyFlight --mutationProbabilityFactor 1.6951487660767017 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3527138792323017 --levyFlightMutationStepSize 0.48488337130743286 --selection tournament --selectionTournamentSize 7 

# Evaluation: 400
