# Evaluation: 0

# Evaluation: 100
EP=0.034193751023635206 HVMinus=-0.8467666304866679 | --algorithmResult population --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6587712295350507 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7022883768596198 --blxAlphaBetaCrossoverAlpha 0.886902051767816 --mutation powerLaw --mutationProbabilityFactor 1.7610603178520357 --mutationRepairStrategy bounds --powerLawMutationDelta 7.718765854377307 --selection tournament --selectionTournamentSize 4 
EP=0.02549872590310176 HVMinus=-0.8462158481126839 | --algorithmResult externalArchive --populationSizeWithArchive 151 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.09622340845953559 --crossoverRepairStrategy random --mutation nonUniform --mutationProbabilityFactor 1.6498984281840703 --mutationRepairStrategy round --nonUniformMutationPerturbation 0.2752135436927732 --selection boltzmann --boltzmannTemperature 37.59218052613171 

# Evaluation: 200
EP=0.025481015646434336 HVMinus=-0.8463231113126398 | --algorithmResult externalArchive --populationSizeWithArchive 151 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.09622340845953559 --crossoverRepairStrategy random --mutation nonUniform --mutationProbabilityFactor 1.6498984281840703 --mutationRepairStrategy round --nonUniformMutationPerturbation 0.2752135436927732 --selection boltzmann --boltzmannTemperature 37.59218052613171 
EP=0.028628481691495403 HVMinus=-0.8475291149228052 | --algorithmResult population --createInitialSolutions sobol --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8325479786195057 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.5769297686231671 --blxAlphaBetaCrossoverAlpha 0.6139768545856847 --mutation polynomial --mutationProbabilityFactor 1.0215371823860453 --mutationRepairStrategy random --polynomialMutationDistributionIndex 107.68141681743558 --selection boltzmann --boltzmannTemperature 57.81917233208429 
EP=0.02506887940972988 HVMinus=-0.8448043441156828 | --algorithmResult externalArchive --populationSizeWithArchive 149 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.9098298647993188 --crossoverRepairStrategy bounds --mutation powerLaw --mutationProbabilityFactor 1.4539641605068279 --mutationRepairStrategy bounds --powerLawMutationDelta 4.575575226253151 --selection ranking 

# Evaluation: 300
EP=0.02359607305954601 HVMinus=-0.8489790876072821 | --algorithmResult externalArchive --populationSizeWithArchive 92 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6589403700263743 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.9124674984062744 --blxAlphaBetaCrossoverAlpha 0.886902051767816 --mutation powerLaw --mutationProbabilityFactor 1.7610603178520357 --mutationRepairStrategy bounds --powerLawMutationDelta 7.718765854377307 --selection tournament --selectionTournamentSize 4 
EP=0.0214963818706084 HVMinus=-0.8484602571522025 | --algorithmResult externalArchive --populationSizeWithArchive 189 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.6587712295350507 --crossoverRepairStrategy bounds --fuzzyRecombinationCrossoverAlpha 0.6649600516372922 --mutation powerLaw --mutationProbabilityFactor 1.757204196636692 --mutationRepairStrategy bounds --powerLawMutationDelta 7.718765854377307 --selection tournament --selectionTournamentSize 4 

# Evaluation: 400
EP=0.019817281943338032 HVMinus=-0.8495575373576243 | --algorithmResult externalArchive --populationSizeWithArchive 151 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.0962415119361009 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 1.6486869749014106 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2785198705153178 --levyFlightMutationStepSize 0.30668658894962464 --selection boltzmann --boltzmannTemperature 37.592067452927076 
EP=0.020127528975206727 HVMinus=-0.8496437182473124 | --algorithmResult externalArchive --populationSizeWithArchive 92 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.8444904370903817 --crossoverRepairStrategy random --sbxDistributionIndex 386.28139613720316 --mutation levyFlight --mutationProbabilityFactor 1.7360053644932885 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.642504325661944 --levyFlightMutationStepSize 0.22486068551142555 --selection tournament --selectionTournamentSize 8 

# Evaluation: 500
EP=0.019817281943338032 HVMinus=-0.8495575373576243 | --algorithmResult externalArchive --populationSizeWithArchive 151 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.0962415119361009 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 1.6486869749014106 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2785198705153178 --levyFlightMutationStepSize 0.30668658894962464 --selection boltzmann --boltzmannTemperature 37.592067452927076 
EP=0.01961797035550956 HVMinus=-0.8492468865969597 | --algorithmResult externalArchive --populationSizeWithArchive 151 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.11764379607786224 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 1.6087978680611477 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3777644928449357 --levyFlightMutationStepSize 0.37734060858186524 --selection boltzmann --boltzmannTemperature 88.41923729505756 
