# Evaluation: 0

# Evaluation: 100
EP=0.03499470450730048 HVMinus=-0.8444944383359084 | --algorithmResult population --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8025827123753324 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8202690576453774 --blxAlphaBetaCrossoverAlpha 0.7411539154129299 --mutation polynomial --mutationProbabilityFactor 0.22011819202634597 --mutationRepairStrategy random --polynomialMutationDistributionIndex 289.51355826083665 --selection tournament --selectionTournamentSize 5 

# Evaluation: 200
EP=0.03126962164857184 HVMinus=-0.8410937993547432 | --algorithmResult externalArchive --populationSizeWithArchive 54 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.7184545560457501 --crossoverRepairStrategy bounds --sbxDistributionIndex 161.60973452121755 --mutation nonUniform --mutationProbabilityFactor 1.9397131318718492 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.3742487158804888 --selection tournament --selectionTournamentSize 7 
EP=0.03283562182229691 HVMinus=-0.8448923889568444 | --algorithmResult externalArchive --populationSizeWithArchive 92 --archiveType crowdingDistanceArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8025827123753324 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8077303973240957 --blxAlphaBetaCrossoverAlpha 0.7411539154129299 --mutation polynomial --mutationProbabilityFactor 0.22011819202634597 --mutationRepairStrategy random --polynomialMutationDistributionIndex 289.4345556687123 --selection tournament --selectionTournamentSize 5 

# Evaluation: 300
EP=0.029514652037058855 HVMinus=-0.8464759929443331 | --algorithmResult externalArchive --populationSizeWithArchive 92 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6543547026646293 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8221681625154028 --blxAlphaBetaCrossoverAlpha 0.7411539154129299 --mutation polynomial --mutationProbabilityFactor 0.22024005608363742 --mutationRepairStrategy random --polynomialMutationDistributionIndex 256.07987361514984 --selection tournament --selectionTournamentSize 5 
EP=0.03314089245908318 HVMinus=-0.8469777752090542 | --algorithmResult population --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9958859011640753 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8202690576453774 --blxAlphaBetaCrossoverAlpha 0.9670391334765568 --mutation polynomial --mutationProbabilityFactor 0.2738780482767017 --mutationRepairStrategy random --polynomialMutationDistributionIndex 287.7110574789925 --selection tournament --selectionTournamentSize 5 

# Evaluation: 400
EP=0.02799645020307125 HVMinus=-0.8474519625156283 | --algorithmResult externalArchive --populationSizeWithArchive 91 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6969300884073957 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8011955486413384 --blxAlphaBetaCrossoverAlpha 0.9406360508277527 --mutation nonUniform --mutationProbabilityFactor 0.0992936715167427 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.32108626850955213 --selection tournament --selectionTournamentSize 5 
EP=0.027437718697856144 HVMinus=-0.8445723352679362 | --algorithmResult externalArchive --populationSizeWithArchive 44 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8011449348594247 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.5130779964851875 --mutation nonUniform --mutationProbabilityFactor 1.7972176159912163 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.3742487158804888 --selection tournament --selectionTournamentSize 5 

# Evaluation: 500
EP=0.025064500180095792 HVMinus=-0.8481620880697157 | --algorithmResult externalArchive --populationSizeWithArchive 91 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8028050783579114 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8011955486413384 --blxAlphaBetaCrossoverAlpha 0.9406360508277527 --mutation nonUniform --mutationProbabilityFactor 0.0992936715167427 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.32108626850955213 --selection tournament --selectionTournamentSize 5 

# Evaluation: 600
EP=0.025064500180095792 HVMinus=-0.8481620880697157 | --algorithmResult externalArchive --populationSizeWithArchive 91 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8028050783579114 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8011955486413384 --blxAlphaBetaCrossoverAlpha 0.9406360508277527 --mutation nonUniform --mutationProbabilityFactor 0.0992936715167427 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.32108626850955213 --selection tournament --selectionTournamentSize 5 
EP=0.025742663439386717 HVMinus=-0.8485138702540488 | --algorithmResult externalArchive --populationSizeWithArchive 91 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8009465748120155 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8011955486413384 --blxAlphaBetaCrossoverAlpha 0.9406360508277527 --mutation nonUniform --mutationProbabilityFactor 0.051279014782282424 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.32108626850955213 --selection tournament --selectionTournamentSize 7 
EP=0.024499515698748413 HVMinus=-0.8479630674759179 | --algorithmResult externalArchive --populationSizeWithArchive 82 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8021893653588763 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.6837668300021781 --blxAlphaBetaCrossoverAlpha 0.7645487225981193 --mutation nonUniform --mutationProbabilityFactor 0.08079246894941428 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.6061518504267207 --selection tournament --selectionTournamentSize 4 
