Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII-Std,RE21,EP,0,0.015138221768533966
NSGAII-Std,RE21,EP,1,0.013277507527024113
NSGAII-Std,RE21,EP,2,0.017602501267434012
NSGAII-Std,RE21,EP,3,0.013664818591098665
NSGAII-Std,RE21,EP,4,0.01295981879897029
NSGAII-Std,RE21,EP,5,0.01681962421074884
NSGAII-Std,RE21,EP,6,0.020751452680000892
NSGAII-Std,RE21,EP,7,0.011682663057043574
NSGAII-Std,RE21,EP,8,0.011625897630880289
NSGAII-Std,RE21,EP,9,0.011945398200092883
NSGAII-Std,RE21,EP,10,0.01433547635246274
NSGAII-Std,RE21,EP,11,0.015401961414638787
NSGAII-Std,RE21,EP,12,0.013525132439104137
NSGAII-Std,RE21,EP,13,0.012794015419077764
NSGAII-Std,RE21,EP,14,0.015156770525950769
NSGAII-Std,RE21,EP,15,0.0150332290170197
NSGAII-Std,RE21,EP,16,0.012999824798814563
NSGAII-Std,RE21,EP,17,0.01477336459098972
NSGAII-Std,RE21,EP,18,0.02000122921006181
NSGAII-Std,RE21,EP,19,0.012642129067833963
NSGAII-Std,RE21,EP,20,0.014516110611022676
NSGAII-Std,RE21,EP,21,0.015473979600359136
NSGAII-Std,RE21,EP,22,0.01930374357239839
NSGAII-Std,RE21,EP,23,0.016255224230889875
NSGAII-Std,RE21,EP,24,0.012826834185681008
NSGAII-Std,RE21,EP,25,0.01705812476203586
NSGAII-Std,RE21,EP,26,0.016859867198829592
NSGAII-Std,RE21,EP,27,0.014107176118485554
NSGAII-Std,RE21,EP,28,0.012915161139397294
NSGAII-Std,RE21,EP,29,0.015062585298912454
NSGAII-Std,RE22,EP,0,0.014074606407213475
NSGAII-Std,RE22,EP,1,0.013556383971315075
NSGAII-Std,RE22,EP,2,0.015164074190172239
NSGAII-Std,RE22,EP,3,0.015661492713195835
NSGAII-Std,RE22,EP,4,0.018295076999526705
NSGAII-Std,RE22,EP,5,0.013109469545786845
NSGAII-Std,RE22,EP,6,0.02248841224356163
NSGAII-Std,RE22,EP,7,0.014329074755029259
NSGAII-Std,RE22,EP,8,0.013701124117206948
NSGAII-Std,RE22,EP,9,0.01597859602471735
NSGAII-Std,RE22,EP,10,0.01636874729219151
NSGAII-Std,RE22,EP,11,0.013724014099649073
NSGAII-Std,RE22,EP,12,0.016253935141198994
NSGAII-Std,RE22,EP,13,0.019920496036050728
NSGAII-Std,RE22,EP,14,0.016492235872865413
NSGAII-Std,RE22,EP,15,0.01641686549282617
NSGAII-Std,RE22,EP,16,0.016923854815712625
NSGAII-Std,RE22,EP,17,0.01919879065307517
NSGAII-Std,RE22,EP,18,0.014908667626361893
NSGAII-Std,RE22,EP,19,0.017791403136320827
NSGAII-Std,RE22,EP,20,0.0312796089642553
NSGAII-Std,RE22,EP,21,0.017130903290657917
NSGAII-Std,RE22,EP,22,0.020814589852370637
NSGAII-Std,RE22,EP,23,0.013760411769698555
NSGAII-Std,RE22,EP,24,0.019858783844733024
NSGAII-Std,RE22,EP,25,0.028544856206785575
NSGAII-Std,RE22,EP,26,0.0160275643746991
NSGAII-Std,RE22,EP,27,0.01429580979289391
NSGAII-Std,RE22,EP,28,0.013787318109806157
NSGAII-Std,RE22,EP,29,0.019053320473043034
NSGAII-Std,RE23,EP,0,0.0060047524080285245
NSGAII-Std,RE23,EP,1,0.00912146187575695
NSGAII-Std,RE23,EP,2,0.0075813669373017145
NSGAII-Std,RE23,EP,3,0.0068807607023874395
NSGAII-Std,RE23,EP,4,0.005228284358025803
NSGAII-Std,RE23,EP,5,0.0037805320459978822
NSGAII-Std,RE23,EP,6,0.005616434260287764
NSGAII-Std,RE23,EP,7,0.0072996444029678476
NSGAII-Std,RE23,EP,8,0.0033921651179850544
NSGAII-Std,RE23,EP,9,0.0036942492551240514
NSGAII-Std,RE23,EP,10,0.007462675852673559
NSGAII-Std,RE23,EP,11,0.005492537062781305
NSGAII-Std,RE23,EP,12,0.005908002729498164
NSGAII-Std,RE23,EP,13,0.003550334799296547
NSGAII-Std,RE23,EP,14,0.007243527867062907
NSGAII-Std,RE23,EP,15,0.007423166753161986
NSGAII-Std,RE23,EP,16,0.003979149786467639
NSGAII-Std,RE23,EP,17,0.007297877270024497
NSGAII-Std,RE23,EP,18,0.006700106493590319
NSGAII-Std,RE23,EP,19,0.006458683997429521
NSGAII-Std,RE23,EP,20,0.004352591605687472
NSGAII-Std,RE23,EP,21,0.00344251919994713
NSGAII-Std,RE23,EP,22,0.007502616873098569
NSGAII-Std,RE23,EP,23,0.004493703774099649
NSGAII-Std,RE23,EP,24,0.0059338570135208935
NSGAII-Std,RE23,EP,25,0.00834401611731378
NSGAII-Std,RE23,EP,26,0.005042853699073126
NSGAII-Std,RE23,EP,27,0.005546442533817138
NSGAII-Std,RE23,EP,28,0.0053869700724554674
NSGAII-Std,RE23,EP,29,0.008771755430225556
NSGAII-Std,RE24,EP,0,0.010152945891392477
NSGAII-Std,RE24,EP,1,0.012886627708771775
NSGAII-Std,RE24,EP,2,0.01264682280988561
NSGAII-Std,RE24,EP,3,0.010163505352938404
NSGAII-Std,RE24,EP,4,0.0107907940254372
NSGAII-Std,RE24,EP,5,0.011003077291052564
NSGAII-Std,RE24,EP,6,0.020736660793069767
NSGAII-Std,RE24,EP,7,0.010108551934456755
NSGAII-Std,RE24,EP,8,0.017194983219311566
NSGAII-Std,RE24,EP,9,0.014770988706863457
NSGAII-Std,RE24,EP,10,0.011774058945107755
NSGAII-Std,RE24,EP,11,0.008730030628136154
NSGAII-Std,RE24,EP,12,0.012496619421947408
NSGAII-Std,RE24,EP,13,0.009761029275770161
NSGAII-Std,RE24,EP,14,0.015495652107905251
NSGAII-Std,RE24,EP,15,0.009233372154032651
NSGAII-Std,RE24,EP,16,0.011781886558008298
NSGAII-Std,RE24,EP,17,0.011003879044931969
NSGAII-Std,RE24,EP,18,0.008839529549081043
NSGAII-Std,RE24,EP,19,0.011293033776533457
NSGAII-Std,RE24,EP,20,0.014746304481080469
NSGAII-Std,RE24,EP,21,0.011037236465564502
NSGAII-Std,RE24,EP,22,0.008595458359310595
NSGAII-Std,RE24,EP,23,0.007038911436141659
NSGAII-Std,RE24,EP,24,0.014874193656045066
NSGAII-Std,RE24,EP,25,0.008127294265901773
NSGAII-Std,RE24,EP,26,0.010058733041002757
NSGAII-Std,RE24,EP,27,0.00961782646371799
NSGAII-Std,RE24,EP,28,0.008076547462569361
NSGAII-Std,RE24,EP,29,0.014029885351430668
NSGAII-Std,RE25,EP,0,7.922997494695934E-9
NSGAII-Std,RE25,EP,1,1.1480369217179972E-8
NSGAII-Std,RE25,EP,2,8.375168173887534E-9
NSGAII-Std,RE25,EP,3,1.4594988069464499E-8
NSGAII-Std,RE25,EP,4,1.1154596371829451E-8
NSGAII-Std,RE25,EP,5,7.860135658320127E-9
NSGAII-Std,RE25,EP,6,8.939697826467661E-9
NSGAII-Std,RE25,EP,7,6.788198866170834E-9
NSGAII-Std,RE25,EP,8,8.169002204884292E-9
NSGAII-Std,RE25,EP,9,8.720676536245155E-9
NSGAII-Std,RE25,EP,10,6.5872038988577316E-9
NSGAII-Std,RE25,EP,11,8.394161716182309E-9
NSGAII-Std,RE25,EP,12,1.0542668882463042E-8
NSGAII-Std,RE25,EP,13,6.80696254320531E-9
NSGAII-Std,RE25,EP,14,9.70231667033986E-9
NSGAII-Std,RE25,EP,15,8.702551225918359E-9
NSGAII-Std,RE25,EP,16,8.533916640110953E-9
NSGAII-Std,RE25,EP,17,7.491366674049511E-9
NSGAII-Std,RE25,EP,18,9.672387508400355E-9
NSGAII-Std,RE25,EP,19,8.939697826467661E-9
NSGAII-Std,RE25,EP,20,7.698041323435438E-9
NSGAII-Std,RE25,EP,21,8.577769767774177E-9
NSGAII-Std,RE25,EP,22,9.903448765699523E-9
NSGAII-Std,RE25,EP,23,8.310328300612984E-9
NSGAII-Std,RE25,EP,24,1.0529710183536432E-8
NSGAII-Std,RE25,EP,25,6.246684102468495E-9
NSGAII-Std,RE25,EP,26,6.996899026115664E-9
NSGAII-Std,RE25,EP,27,8.098250260097247E-9
NSGAII-Std,RE25,EP,28,8.136225069775884E-9
NSGAII-Std,RE25,EP,29,7.173264492102623E-9
NSGAII-Std,RE31,EP,0,7.405346102115993E-4
NSGAII-Std,RE31,EP,1,7.389863420783929E-4
NSGAII-Std,RE31,EP,2,8.394370544996814E-4
NSGAII-Std,RE31,EP,3,2.965365722021135E-4
NSGAII-Std,RE31,EP,4,2.154255179051892E-4
NSGAII-Std,RE31,EP,5,2.4075190864393894E-4
NSGAII-Std,RE31,EP,6,2.1577210986410797E-4
NSGAII-Std,RE31,EP,7,2.3172166233048275E-4
NSGAII-Std,RE31,EP,8,3.186838014887372E-4
NSGAII-Std,RE31,EP,9,3.555457870966223E-4
NSGAII-Std,RE31,EP,10,2.74631923996921E-4
NSGAII-Std,RE31,EP,11,2.3062744927829454E-4
NSGAII-Std,RE31,EP,12,4.7946224355625725E-4
NSGAII-Std,RE31,EP,13,2.643159922330619E-4
NSGAII-Std,RE31,EP,14,2.653276213900698E-4
NSGAII-Std,RE31,EP,15,2.338404956931706E-4
NSGAII-Std,RE31,EP,16,2.851259050167595E-4
NSGAII-Std,RE31,EP,17,2.1461318274468253E-4
NSGAII-Std,RE31,EP,18,3.104976398151925E-4
NSGAII-Std,RE31,EP,19,2.1186766323202168E-4
NSGAII-Std,RE31,EP,20,2.302337630588602E-4
NSGAII-Std,RE31,EP,21,2.4970848652969974E-4
NSGAII-Std,RE31,EP,22,2.2825208276251477E-4
NSGAII-Std,RE31,EP,23,2.276303982830378E-4
NSGAII-Std,RE31,EP,24,2.185331108144071E-4
NSGAII-Std,RE31,EP,25,2.0989884158003987E-4
NSGAII-Std,RE31,EP,26,2.2849681371602006E-4
