front_type,budget,parameter_family,EP,HVMinus,mean_weight
estimatedReferenceFronts,1000,algorithmResult,0.0014313865697719,0.0047720256275599,0.0031017060986659054
estimatedReferenceFronts,1000,populationSizeWithArchive,0.03622520266587,0.0721838844839281,0.05420454357489914
estimatedReferenceFronts,1000,archiveType,0.0038211214146181,0.1168092057279241,0.060315163571271195
estimatedReferenceFronts,1000,createInitialSolutions,0.0052410602162062,0.0247655830881575,0.015003321652181874
estimatedReferenceFronts,1000,offspringPopulationSize,0.006101052360395,0.0180355670177947,0.01206830968909487
estimatedReferenceFronts,1000,variation,0.0,0.0,0.0
estimatedReferenceFronts,1000,crossover,0.0198696885751275,0.0426952106855514,0.03128244963033951
estimatedReferenceFronts,1000,crossoverProbability,0.029494928490613,0.0760119083197679,0.05275341840519054
estimatedReferenceFronts,1000,crossoverRepairStrategy,0.0027211236366776,0.0302454540994816,0.016483288868079628
estimatedReferenceFronts,1000,sbxDistributionIndex,2.4624532102700418e-06,0.0021176174091189,0.0010600399311645867
estimatedReferenceFronts,1000,blxAlphaCrossoverAlpha,0.002890591841952,0.013412507477704,0.008151549659828014
estimatedReferenceFronts,1000,blxAlphaBetaCrossoverBeta,0.0626143081672409,0.0733595864514165,0.0679869473093288
estimatedReferenceFronts,1000,blxAlphaBetaCrossoverAlpha,0.0431950525712647,0.0145007103097067,0.028847881440485747
estimatedReferenceFronts,1000,laplaceCrossoverScale,1.3109473617745117e-06,0.0116134947774544,0.005807402862408097
estimatedReferenceFronts,1000,fuzzyRecombinationCrossoverAlpha,0.0013623413795141,0.0027766253218267,0.0020694833506704033
estimatedReferenceFronts,1000,pcxCrossoverZeta,0.0118618194480505,0.0495235732414092,0.030692696344729903
estimatedReferenceFronts,1000,pcxCrossoverEta,0.0107054671662684,0.0522847539390762,0.03149511055267236
estimatedReferenceFronts,1000,undcCrossoverZeta,0.0001949335834493,0.0044212106656504,0.002308072124549854
estimatedReferenceFronts,1000,undcCrossoverEta,0.0002542334697593,0.0069222404392043,0.003588236954481806
estimatedReferenceFronts,1000,mutation,0.243111094702877,0.0086129057937228,0.12586200024830013
estimatedReferenceFronts,1000,mutationProbabilityFactor,0.0930091116254282,0.1735875755802632,0.13329834360284593
estimatedReferenceFronts,1000,mutationRepairStrategy,0.0138247789424746,0.0553658758206173,0.034595327381546005
estimatedReferenceFronts,1000,uniformMutationPerturbation,0.1259474516024358,0.0011432246534326,0.06354533812793432
estimatedReferenceFronts,1000,polynomialMutationDistributionIndex,0.0810252023952335,0.0045414948697602,0.04278334863249692
estimatedReferenceFronts,1000,linkedPolynomialMutationDistributionIndex,0.0377099937443758,1.6426928743664692e-05,0.018863210336559764
estimatedReferenceFronts,1000,nonUniformMutationPerturbation,7.168625583234239e-07,2.3416723836724958e-07,4.755148983453375e-07
estimatedReferenceFronts,1000,levyFlightMutationBeta,0.0821954083636551,0.0169938345406407,0.049594621452147984
estimatedReferenceFronts,1000,levyFlightMutationStepSize,0.0151205484522405,0.0286815862991688,0.02190106737570469
estimatedReferenceFronts,1000,powerLawMutationDelta,0.0410934953197212,0.0247209615237094,0.032907228421715354
estimatedReferenceFronts,1000,selection,0.0175349679148545,0.0116823011822735,0.014608634548564023
estimatedReferenceFronts,1000,selectionTournamentSize,0.007411256661512,0.0548956366558068,0.031153446658659455
estimatedReferenceFronts,1000,boltzmannTemperature,0.0040278884552813,0.0033067829018885,0.003667335678584906
