# Evaluation: 0

# Evaluation: 100
EP=0.04510373354641371 HVMinus=-0.8366629614693485 | --algorithmResult population --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.825535954231576 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.3247227611670144 --mutation levyFlight --mutationProbabilityFactor 1.1168194321445701 --mutationRepairStrategy round --levyFlightMutationBeta 1.1548858742596093 --levyFlightMutationStepSize 0.8414263203332618 --selection stochasticUniversalSampling 
EP=0.044016970987267305 HVMinus=-0.8354454631107261 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.4616412313919003 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6875008551267421 --mutation polynomial --mutationProbabilityFactor 1.213454004350353 --mutationRepairStrategy bounds --polynomialMutationDistributionIndex 215.78190865192545 --selection tournament --selectionTournamentSize 3 

# Evaluation: 200
EP=0.03052581998868768 HVMinus=-0.8468820237053244 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9983998138442919 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.9307234652659475 --blxAlphaBetaCrossoverAlpha 0.966933645544471 --mutation nonUniform --mutationProbabilityFactor 0.6339927167928165 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.3123829851690053 --selection tournament --selectionTournamentSize 9 

# Evaluation: 300
EP=0.03052581998868768 HVMinus=-0.8468820237053244 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9983998138442919 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.9307234652659475 --blxAlphaBetaCrossoverAlpha 0.966933645544471 --mutation nonUniform --mutationProbabilityFactor 0.6339927167928165 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.3123829851690053 --selection tournament --selectionTournamentSize 9 

# Evaluation: 400
EP=0.02557178018494752 HVMinus=-0.8471591678719375 | --algorithmResult externalArchive --populationSizeWithArchive 141 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8387594928682672 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6875008551267421 --mutation uniform --mutationProbabilityFactor 1.213454004350353 --mutationRepairStrategy bounds --uniformMutationPerturbation 0.9962771732408767 --selection tournament --selectionTournamentSize 8 

# Evaluation: 500
