family,front_type,budget,parameter,parameter_kind,action,supported_views,recommendation_reason,recommended_value,recommended_min,recommended_max
RE3D,extremePointsFronts,3000,algorithmResult,categorical,fix,EP|HV|joint,dominant_category_repeats,externalArchive,,
RE3D,extremePointsFronts,3000,archiveType,categorical,fix,EP|HV|joint,dominant_category_repeats,unboundedArchive,,
RE3D,extremePointsFronts,3000,crossover,categorical,fix,EP|joint,dominant_category_repeats,laplace,,
RE3D,extremePointsFronts,3000,crossoverRepairStrategy,categorical,fix,HV|joint,dominant_category_repeats,bounds,,
RE3D,extremePointsFronts,3000,variation,categorical,fix,EP|HV|joint,dominant_category_repeats,crossoverAndMutationVariation,,
RE3D,extremePointsFronts,3000,blxAlphaBetaCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,blxAlphaBetaCrossoverBeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,blxAlphaCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,boltzmannTemperature,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,createInitialSolutions,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,fuzzyRecombinationCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,levyFlightMutationStepSize,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,linkedPolynomialMutationDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,mutation,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,mutationProbabilityFactor,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,mutationRepairStrategy,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,nonUniformMutationPerturbation,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,offspringPopulationSize,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,pcxCrossoverEta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,pcxCrossoverZeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,polynomialMutationDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,populationSizeWithArchive,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,sbxDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,selection,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,selectionTournamentSize,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,undcCrossoverEta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,undcCrossoverZeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,uniformMutationPerturbation,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,3000,crossoverProbability,numerical,narrow,HV|joint,low_iqr_and_overlapping_centers,,0.7321219211923939,0.9988056279031728
RE3D,extremePointsFronts,3000,laplaceCrossoverScale,numerical,narrow,EP|HV|joint,low_iqr_and_overlapping_centers,,0.4317708593736892,0.4997319909925619
RE3D,extremePointsFronts,3000,levyFlightMutationBeta,numerical,narrow,EP|joint,low_iqr_and_overlapping_centers,,1.300026006248796,1.7653741126041798
