family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RE3D,extremePointsFronts,3000,EP,0.05,algorithmResult,categorical,286,15,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,EP,0.1,algorithmResult,categorical,286,29,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,EP,0.2,algorithmResult,categorical,286,58,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,HV,0.05,algorithmResult,categorical,286,15,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,HV,0.1,algorithmResult,categorical,286,29,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,HV,0.2,algorithmResult,categorical,286,58,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,joint,0.05,algorithmResult,categorical,286,15,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,joint,0.1,algorithmResult,categorical,286,29,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,joint,0.2,algorithmResult,categorical,286,58,1,1,externalArchive,1.0
RE3D,extremePointsFronts,3000,EP,0.05,archiveType,categorical,286,15,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,EP,0.1,archiveType,categorical,286,29,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,EP,0.2,archiveType,categorical,286,58,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,HV,0.05,archiveType,categorical,286,15,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,HV,0.1,archiveType,categorical,286,29,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,HV,0.2,archiveType,categorical,286,58,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,joint,0.05,archiveType,categorical,286,15,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,joint,0.1,archiveType,categorical,286,29,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,joint,0.2,archiveType,categorical,286,58,1,1,unboundedArchive,1.0
RE3D,extremePointsFronts,3000,EP,0.05,createInitialSolutions,categorical,286,15,6,6,sobol,0.3333333333333333
RE3D,extremePointsFronts,3000,EP,0.1,createInitialSolutions,categorical,286,29,6,6,latinHypercubeSampling,0.27586206896551724
RE3D,extremePointsFronts,3000,EP,0.2,createInitialSolutions,categorical,286,58,6,6,scatterSearch,0.29310344827586204
RE3D,extremePointsFronts,3000,HV,0.05,createInitialSolutions,categorical,286,15,6,5,cauchy,0.3333333333333333
RE3D,extremePointsFronts,3000,HV,0.1,createInitialSolutions,categorical,286,29,6,6,cauchy,0.3103448275862069
RE3D,extremePointsFronts,3000,HV,0.2,createInitialSolutions,categorical,286,58,6,6,cauchy,0.3620689655172414
RE3D,extremePointsFronts,3000,joint,0.05,createInitialSolutions,categorical,286,15,6,6,latinHypercubeSampling,0.3333333333333333
RE3D,extremePointsFronts,3000,joint,0.1,createInitialSolutions,categorical,286,29,6,6,sobol,0.27586206896551724
RE3D,extremePointsFronts,3000,joint,0.2,createInitialSolutions,categorical,286,58,6,6,sobol,0.2413793103448276
RE3D,extremePointsFronts,3000,EP,0.05,crossover,categorical,286,15,5,3,laplace,0.8666666666666667
RE3D,extremePointsFronts,3000,EP,0.1,crossover,categorical,286,29,5,4,laplace,0.8620689655172413
RE3D,extremePointsFronts,3000,EP,0.2,crossover,categorical,286,58,5,5,laplace,0.7758620689655172
RE3D,extremePointsFronts,3000,HV,0.05,crossover,categorical,286,15,5,3,laplace,0.4666666666666667
RE3D,extremePointsFronts,3000,HV,0.1,crossover,categorical,286,29,5,3,laplace,0.4482758620689655
RE3D,extremePointsFronts,3000,HV,0.2,crossover,categorical,286,58,5,3,laplace,0.43103448275862066
RE3D,extremePointsFronts,3000,joint,0.05,crossover,categorical,286,15,5,1,laplace,1.0
RE3D,extremePointsFronts,3000,joint,0.1,crossover,categorical,286,29,5,1,laplace,1.0
RE3D,extremePointsFronts,3000,joint,0.2,crossover,categorical,286,58,5,2,laplace,0.9655172413793104
RE3D,extremePointsFronts,3000,EP,0.05,crossoverRepairStrategy,categorical,286,15,3,3,bounds,0.8
RE3D,extremePointsFronts,3000,EP,0.1,crossoverRepairStrategy,categorical,286,29,3,3,bounds,0.7931034482758621
RE3D,extremePointsFronts,3000,EP,0.2,crossoverRepairStrategy,categorical,286,58,3,3,bounds,0.8275862068965517
RE3D,extremePointsFronts,3000,HV,0.05,crossoverRepairStrategy,categorical,286,15,3,2,bounds,0.8666666666666667
