family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_min,observed_max,observed_range,elite_min,elite_q25,elite_median,elite_q75,elite_max,elite_iqr,elite_iqr_share
RE3D,extremePointsFronts,3000,EP,0.05,blxAlphaBetaCrossoverAlpha,numerical,120,1,0.3642921579387841,0.9814438216614868,0.6171516637227027,0.3761153225561151,0.3761153225561151,0.3761153225561151,0.3761153225561151,0.3761153225561151,0.0,0.0
RE3D,extremePointsFronts,3000,EP,0.1,blxAlphaBetaCrossoverAlpha,numerical,120,1,0.3642921579387841,0.9814438216614868,0.6171516637227027,0.3761153225561151,0.3761153225561151,0.3761153225561151,0.3761153225561151,0.3761153225561151,0.0,0.0
RE3D,extremePointsFronts,3000,EP,0.2,blxAlphaBetaCrossoverAlpha,numerical,120,6,0.3642921579387841,0.9814438216614868,0.6171516637227027,0.3642921579387841,0.3746747352580744,0.5014683377319247,0.7548995005136125,0.9268590781074244,0.38022476525553817,0.6160961520576569
RE3D,extremePointsFronts,3000,HV,0.05,blxAlphaBetaCrossoverAlpha,numerical,120,3,0.3642921579387841,0.9814438216614868,0.6171516637227027,0.8115572135817734,0.8918068933352055,0.9720565730886376,0.9767501973750622,0.9814438216614868,0.08494330403985673,0.13763764894916217
RE3D,extremePointsFronts,3000,HV,0.1,blxAlphaBetaCrossoverAlpha,numerical,120,10,0.3642921579387841,0.9814438216614868,0.6171516637227027,0.7243419158394624,0.8009419211887339,0.8939869958876161,0.9616749948372634,0.9814438216614868,0.1607330736485295,0.26044339357197255
RE3D,extremePointsFronts,3000,HV,0.2,blxAlphaBetaCrossoverAlpha,numerical,120,22,0.3642921579387841,0.9814438216614868,0.6171516637227027,0.7243419158394624,0.8003374018776527,0.8580189806145782,0.9296139075031421,0.9814438216614868,0.12927650562548942,0.2094728301398142
RE3D,extremePointsFronts,3000,joint,0.05,blxAlphaBetaCrossoverAlpha,numerical,120,0,0.3642921579387841,0.9814438216614868,0.6171516637227027,,,,,,,
RE3D,extremePointsFronts,3000,joint,0.1,blxAlphaBetaCrossoverAlpha,numerical,120,0,0.3642921579387841,0.9814438216614868,0.6171516637227027,,,,,,,
RE3D,extremePointsFronts,3000,joint,0.2,blxAlphaBetaCrossoverAlpha,numerical,120,2,0.3642921579387841,0.9814438216614868,0.6171516637227027,0.7902157434955456,0.835584172247589,0.8809526009996322,0.9263210297516756,0.971689458503719,0.09073685750408667,0.1470252173618969
RE3D,extremePointsFronts,3000,EP,0.05,blxAlphaBetaCrossoverBeta,numerical,120,1,0.3774199260166185,0.996784326052287,0.6193644000356684,0.3945371241984491,0.3945371241984491,0.3945371241984491,0.3945371241984491,0.3945371241984491,0.0,0.0
RE3D,extremePointsFronts,3000,EP,0.1,blxAlphaBetaCrossoverBeta,numerical,120,1,0.3774199260166185,0.996784326052287,0.6193644000356684,0.3945371241984491,0.3945371241984491,0.3945371241984491,0.3945371241984491,0.3945371241984491,0.0,0.0
RE3D,extremePointsFronts,3000,EP,0.2,blxAlphaBetaCrossoverBeta,numerical,120,6,0.3774199260166185,0.996784326052287,0.6193644000356684,0.3794703699477891,0.41343615973092573,0.6020245356112457,0.9085365561076496,0.9813193455639266,0.4951003963767239,0.7993685080192076
RE3D,extremePointsFronts,3000,HV,0.05,blxAlphaBetaCrossoverBeta,numerical,120,3,0.3774199260166185,0.996784326052287,0.6193644000356684,0.8620823111804657,0.8812991848536882,0.9005160585269107,0.9028444680435119,0.9051728775601132,0.02154528318982374,0.034786118137534176
RE3D,extremePointsFronts,3000,HV,0.1,blxAlphaBetaCrossoverBeta,numerical,120,10,0.3774199260166185,0.996784326052287,0.6193644000356684,0.8487850127286356,0.874151157327613,0.9028444680435119,0.9088865532664546,0.9734195091813268,0.03473539593884167,0.056082325585457136
RE3D,extremePointsFronts,3000,HV,0.2,blxAlphaBetaCrossoverBeta,numerical,120,22,0.3774199260166185,0.996784326052287,0.6193644000356684,0.7902806475266531,0.8661701903428937,0.8940588743212223,0.9095788975076469,0.9734195091813268,0.0434087071647532,0.07008589315474598
