proposal_name,proposal_scope,family,front_type,parameter,parameter_kind,action,original_choice_count,reduced_choice_count,original_range_min,original_range_max,reduced_range_min,reduced_range_max,original_width,reduced_width
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,algorithmResult,categorical,fix,2.0,1.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,archiveType,categorical,fix,2.0,1.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,blxAlphaBetaCrossoverAlpha,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,blxAlphaBetaCrossoverBeta,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,blxAlphaCrossoverAlpha,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,boltzmannTemperature,double,narrow,,,0.1,100.0,52.632567,89.65265,99.9,37.02008299999999
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,createInitialSolutions,categorical,keep_open,6.0,6.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,crossover,categorical,fix,9.0,1.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,crossoverProbability,double,narrow,,,0.0,1.0,0.739783,0.999736,1.0,0.259953
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,crossoverRepairStrategy,categorical,fix,3.0,1.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,fuzzyRecombinationCrossoverAlpha,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,laplaceCrossoverScale,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,levyFlightMutationBeta,double,keep_open,,,1.0,2.0,1.0,2.0,1.0,1.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,levyFlightMutationStepSize,double,keep_open,,,0.01,1.0,0.01,1.0,0.99,0.99
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,linkedPolynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,mutation,categorical,keep_open,6.0,6.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,mutationProbabilityFactor,double,keep_open,,,0.0,2.0,0.0,2.0,2.0,2.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,mutationRepairStrategy,categorical,fix,3.0,1.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,nonUniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,offspringPopulationSize,categorical,keep_open,8.0,8.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,pcxCrossoverEta,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,pcxCrossoverZeta,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,polynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,populationSizeWithArchive,integer,narrow,,,10.0,200.0,73.0,129.0,190.0,56.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,powerLawMutationDelta,double,keep_open,,,0.1,10.0,0.1,10.0,9.9,9.9
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,sbxDistributionIndex,double,deactivated_by_parent,,,5.0,400.0,,,395.0,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,selection,categorical,keep_open,5.0,5.0,,,,,,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,selectionTournamentSize,integer,keep_open,,,2.0,10.0,2.0,10.0,8.0,8.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,undcCrossoverEta,double,deactivated_by_parent,,,0.1,0.5,,,0.4,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,undcCrossoverZeta,double,deactivated_by_parent,,,0.1,1.0,,,0.9,
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,uniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RE3D_extremePointsFronts,family_front_type,RE3D,extremePointsFronts,variation,categorical,fix,1.0,1.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,algorithmResult,categorical,fix,2.0,1.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,archiveType,categorical,fix,2.0,1.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,blxAlphaBetaCrossoverAlpha,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,blxAlphaBetaCrossoverBeta,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,blxAlphaCrossoverAlpha,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,boltzmannTemperature,double,keep_open,,,0.1,100.0,0.1,100.0,99.9,99.9
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,createInitialSolutions,categorical,keep_open,6.0,6.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,crossover,categorical,fix,9.0,1.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,crossoverProbability,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,crossoverRepairStrategy,categorical,fix,3.0,1.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,fuzzyRecombinationCrossoverAlpha,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,laplaceCrossoverScale,double,narrow,,,0.1,0.5,0.423781,0.499955,0.4,0.07617399999999996
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,levyFlightMutationBeta,double,keep_open,,,1.0,2.0,1.0,2.0,1.0,1.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,levyFlightMutationStepSize,double,narrow,,,0.01,1.0,0.701176,0.999739,0.99,0.298563
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,linkedPolynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,mutation,categorical,keep_open,6.0,6.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,mutationProbabilityFactor,double,keep_open,,,0.0,2.0,0.0,2.0,2.0,2.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,mutationRepairStrategy,categorical,fix,3.0,1.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,nonUniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,offspringPopulationSize,categorical,keep_open,8.0,8.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,pcxCrossoverEta,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,pcxCrossoverZeta,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,polynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,populationSizeWithArchive,integer,keep_open,,,10.0,200.0,10.0,200.0,190.0,190.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,powerLawMutationDelta,double,narrow,,,0.1,10.0,2.135703,6.718722,9.9,4.583019
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,sbxDistributionIndex,double,deactivated_by_parent,,,5.0,400.0,,,395.0,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,selection,categorical,keep_open,5.0,5.0,,,,,,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,selectionTournamentSize,integer,keep_open,,,2.0,10.0,2.0,10.0,8.0,8.0
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,undcCrossoverEta,double,deactivated_by_parent,,,0.1,0.5,,,0.4,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,undcCrossoverZeta,double,deactivated_by_parent,,,0.1,1.0,,,0.9,
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,uniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
