problem,dataset,budget,AUC_median,AUC_mean,AUC_std,slope_median,plateau_median,n_runs
RE3D,extremePointsFronts,1000,2461.9161369455924,2461.674768162813,1.1430301754905334,2.3315843189200376e-05,1300,30
RE3D,extremePointsFronts,3000,2468.049105668269,2467.936027334397,0.3689341561973591,8.385840211074434e-06,1200,30
RE3D,extremePointsFronts,5000,2468.915168713691,2468.9130031216164,0.18275024253254607,2.1613802521805045e-06,1000,30
RE3D,extremePointsFronts,7000,2469.411944620519,2469.398292589714,0.14013155225256754,3.1861187240894852e-06,1050,30
RE3D,referenceFronts,1000,2461.792076977632,2461.7418754341074,0.9491710094790853,1.4494371266859546e-05,1200,30
RE3D,referenceFronts,3000,2467.88727677564,2467.898951378797,0.3620894998145301,5.5381501824064815e-06,1000,30
RE3D,referenceFronts,5000,2468.961311046138,2468.9366075314597,0.2408910334698061,4.586674773882865e-06,1000,30
RE3D,referenceFronts,7000,2469.369817642225,2469.33910992543,0.16784374361710813,2.772990355080881e-06,900,30
RWA3D,extremePointsFronts,1000,1695.6333475624647,1695.6963377890886,0.44178337362618514,8.070261344985697e-06,1300,30
RWA3D,extremePointsFronts,3000,1698.2539424851423,1698.2208066379585,0.29891998416109133,4.388787035906195e-06,1300,30
RWA3D,extremePointsFronts,5000,1698.5595117945286,1698.5693932483412,0.1794736229419069,5.254468324116806e-06,1050,30
RWA3D,extremePointsFronts,7000,1698.7292851782086,1698.6482986319893,0.32236946865027627,4.104288013569672e-06,1100,30
RWA3D,referenceFronts,1000,1695.7457324903603,1695.7873794335328,0.44472591788943194,1.2974560131175236e-05,1150,30
RWA3D,referenceFronts,3000,1698.3563560506805,1698.2905027697989,0.2838669666455755,4.550421622689863e-06,1100,30
RWA3D,referenceFronts,5000,1698.4057359793674,1698.3959080927923,0.2661336769900257,4.7786916582672445e-06,900,30
RWA3D,referenceFronts,7000,1698.5349391630755,1698.4822303081062,0.29355684069346266,4.2520996049396545e-06,1000,30
