problem,dataset,budget,run,convergence_eval
RE3D,extremePointsFronts,1000,1,2500
RE3D,extremePointsFronts,1000,2,1000
RE3D,extremePointsFronts,1000,3,1400
RE3D,extremePointsFronts,1000,4,1500
RE3D,extremePointsFronts,1000,5,1000
RE3D,extremePointsFronts,1000,6,700
RE3D,extremePointsFronts,1000,7,1100
RE3D,extremePointsFronts,1000,8,1600
RE3D,extremePointsFronts,1000,9,1200
RE3D,extremePointsFronts,1000,10,1600
RE3D,extremePointsFronts,1000,11,1400
RE3D,extremePointsFronts,1000,12,1800
RE3D,extremePointsFronts,1000,13,1300
RE3D,extremePointsFronts,1000,14,1200
RE3D,extremePointsFronts,1000,15,1000
RE3D,extremePointsFronts,1000,16,800
RE3D,extremePointsFronts,1000,17,1100
RE3D,extremePointsFronts,1000,18,1500
RE3D,extremePointsFronts,1000,19,1800
RE3D,extremePointsFronts,1000,20,1400
RE3D,extremePointsFronts,1000,21,1400
RE3D,extremePointsFronts,1000,22,1200
RE3D,extremePointsFronts,1000,23,1600
RE3D,extremePointsFronts,1000,24,1200
RE3D,extremePointsFronts,1000,25,1000
RE3D,extremePointsFronts,1000,26,900
RE3D,extremePointsFronts,1000,27,1800
RE3D,extremePointsFronts,1000,28,1700
RE3D,extremePointsFronts,1000,29,1300
RE3D,extremePointsFronts,1000,30,1000
RE3D,extremePointsFronts,3000,1,1200
RE3D,extremePointsFronts,3000,2,2000
RE3D,extremePointsFronts,3000,3,700
RE3D,extremePointsFronts,3000,4,1900
RE3D,extremePointsFronts,3000,5,1300
RE3D,extremePointsFronts,3000,6,1000
RE3D,extremePointsFronts,3000,7,1100
RE3D,extremePointsFronts,3000,8,1200
RE3D,extremePointsFronts,3000,9,1000
RE3D,extremePointsFronts,3000,10,1100
RE3D,extremePointsFronts,3000,11,900
RE3D,extremePointsFronts,3000,12,900
RE3D,extremePointsFronts,3000,13,1000
RE3D,extremePointsFronts,3000,14,900
RE3D,extremePointsFronts,3000,15,1500
RE3D,extremePointsFronts,3000,16,1500
RE3D,extremePointsFronts,3000,17,1500
RE3D,extremePointsFronts,3000,18,2700
RE3D,extremePointsFronts,3000,19,1300
RE3D,extremePointsFronts,3000,20,600
RE3D,extremePointsFronts,3000,21,1300
RE3D,extremePointsFronts,3000,22,1100
RE3D,extremePointsFronts,3000,23,2200
RE3D,extremePointsFronts,3000,24,900
RE3D,extremePointsFronts,3000,25,900
RE3D,extremePointsFronts,3000,26,1700
RE3D,extremePointsFronts,3000,27,1000
RE3D,extremePointsFronts,3000,28,800
RE3D,extremePointsFronts,3000,29,1700
RE3D,extremePointsFronts,3000,30,900
RE3D,extremePointsFronts,5000,1,1600
RE3D,extremePointsFronts,5000,2,600
RE3D,extremePointsFronts,5000,3,1100
RE3D,extremePointsFronts,5000,4,900
RE3D,extremePointsFronts,5000,5,1700
RE3D,extremePointsFronts,5000,6,1500
RE3D,extremePointsFronts,5000,7,2500
RE3D,extremePointsFronts,5000,8,1900
RE3D,extremePointsFronts,5000,9,1800
RE3D,extremePointsFronts,5000,10,1900
RE3D,extremePointsFronts,5000,11,900
RE3D,extremePointsFronts,5000,12,1700
RE3D,extremePointsFronts,5000,13,3000
RE3D,extremePointsFronts,5000,14,1700
RE3D,extremePointsFronts,5000,15,1500
RE3D,extremePointsFronts,5000,16,1600
RE3D,extremePointsFronts,5000,17,1200
RE3D,extremePointsFronts,5000,18,2800
RE3D,extremePointsFronts,5000,19,2600
RE3D,extremePointsFronts,5000,20,2100
RE3D,extremePointsFronts,5000,21,1200
RE3D,extremePointsFronts,5000,22,1900
RE3D,extremePointsFronts,5000,23,1600
RE3D,extremePointsFronts,5000,24,700
