problem,dataset,budget,run,checkpoint_idx,eval,hv
RE3D,referenceFronts,1000,1,0,100,0.8413069217181963
RE3D,referenceFronts,1000,1,1,200,0.8425550902366731
RE3D,referenceFronts,1000,1,2,300,0.8471719111030714
RE3D,referenceFronts,1000,1,3,400,0.8480055323350856
RE3D,referenceFronts,1000,1,4,500,0.8480055323350856
RE3D,referenceFronts,1000,1,5,600,0.8482021088731256
RE3D,referenceFronts,1000,1,6,700,0.8484742810811399
RE3D,referenceFronts,1000,1,7,800,0.8488155877462239
RE3D,referenceFronts,1000,1,8,900,0.8491471866345497
RE3D,referenceFronts,1000,1,9,1000,0.8495270841768487
RE3D,referenceFronts,1000,1,10,1100,0.8495270841768487
RE3D,referenceFronts,1000,1,11,1200,0.8495826624244335
RE3D,referenceFronts,1000,1,12,1300,0.8496514657034119
RE3D,referenceFronts,1000,1,13,1400,0.8496514657034119
RE3D,referenceFronts,1000,1,14,1500,0.8496637300877659
RE3D,referenceFronts,1000,1,15,1600,0.8497165792561275
RE3D,referenceFronts,1000,1,16,1700,0.8497577870006946
RE3D,referenceFronts,1000,1,17,1800,0.849765643654201
RE3D,referenceFronts,1000,1,18,1900,0.8497846147801685
RE3D,referenceFronts,1000,1,19,2000,0.8498534192501671
RE3D,referenceFronts,1000,1,20,2100,0.8498534192501671
RE3D,referenceFronts,1000,1,21,2200,0.8498534192501671
RE3D,referenceFronts,1000,1,22,2300,0.8498925618413511
RE3D,referenceFronts,1000,1,23,2400,0.8498925618413511
RE3D,referenceFronts,1000,1,24,2500,0.8498925618413511
RE3D,referenceFronts,1000,1,25,2600,0.8498925618413511
RE3D,referenceFronts,1000,1,26,2700,0.8498925618413511
RE3D,referenceFronts,1000,1,27,2800,0.8498925618413511
RE3D,referenceFronts,1000,1,28,2900,0.8498925618413511
RE3D,referenceFronts,1000,1,29,3000,0.8498925618413511
RE3D,referenceFronts,1000,2,0,100,0.8449402624962682
RE3D,referenceFronts,1000,2,1,200,0.8449402624962682
RE3D,referenceFronts,1000,2,2,300,0.8461441102101457
RE3D,referenceFronts,1000,2,3,400,0.8464190691598759
RE3D,referenceFronts,1000,2,4,500,0.8475722790687847
RE3D,referenceFronts,1000,2,5,600,0.8475722790687847
RE3D,referenceFronts,1000,2,6,700,0.8487457375713886
RE3D,referenceFronts,1000,2,7,800,0.8487457375713886
RE3D,referenceFronts,1000,2,8,900,0.8494178523432858
RE3D,referenceFronts,1000,2,9,1000,0.8494178523432858
RE3D,referenceFronts,1000,2,10,1100,0.8494178523432858
RE3D,referenceFronts,1000,2,11,1200,0.8494178523432858
RE3D,referenceFronts,1000,2,12,1300,0.8494559960980725
RE3D,referenceFronts,1000,2,13,1400,0.8495346278722852
RE3D,referenceFronts,1000,2,14,1500,0.8495346278722852
RE3D,referenceFronts,1000,2,15,1600,0.8496780374351834
RE3D,referenceFronts,1000,2,16,1700,0.8496780374351834
RE3D,referenceFronts,1000,2,17,1800,0.8497632019923876
RE3D,referenceFronts,1000,2,18,1900,0.8497821465951256
RE3D,referenceFronts,1000,2,19,2000,0.8497821465951256
RE3D,referenceFronts,1000,2,20,2100,0.8497821465951256
RE3D,referenceFronts,1000,2,21,2200,0.8497821465951256
RE3D,referenceFronts,1000,2,22,2300,0.8499539983698556
RE3D,referenceFronts,1000,2,23,2400,0.8499539983698556
RE3D,referenceFronts,1000,2,24,2500,0.8499539983698556
RE3D,referenceFronts,1000,2,25,2600,0.8499539983698556
RE3D,referenceFronts,1000,2,26,2700,0.8499539983698556
RE3D,referenceFronts,1000,2,27,2800,0.8499539983698556
RE3D,referenceFronts,1000,2,28,2900,0.8499539983698556
RE3D,referenceFronts,1000,2,29,3000,0.8499539983698556
RE3D,referenceFronts,1000,3,0,100,0.8375144524360468
RE3D,referenceFronts,1000,3,1,200,0.8433614730575012
RE3D,referenceFronts,1000,3,2,300,0.845081074022026
RE3D,referenceFronts,1000,3,3,400,0.846074932923625
RE3D,referenceFronts,1000,3,4,500,0.8481037686765036
RE3D,referenceFronts,1000,3,5,600,0.8481037686765036
RE3D,referenceFronts,1000,3,6,700,0.8486374944174985
RE3D,referenceFronts,1000,3,7,800,0.8488081811658158
RE3D,referenceFronts,1000,3,8,900,0.8489456965805395
RE3D,referenceFronts,1000,3,9,1000,0.8491479006648684
RE3D,referenceFronts,1000,3,10,1100,0.8492702201491795
RE3D,referenceFronts,1000,3,11,1200,0.8493658511245192
RE3D,referenceFronts,1000,3,12,1300,0.8495661673952265
RE3D,referenceFronts,1000,3,13,1400,0.8495661673952265
RE3D,referenceFronts,1000,3,14,1500,0.8495661673952265
RE3D,referenceFronts,1000,3,15,1600,0.8495661673952265
RE3D,referenceFronts,1000,3,16,1700,0.8495661673952265
RE3D,referenceFronts,1000,3,17,1800,0.8496604214554877
RE3D,referenceFronts,1000,3,18,1900,0.8496604214554877
RE3D,referenceFronts,1000,3,19,2000,0.8496604214554877
RE3D,referenceFronts,1000,3,20,2100,0.8496604214554877
RE3D,referenceFronts,1000,3,21,2200,0.8496604214554877
RE3D,referenceFronts,1000,3,22,2300,0.8496604214554877
RE3D,referenceFronts,1000,3,23,2400,0.8496604214554877
RE3D,referenceFronts,1000,3,24,2500,0.8496878076292701
RE3D,referenceFronts,1000,3,25,2600,0.8496878076292701
RE3D,referenceFronts,1000,3,26,2700,0.8496878076292701
RE3D,referenceFronts,1000,3,27,2800,0.8496878076292701
RE3D,referenceFronts,1000,3,28,2900,0.8496878076292701
RE3D,referenceFronts,1000,3,29,3000,0.8496878076292701
RE3D,referenceFronts,1000,4,0,100,0.8345386185554993
RE3D,referenceFronts,1000,4,1,200,0.8415684414711365
RE3D,referenceFronts,1000,4,2,300,0.8446280031870985
RE3D,referenceFronts,1000,4,3,400,0.8455012564168646
RE3D,referenceFronts,1000,4,4,500,0.8479373538819285
RE3D,referenceFronts,1000,4,5,600,0.8481888726220363
RE3D,referenceFronts,1000,4,6,700,0.8482090226461293
RE3D,referenceFronts,1000,4,7,800,0.8494004080875385
RE3D,referenceFronts,1000,4,8,900,0.849650642179591
RE3D,referenceFronts,1000,4,9,1000,0.8497293746452426
RE3D,referenceFronts,1000,4,10,1100,0.8499247757925977
RE3D,referenceFronts,1000,4,11,1200,0.8499247757925977
RE3D,referenceFronts,1000,4,12,1300,0.8499247757925977
RE3D,referenceFronts,1000,4,13,1400,0.8500076401560422
RE3D,referenceFronts,1000,4,14,1500,0.8500076401560422
RE3D,referenceFronts,1000,4,15,1600,0.8500076401560422
RE3D,referenceFronts,1000,4,16,1700,0.8500076401560422
RE3D,referenceFronts,1000,4,17,1800,0.8500076401560422
RE3D,referenceFronts,1000,4,18,1900,0.8500076401560422
RE3D,referenceFronts,1000,4,19,2000,0.8500225145383931
RE3D,referenceFronts,1000,4,20,2100,0.8500225145383931
RE3D,referenceFronts,1000,4,21,2200,0.8500225145383931
RE3D,referenceFronts,1000,4,22,2300,0.8500590057559697
RE3D,referenceFronts,1000,4,23,2400,0.8500590057559697
RE3D,referenceFronts,1000,4,24,2500,0.8500590057559697
RE3D,referenceFronts,1000,4,25,2600,0.8500590057559697
RE3D,referenceFronts,1000,4,26,2700,0.8500590057559697
RE3D,referenceFronts,1000,4,27,2800,0.8500590057559697
RE3D,referenceFronts,1000,4,28,2900,0.8500590057559697
RE3D,referenceFronts,1000,4,29,3000,0.8500596327719928
RE3D,referenceFronts,1000,5,0,100,0.8458298216093263
RE3D,referenceFronts,1000,5,1,200,0.8458298216093263
RE3D,referenceFronts,1000,5,2,300,0.8463070058272528
RE3D,referenceFronts,1000,5,3,400,0.8463070058272528
RE3D,referenceFronts,1000,5,4,500,0.8476497651124283
RE3D,referenceFronts,1000,5,5,600,0.8480874397745527
RE3D,referenceFronts,1000,5,6,700,0.8485012279943954
RE3D,referenceFronts,1000,5,7,800,0.8485597398946839
