family,front_type,budget,run,entry_eval,entry_pct_meta_budget,elite_radius,final_distance_to_medoid
RE3D,extremePointsFronts,1000,1,300,10.0,0.337382891020018,0.29058271892309184
RE3D,extremePointsFronts,1000,2,800,26.7,0.337382891020018,0.20018343418705073
RE3D,extremePointsFronts,1000,3,3000,100.0,0.337382891020018,0.3952086127425665
RE3D,extremePointsFronts,1000,4,3000,100.0,0.337382891020018,0.4249797932067374
RE3D,extremePointsFronts,1000,5,800,26.7,0.337382891020018,0.2256576051741132
RE3D,extremePointsFronts,1000,6,3000,100.0,0.337382891020018,0.4295086439740222
RE3D,extremePointsFronts,1000,7,300,10.0,0.337382891020018,0.17750007035190646
RE3D,extremePointsFronts,1000,8,800,26.7,0.337382891020018,0.25438121249358714
RE3D,extremePointsFronts,1000,9,3000,100.0,0.337382891020018,0.38354651787477495
RE3D,extremePointsFronts,1000,10,300,10.0,0.337382891020018,0.14655854353944492
RE3D,extremePointsFronts,1000,11,300,10.0,0.337382891020018,0.1045693325873776
RE3D,extremePointsFronts,1000,12,3000,100.0,0.337382891020018,0.3936633807171387
RE3D,extremePointsFronts,1000,13,3000,100.0,0.337382891020018,0.3225738350967747
RE3D,extremePointsFronts,1000,14,800,26.7,0.337382891020018,0.291990836828085
RE3D,extremePointsFronts,1000,15,300,10.0,0.337382891020018,0.3440583326060384
RE3D,extremePointsFronts,1000,16,300,10.0,0.337382891020018,0.4229475397079261
RE3D,extremePointsFronts,1000,17,800,26.7,0.337382891020018,0.26977042976932797
RE3D,extremePointsFronts,1000,18,800,26.7,0.337382891020018,0.1352522495855921
RE3D,extremePointsFronts,1000,19,800,26.7,0.337382891020018,0.39026052530632216
RE3D,extremePointsFronts,1000,20,3000,100.0,0.337382891020018,0.399459221639077
RE3D,extremePointsFronts,1000,21,3000,100.0,0.337382891020018,0.4616675970831048
RE3D,extremePointsFronts,1000,22,3000,100.0,0.337382891020018,0.3606807830163663
RE3D,extremePointsFronts,1000,23,3000,100.0,0.337382891020018,0.3507163600425087
RE3D,extremePointsFronts,1000,24,300,10.0,0.337382891020018,0.0
RE3D,extremePointsFronts,1000,25,1500,50.0,0.337382891020018,0.33155841802093095
RE3D,extremePointsFronts,1000,26,3000,100.0,0.337382891020018,0.3951609492650061
RE3D,extremePointsFronts,1000,27,300,10.0,0.337382891020018,0.11684703548646028
RE3D,extremePointsFronts,1000,28,3000,100.0,0.337382891020018,0.3938705209410883
RE3D,extremePointsFronts,1000,29,300,10.0,0.337382891020018,0.2994058673249757
RE3D,extremePointsFronts,1000,30,300,10.0,0.337382891020018,0.2947558014068195
RWA3D,extremePointsFronts,1000,1,300,10.0,0.24713876495763812,0.17596982143951193
RWA3D,extremePointsFronts,1000,2,1500,50.0,0.24713876495763812,0.08984673342704652
RWA3D,extremePointsFronts,1000,3,3000,100.0,0.24713876495763812,0.32812941590972167
RWA3D,extremePointsFronts,1000,4,1500,50.0,0.24713876495763812,0.20872654025844486
RWA3D,extremePointsFronts,1000,5,1500,50.0,0.24713876495763812,0.23488682526414
RWA3D,extremePointsFronts,1000,6,800,26.7,0.24713876495763812,0.14236480046191194
RWA3D,extremePointsFronts,1000,7,300,10.0,0.24713876495763812,0.18933063439725267
RWA3D,extremePointsFronts,1000,8,800,26.7,0.24713876495763812,0.23406679889624357
RWA3D,extremePointsFronts,1000,9,800,26.7,0.24713876495763812,0.100652772730644
RWA3D,extremePointsFronts,1000,10,1500,50.0,0.24713876495763812,0.1370621748816604
RWA3D,extremePointsFronts,1000,11,800,26.7,0.24713876495763812,0.13809937736842232
RWA3D,extremePointsFronts,1000,12,300,10.0,0.24713876495763812,0.0
RWA3D,extremePointsFronts,1000,13,300,10.0,0.24713876495763812,0.052585057955263234
RWA3D,extremePointsFronts,1000,14,2300,76.7,0.24713876495763812,0.2284567683323568
RWA3D,extremePointsFronts,1000,15,300,10.0,0.24713876495763812,0.07786141375253364
RWA3D,extremePointsFronts,1000,16,300,10.0,0.24713876495763812,0.24954208763071545
RWA3D,extremePointsFronts,1000,17,3000,100.0,0.24713876495763812,0.2594985810199181
RWA3D,extremePointsFronts,1000,18,800,26.7,0.24713876495763812,0.21500336272054588
RWA3D,extremePointsFronts,1000,19,800,26.7,0.24713876495763812,0.21664404320213249
RWA3D,extremePointsFronts,1000,20,3000,100.0,0.24713876495763812,0.2950644927516438
RWA3D,extremePointsFronts,1000,21,3000,100.0,0.24713876495763812,0.2631385788127584
RWA3D,extremePointsFronts,1000,22,800,26.7,0.24713876495763812,0.062155254091455704
RWA3D,extremePointsFronts,1000,23,1500,50.0,0.24713876495763812,0.21407187917358653
RWA3D,extremePointsFronts,1000,24,1500,50.0,0.24713876495763812,0.21281134761677326
RWA3D,extremePointsFronts,1000,25,800,26.7,0.24713876495763812,0.24713876495763812
RWA3D,extremePointsFronts,1000,26,3000,100.0,0.24713876495763812,0.24496113247549575
RWA3D,extremePointsFronts,1000,27,1500,50.0,0.24713876495763812,0.11361984866680573
RWA3D,extremePointsFronts,1000,28,800,26.7,0.24713876495763812,0.19945215499942573
RWA3D,extremePointsFronts,1000,29,3000,100.0,0.24713876495763812,0.3060886909189867
RWA3D,extremePointsFronts,1000,30,300,10.0,0.24713876495763812,0.14205240785622408
RE3D,referenceFronts,1000,1,300,10.0,0.37718431157705035,0.16604788725264502
RE3D,referenceFronts,1000,2,300,10.0,0.37718431157705035,0.25222731825020084
RE3D,referenceFronts,1000,3,800,26.7,0.37718431157705035,0.16037027066233006
RE3D,referenceFronts,1000,4,800,26.7,0.37718431157705035,0.2338453621400592
RE3D,referenceFronts,1000,5,800,26.7,0.37718431157705035,0.22687372829478547
RE3D,referenceFronts,1000,6,800,26.7,0.37718431157705035,0.2144133176523014
RE3D,referenceFronts,1000,7,800,26.7,0.37718431157705035,0.3597430959411174
RE3D,referenceFronts,1000,8,800,26.7,0.37718431157705035,0.2759823797359536
RE3D,referenceFronts,1000,9,2300,76.7,0.37718431157705035,0.26788630185215406
RE3D,referenceFronts,1000,10,800,26.7,0.37718431157705035,0.27603765334798075
RE3D,referenceFronts,1000,11,300,10.0,0.37718431157705035,0.38856611318304535
RE3D,referenceFronts,1000,12,300,10.0,0.37718431157705035,0.12425272545929071
RE3D,referenceFronts,1000,13,300,10.0,0.37718431157705035,0.006371736560367144
RE3D,referenceFronts,1000,14,300,10.0,0.37718431157705035,0.2646687376117427
RE3D,referenceFronts,1000,15,1500,50.0,0.37718431157705035,0.27902998502927295
RE3D,referenceFronts,1000,16,3000,100.0,0.37718431157705035,0.40767662893745177
RE3D,referenceFronts,1000,17,300,10.0,0.37718431157705035,0.14389116370272323
RE3D,referenceFronts,1000,18,800,26.7,0.37718431157705035,0.2626017101863704
RE3D,referenceFronts,1000,19,800,26.7,0.37718431157705035,0.3590196865826754
RE3D,referenceFronts,1000,20,1500,50.0,0.37718431157705035,0.3815446154860336
RE3D,referenceFronts,1000,21,300,10.0,0.37718431157705035,0.18753258518477905
RE3D,referenceFronts,1000,22,2300,76.7,0.37718431157705035,0.23515305431241074
RE3D,referenceFronts,1000,23,800,26.7,0.37718431157705035,0.08929613381813598
RE3D,referenceFronts,1000,24,1500,50.0,0.37718431157705035,0.43972034785769004
RE3D,referenceFronts,1000,25,300,10.0,0.37718431157705035,0.30862043710495934
RE3D,referenceFronts,1000,26,800,26.7,0.37718431157705035,0.23261339737731765
RE3D,referenceFronts,1000,27,300,10.0,0.37718431157705035,0.41119392527683785
RE3D,referenceFronts,1000,28,2300,76.7,0.37718431157705035,0.38124054055555
RE3D,referenceFronts,1000,29,3000,100.0,0.37718431157705035,0.41027330988129995
RE3D,referenceFronts,1000,30,800,26.7,0.37718431157705035,0.38895300824532686
RWA3D,referenceFronts,1000,1,3000,100.0,0.30489253164507313,0.419442089356199
RWA3D,referenceFronts,1000,2,800,26.7,0.30489253164507313,0.17592995090922423
RWA3D,referenceFronts,1000,3,800,26.7,0.30489253164507313,0.08798640389502141
RWA3D,referenceFronts,1000,4,300,10.0,0.30489253164507313,0.1748059262432914
RWA3D,referenceFronts,1000,5,1500,50.0,0.30489253164507313,0.29843979205307275
RWA3D,referenceFronts,1000,6,1500,50.0,0.30489253164507313,0.08231592989968217
RWA3D,referenceFronts,1000,7,300,10.0,0.30489253164507313,0.101187410823373
RWA3D,referenceFronts,1000,8,3000,100.0,0.30489253164507313,0.30961058993804724
RWA3D,referenceFronts,1000,9,800,26.7,0.30489253164507313,0.38790457018360053
RWA3D,referenceFronts,1000,10,3000,100.0,0.30489253164507313,0.3772789257681726
RWA3D,referenceFronts,1000,11,800,26.7,0.30489253164507313,0.23125558443397204
RWA3D,referenceFronts,1000,12,1500,50.0,0.30489253164507313,0.11844719175609622
RWA3D,referenceFronts,1000,13,1500,50.0,0.30489253164507313,0.2882113306522469
RWA3D,referenceFronts,1000,14,800,26.7,0.30489253164507313,0.24477322769716475
RWA3D,referenceFronts,1000,15,800,26.7,0.30489253164507313,0.11473811172086873
RWA3D,referenceFronts,1000,16,300,10.0,0.30489253164507313,0.33448491247514234
RWA3D,referenceFronts,1000,17,1500,50.0,0.30489253164507313,0.19537664407787056
RWA3D,referenceFronts,1000,18,300,10.0,0.30489253164507313,0.201245783370328
RWA3D,referenceFronts,1000,19,300,10.0,0.30489253164507313,0.2515595216393136
RWA3D,referenceFronts,1000,20,300,10.0,0.30489253164507313,0.2211966679032092
RWA3D,referenceFronts,1000,21,300,10.0,0.30489253164507313,0.099331442108316
RWA3D,referenceFronts,1000,22,300,10.0,0.30489253164507313,0.0
RWA3D,referenceFronts,1000,23,800,26.7,0.30489253164507313,0.09498751348787439
RWA3D,referenceFronts,1000,24,3000,100.0,0.30489253164507313,0.3953342648779782
RWA3D,referenceFronts,1000,25,800,26.7,0.30489253164507313,0.21699920165021122
RWA3D,referenceFronts,1000,26,800,26.7,0.30489253164507313,0.13870881243295627
RWA3D,referenceFronts,1000,27,800,26.7,0.30489253164507313,0.2470042379996961
RWA3D,referenceFronts,1000,28,300,10.0,0.30489253164507313,0.15220498215818962
RWA3D,referenceFronts,1000,29,300,10.0,0.30489253164507313,0.27590501270476775
RWA3D,referenceFronts,1000,30,300,10.0,0.30489253164507313,0.2553987470421083
RE3D,extremePointsFronts,3000,1,800,26.7,0.20582436786620828,0.2045173478621799
RE3D,extremePointsFronts,3000,2,3000,100.0,0.20582436786620828,0.40463407811195495
RE3D,extremePointsFronts,3000,3,800,26.7,0.20582436786620828,0.15647188508379933
RE3D,extremePointsFronts,3000,4,3000,100.0,0.20582436786620828,0.3089877912915977
RE3D,extremePointsFronts,3000,5,800,26.7,0.20582436786620828,0.1564629457925684
RE3D,extremePointsFronts,3000,6,3000,100.0,0.20582436786620828,0.358790937894358
RE3D,extremePointsFronts,3000,7,300,10.0,0.20582436786620828,0.18876773439535505
RE3D,extremePointsFronts,3000,8,3000,100.0,0.20582436786620828,0.41679879347633647
RE3D,extremePointsFronts,3000,9,3000,100.0,0.20582436786620828,0.38645166750238313
RE3D,extremePointsFronts,3000,10,3000,100.0,0.20582436786620828,0.17764423361096965
RE3D,extremePointsFronts,3000,11,3000,100.0,0.20582436786620828,0.30401931369245505
RE3D,extremePointsFronts,3000,12,3000,100.0,0.20582436786620828,0.3842969618342287
RE3D,extremePointsFronts,3000,13,3000,100.0,0.20582436786620828,0.35174967915682936
RE3D,extremePointsFronts,3000,14,3000,100.0,0.20582436786620828,0.20993647072396507
RE3D,extremePointsFronts,3000,15,3000,100.0,0.20582436786620828,0.35952125846624544
RE3D,extremePointsFronts,3000,16,3000,100.0,0.20582436786620828,0.3858424062824838
RE3D,extremePointsFronts,3000,17,3000,100.0,0.20582436786620828,0.3553832375326046
RE3D,extremePointsFronts,3000,18,1500,50.0,0.20582436786620828,0.1423006379398067
RE3D,extremePointsFronts,3000,19,3000,100.0,0.20582436786620828,0.35499429360531587
RE3D,extremePointsFronts,3000,20,3000,100.0,0.20582436786620828,0.21307091763024635
RE3D,extremePointsFronts,3000,21,800,26.7,0.20582436786620828,0.08698319029991214
RE3D,extremePointsFronts,3000,22,3000,100.0,0.20582436786620828,0.2877528185668433
RE3D,extremePointsFronts,3000,23,300,10.0,0.20582436786620828,0.1490306531652668
RE3D,extremePointsFronts,3000,24,3000,100.0,0.20582436786620828,0.46077705067935165
RE3D,extremePointsFronts,3000,25,300,10.0,0.20582436786620828,0.10419089903235527
RE3D,extremePointsFronts,3000,26,800,26.7,0.20582436786620828,0.0
RE3D,extremePointsFronts,3000,27,1500,50.0,0.20582436786620828,0.23487569711421785
RE3D,extremePointsFronts,3000,28,3000,100.0,0.20582436786620828,0.4022633069969888
RE3D,extremePointsFronts,3000,29,300,10.0,0.20582436786620828,0.16347458046569663
RE3D,extremePointsFronts,3000,30,2300,76.7,0.20582436786620828,0.13038399015699365
RWA3D,extremePointsFronts,3000,1,300,10.0,0.2734418006136527,0.16400064641282014
RWA3D,extremePointsFronts,3000,2,300,10.0,0.2734418006136527,0.21194790357582352
RWA3D,extremePointsFronts,3000,3,300,10.0,0.2734418006136527,0.2542850549537658
RWA3D,extremePointsFronts,3000,4,800,26.7,0.2734418006136527,0.11143879350386295
RWA3D,extremePointsFronts,3000,5,800,26.7,0.2734418006136527,0.15532782248932916
RWA3D,extremePointsFronts,3000,6,800,26.7,0.2734418006136527,0.1424116973784455
RWA3D,extremePointsFronts,3000,7,800,26.7,0.2734418006136527,0.23653863666595434
RWA3D,extremePointsFronts,3000,8,800,26.7,0.2734418006136527,0.0
RWA3D,extremePointsFronts,3000,9,300,10.0,0.2734418006136527,0.23506830268970805
RWA3D,extremePointsFronts,3000,10,800,26.7,0.2734418006136527,0.2463107403895966
RWA3D,extremePointsFronts,3000,11,800,26.7,0.2734418006136527,0.2434695150836245
RWA3D,extremePointsFronts,3000,12,300,10.0,0.2734418006136527,0.08814714617494751
RWA3D,extremePointsFronts,3000,13,800,26.7,0.2734418006136527,0.17975897228270832
RWA3D,extremePointsFronts,3000,14,800,26.7,0.2734418006136527,0.21369537038195363
