family,front_type,budget,entry_eval_median,entry_eval_min,entry_eval_max,entry_pct_median,median_final_distance_to_medoid
RE3D,extremePointsFronts,1000,800.0,300,3000,26.7,0.3270661265588528
RWA3D,extremePointsFronts,1000,800.0,300,3000,26.7,0.21076894393760906
RE3D,referenceFronts,1000,800.0,300,3000,26.7,0.26627751973194835
RWA3D,referenceFronts,1000,800.0,300,3000,26.7,0.2190979347767102
RE3D,extremePointsFronts,3000,3000.0,300,3000,100.0,0.2613142578405306
RWA3D,extremePointsFronts,3000,800.0,300,3000,26.7,0.17760491606435744
RE3D,referenceFronts,3000,3000.0,300,3000,100.0,0.28401136959015283
RWA3D,referenceFronts,3000,800.0,300,3000,26.7,0.20179773160319964
RE3D,extremePointsFronts,5000,2650.0,300,3000,88.35,0.16460714915802083
RWA3D,extremePointsFronts,5000,800.0,300,3000,26.7,0.22092608743001083
RE3D,referenceFronts,5000,2300.0,300,3000,76.7,0.2010461845911617
RWA3D,referenceFronts,5000,800.0,300,3000,26.7,0.14999471040957119
RE3D,extremePointsFronts,7000,1150.0,300,3000,38.35,0.15189461391240644
RWA3D,extremePointsFronts,7000,800.0,300,3000,26.7,0.2315512217091637
RE3D,referenceFronts,7000,800.0,300,3000,26.7,0.21156949972036138
RWA3D,referenceFronts,7000,1500.0,300,3000,50.0,0.17496939490279334
