Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,1.0,139.0,1.0,1.0,5.0,0.0,3.0,0.2731526190687228,2.0,NaN,NaN,0.7693973485504958,0.11618126171746612,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.2023584251080404,1.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9269826591490988,0.0,5.0,NaN
200,0,1.0,54.0,1.0,3.0,1.0,0.0,5.0,0.19100515525807318,0.0,NaN,NaN,NaN,NaN,0.27495988288224327,NaN,NaN,NaN,NaN,NaN,5.0,1.4945303326689752,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.682731553448194,3.0,NaN,NaN
200,1,1.0,85.0,1.0,3.0,7.0,0.0,5.0,0.4750011207681086,0.0,NaN,NaN,NaN,NaN,0.11144298008116603,NaN,NaN,NaN,NaN,NaN,4.0,1.154054423688621,2.0,NaN,NaN,NaN,NaN,1.3948306019263315,0.5445004884413841,NaN,4.0,NaN,NaN
300,0,1.0,54.0,1.0,3.0,1.0,0.0,5.0,0.19100515525807318,0.0,NaN,NaN,NaN,NaN,0.27495988288224327,NaN,NaN,NaN,NaN,NaN,5.0,1.4945303326689752,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.682731553448194,3.0,NaN,NaN
300,1,1.0,95.0,1.0,0.0,0.0,0.0,3.0,0.9556809544865793,1.0,NaN,NaN,0.4520969857151308,0.6425353006116828,NaN,NaN,NaN,NaN,NaN,NaN,5.0,0.4892276960849504,1.0,NaN,NaN,NaN,NaN,NaN,NaN,8.616557779424783,2.0,NaN,95.90080590754077
400,0,1.0,54.0,1.0,3.0,1.0,0.0,5.0,0.19100515525807318,0.0,NaN,NaN,NaN,NaN,0.27495988288224327,NaN,NaN,NaN,NaN,NaN,5.0,1.4945303326689752,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.682731553448194,3.0,NaN,NaN
400,1,1.0,95.0,1.0,0.0,0.0,0.0,3.0,0.9556809544865793,1.0,NaN,NaN,0.4520969857151308,0.6425353006116828,NaN,NaN,NaN,NaN,NaN,NaN,5.0,0.4892276960849504,1.0,NaN,NaN,NaN,NaN,NaN,NaN,8.616557779424783,2.0,NaN,95.90080590754077
400,2,1.0,96.0,1.0,0.0,0.0,0.0,3.0,0.27669435816600124,1.0,NaN,NaN,0.4898523395298458,0.6549947154149465,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.0678948871112113,1.0,NaN,NaN,NaN,NaN,NaN,NaN,8.506016988286976,2.0,NaN,95.90080590754077
400,3,1.0,53.0,1.0,3.0,1.0,0.0,5.0,0.19100515525807318,0.0,NaN,NaN,NaN,NaN,0.27495988288224327,NaN,NaN,NaN,NaN,NaN,5.0,1.4945303326689752,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.682731553448194,3.0,NaN,NaN
500,0,1.0,54.0,1.0,3.0,1.0,0.0,5.0,0.19100515525807318,0.0,NaN,NaN,NaN,NaN,0.27495988288224327,NaN,NaN,NaN,NaN,NaN,5.0,1.4945303326689752,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.682731553448194,3.0,NaN,NaN
500,1,1.0,95.0,1.0,0.0,0.0,0.0,3.0,0.9556809544865793,1.0,NaN,NaN,0.4520969857151308,0.6425353006116828,NaN,NaN,NaN,NaN,NaN,NaN,5.0,0.4892276960849504,1.0,NaN,NaN,NaN,NaN,NaN,NaN,8.616557779424783,2.0,NaN,95.90080590754077
500,2,1.0,96.0,1.0,0.0,0.0,0.0,3.0,0.27669435816600124,1.0,NaN,NaN,0.4898523395298458,0.6549947154149465,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.0678948871112113,1.0,NaN,NaN,NaN,NaN,NaN,NaN,8.506016988286976,2.0,NaN,95.90080590754077
500,3,1.0,53.0,1.0,3.0,1.0,0.0,5.0,0.19100515525807318,0.0,NaN,NaN,NaN,NaN,0.27495988288224327,NaN,NaN,NaN,NaN,NaN,5.0,1.4945303326689752,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.682731553448194,3.0,NaN,NaN
500,4,1.0,124.0,1.0,1.0,5.0,0.0,3.0,0.2731526190687228,2.0,NaN,NaN,0.7945901125334133,0.36491237949893773,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.5063269088654534,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.489864659137888,0.0,5.0,NaN
500,5,1.0,146.0,1.0,4.0,5.0,0.0,3.0,0.5723245456054808,2.0,NaN,NaN,0.9308614146826526,0.9310833480279194,NaN,NaN,NaN,NaN,NaN,NaN,3.0,0.94619283721946,1.0,NaN,NaN,NaN,0.9229980587621252,NaN,NaN,NaN,0.0,2.0,NaN
500,6,1.0,96.0,1.0,0.0,0.0,0.0,3.0,0.27669435816600124,1.0,NaN,NaN,0.4753573878525691,0.6939363890668252,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.0678948871112113,1.0,NaN,NaN,NaN,NaN,NaN,NaN,8.506016988286976,2.0,NaN,88.55137212622051
500,7,1.0,96.0,1.0,0.0,4.0,0.0,3.0,0.9841040742484761,1.0,NaN,NaN,0.48494403289844007,0.9033090910678978,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.0678948871112113,1.0,NaN,NaN,NaN,NaN,NaN,NaN,8.506016988286976,2.0,NaN,26.218355951856378
500,8,1.0,124.0,1.0,1.0,5.0,0.0,6.0,0.2731526190687228,2.0,NaN,NaN,NaN,NaN,NaN,0.48715966518891807,NaN,NaN,NaN,NaN,5.0,1.5063269088654534,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.489864659137888,0.0,5.0,NaN
