family,front_type,budget,run,entry_eval,entry_pct_meta_budget,elite_radius,final_distance_to_medoid
RE3D,extremePointsFronts,5000,1,2300,76.7,0.15986145340672273,0.1449968677775511
RE3D,extremePointsFronts,5000,2,2300,76.7,0.15986145340672273,0.13339005644620122
RE3D,extremePointsFronts,5000,3,800,26.7,0.15986145340672273,0.12330258350998222
RE3D,extremePointsFronts,5000,4,3000,100.0,0.15986145340672273,0.3939420325754187
RE3D,extremePointsFronts,5000,5,2300,76.7,0.15986145340672273,0.15626415075518016
RE3D,extremePointsFronts,5000,6,3000,100.0,0.15986145340672273,0.28807878346227495
RE3D,extremePointsFronts,5000,7,3000,100.0,0.15986145340672273,0.1729646797429353
RE3D,extremePointsFronts,5000,8,3000,100.0,0.15986145340672273,0.37412100388527353
RE3D,extremePointsFronts,5000,9,800,26.7,0.15986145340672273,0.17658607159463002
RE3D,extremePointsFronts,5000,10,3000,100.0,0.15986145340672273,0.3912734540978009
RE3D,extremePointsFronts,5000,11,300,10.0,0.15986145340672273,0.12632825956172244
RE3D,extremePointsFronts,5000,12,800,26.7,0.15986145340672273,0.14949469730608156
RE3D,extremePointsFronts,5000,13,3000,100.0,0.15986145340672273,0.29994879454065404
RE3D,extremePointsFronts,5000,14,3000,100.0,0.15986145340672273,0.32200297235090575
RE3D,extremePointsFronts,5000,15,800,26.7,0.15986145340672273,0.09051542065407088
RE3D,extremePointsFronts,5000,16,3000,100.0,0.15986145340672273,0.28012896231606216
RE3D,extremePointsFronts,5000,17,3000,100.0,0.15986145340672273,0.17295014756086147
RE3D,extremePointsFronts,5000,18,2300,76.7,0.15986145340672273,0.1374322353947024
RE3D,extremePointsFronts,5000,19,300,10.0,0.15986145340672273,0.0742279378324871
RE3D,extremePointsFronts,5000,20,1500,50.0,0.15986145340672273,0.15406191377345968
RE3D,extremePointsFronts,5000,21,800,26.7,0.15986145340672273,0.12820318605843264
RE3D,extremePointsFronts,5000,22,3000,100.0,0.15986145340672273,0.36675474940292235
