front_type,budget,indicator,consensus_rank,parameter_family,consensus_importance,RE3D_normalized_importance,RWA3D_normalized_importance
referenceFronts,7000,EP,1,populationSizeWithArchive,0.5523827732586488,0.49927176115624217,0.6054937853610555
referenceFronts,7000,EP,2,crossoverProbability,0.06684401017495446,0.051158757488313146,0.08252926286159579
referenceFronts,7000,EP,3,powerLawMutationDelta,0.060700148038806835,0.024349864775763456,0.09705043130185022
referenceFronts,7000,EP,4,selection,0.04955560874796179,0.06928297629427803,0.029828241201645546
referenceFronts,7000,EP,5,mutationProbabilityFactor,0.04362669331769013,0.04503546512097494,0.04221792151440532
referenceFronts,7000,EP,6,levyFlightMutationStepSize,0.03999452640756025,0.07721722565448047,0.0027718271606400383
referenceFronts,7000,EP,7,laplaceCrossoverScale,0.030869811389275692,0.04847429716352255,0.013265325615028838
referenceFronts,7000,EP,8,crossoverRepairStrategy,0.020015434808656567,0.009509833121108894,0.03052103649620424
referenceFronts,7000,EP,9,levyFlightMutationBeta,0.019579915661118837,0.03712376403569853,0.0020360672865391443
referenceFronts,7000,EP,10,createInitialSolutions,0.017969400229768253,0.028575687091145184,0.00736311336839132
referenceFronts,7000,EP,11,boltzmannTemperature,0.016051315437955026,0.021588773688892015,0.01051385718701804
referenceFronts,7000,EP,12,offspringPopulationSize,0.015546156630092102,0.021306785753973857,0.009785527506210347
referenceFronts,7000,EP,13,blxAlphaBetaCrossoverBeta,0.01536788389513476,0.011689792809382886,0.019045974980886636
referenceFronts,7000,EP,14,blxAlphaBetaCrossoverAlpha,0.015246713815539542,0.013148560608418746,0.01734486702266034
referenceFronts,7000,EP,15,blxAlphaCrossoverAlpha,0.01401252868009802,0.018925341522076557,0.00909971583811948
referenceFronts,7000,EP,16,crossover,0.010093632479363575,0.01472862583465534,0.00545863912407181
referenceFronts,7000,EP,17,mutationRepairStrategy,0.004464068576291116,0.0017135066784430305,0.0072146304741392015
referenceFronts,7000,EP,18,selectionTournamentSize,0.003235436032118668,0.00026921985673360155,0.006201652207503734
referenceFronts,7000,EP,19,mutation,0.0012456879280515498,0.0014552386904169274,0.0010361371656861722
referenceFronts,7000,EP,20,pcxCrossoverEta,0.0012335383104919322,0.0023112358401914507,0.00015584078079241388
referenceFronts,7000,EP,21,pcxCrossoverZeta,0.0011452763299599816,0.002183541300380299,0.00010701135953966429
referenceFronts,7000,EP,22,sbxDistributionIndex,0.0004394328705720071,0.0,0.0008788657411440142
referenceFronts,7000,EP,23,nonUniformMutationPerturbation,0.00016890358407645425,0.0003378071681529085,0.0
referenceFronts,7000,EP,24,uniformMutationPerturbation,8.882882651126409e-05,0.00017765765302252818,0.0
referenceFronts,7000,EP,25,linkedPolynomialMutationDistributionIndex,5.910708929109044e-05,0.00011821417858218088,0.0
referenceFronts,7000,EP,26,fuzzyRecombinationCrossoverAlpha,4.0134222436183065e-05,0.0,8.026844487236613e-05
referenceFronts,7000,EP,27,undcCrossoverZeta,1.5873020828238408e-05,3.1746041656476815e-05,0.0
referenceFronts,7000,EP,28,undcCrossoverEta,7.160236746906027e-06,1.4320473493812054e-05,0.0
referenceFronts,7000,HVMinus,1,populationSizeWithArchive,0.34099203141644957,0.33849232840787624,0.3434917344250229
referenceFronts,7000,HVMinus,2,laplaceCrossoverScale,0.14458194282106152,0.2692561088412045,0.019907776800918514
referenceFronts,7000,HVMinus,3,powerLawMutationDelta,0.10477063459574676,0.019073955220809454,0.19046731397068406
referenceFronts,7000,HVMinus,4,crossoverProbability,0.07985574838096432,0.04410098216289264,0.11561051459903599
referenceFronts,7000,HVMinus,5,mutationProbabilityFactor,0.07472901578781421,0.07736002204925503,0.0720980095263734
referenceFronts,7000,HVMinus,6,crossover,0.034841003205763665,0.04819355213815951,0.021488454273367822
referenceFronts,7000,HVMinus,7,crossoverRepairStrategy,0.02892098718842638,0.0026551746202156516,0.05518679975663711
referenceFronts,7000,HVMinus,8,offspringPopulationSize,0.025031174839339886,0.032298349763930624,0.017763999914749147
referenceFronts,7000,HVMinus,9,createInitialSolutions,0.022791236040302757,0.016947917056545674,0.02863455502405984
referenceFronts,7000,HVMinus,10,levyFlightMutationStepSize,0.02145909686828978,0.03411016755968349,0.008808026176896072
referenceFronts,7000,HVMinus,11,levyFlightMutationBeta,0.018010812717580822,0.016001828810288575,0.020019796624873073
referenceFronts,7000,HVMinus,12,blxAlphaBetaCrossoverAlpha,0.01484085411605908,0.01539400746898647,0.01428770076313169
referenceFronts,7000,HVMinus,13,mutationRepairStrategy,0.014134595090461614,0.008077476442546899,0.02019171373837633
referenceFronts,7000,HVMinus,14,mutation,0.013848849379840971,0.007031763057592201,0.02066593570208974
referenceFronts,7000,HVMinus,15,selection,0.012646098075815897,0.01450095463634508,0.010791241515286713
referenceFronts,7000,HVMinus,16,blxAlphaBetaCrossoverBeta,0.011523678734699354,0.008346067959445041,0.014701289509953667
referenceFronts,7000,HVMinus,17,pcxCrossoverEta,0.008757689475150912,0.017446953888003516,6.84250622983106e-05
referenceFronts,7000,HVMinus,18,blxAlphaCrossoverAlpha,0.008358415417577796,0.006332218268482181,0.010384612566673413
referenceFronts,7000,HVMinus,19,linkedPolynomialMutationDistributionIndex,0.005191946492144845,0.01038389298428969,0.0
referenceFronts,7000,HVMinus,20,pcxCrossoverZeta,0.004341588733945217,0.008610047307188258,7.31301607021751e-05
referenceFronts,7000,HVMinus,21,fuzzyRecombinationCrossoverAlpha,0.004005087065162386,0.0,0.008010174130324772
referenceFronts,7000,HVMinus,22,boltzmannTemperature,0.0034970465110865435,0.0036918854492211947,0.0033022075729518922
referenceFronts,7000,HVMinus,23,selectionTournamentSize,0.0018734420325108173,0.0011410030686092429,0.0026058809964123915
referenceFronts,7000,HVMinus,24,sbxDistributionIndex,0.0007203535945905386,0.0,0.0014407071891810771
referenceFronts,7000,HVMinus,25,uniformMutationPerturbation,0.00013025863679850793,0.00026051727359701585,0.0
referenceFronts,7000,HVMinus,26,nonUniformMutationPerturbation,9.183870434761147e-05,0.00018367740869522294,0.0
referenceFronts,7000,HVMinus,27,undcCrossoverZeta,5.309012819450453e-05,0.00010618025638900907,0.0
referenceFronts,7000,HVMinus,28,undcCrossoverEta,1.4839498738823916e-06,2.967899747764783e-06,0.0
estimatedReferenceFronts,7000,EP,1,uniformMutationPerturbation,0.24442350841099972,0.00025989682294181226,0.48858711999905763
estimatedReferenceFronts,7000,EP,2,mutationProbabilityFactor,0.16709393146404303,0.32074217041307745,0.013445692515008606
estimatedReferenceFronts,7000,EP,3,mutationRepairStrategy,0.13868973656184885,0.0033371566276349453,0.27404231649606275
estimatedReferenceFronts,7000,EP,4,linkedPolynomialMutationDistributionIndex,0.10182136219245486,0.2036427243849097,0.0
estimatedReferenceFronts,7000,EP,5,polynomialMutationDistributionIndex,0.08283851504389923,0.1656022205350422,7.480955275627503e-05
estimatedReferenceFronts,7000,EP,6,offspringPopulationSize,0.05387003843331961,0.00978497132617172,0.0979551055404675
estimatedReferenceFronts,7000,EP,7,crossoverProbability,0.027913967967074692,0.02830698410688533,0.027520951827264054
estimatedReferenceFronts,7000,EP,8,populationSizeWithArchive,0.023207390872310767,0.04050698017382801,0.005907801570793519
estimatedReferenceFronts,7000,EP,9,boltzmannTemperature,0.021901882712197937,0.0008827128338917275,0.04292105259050415
estimatedReferenceFronts,7000,EP,10,mutation,0.02019746484133233,0.03956091064075189,0.0008340190419127677
estimatedReferenceFronts,7000,EP,11,createInitialSolutions,0.01710607920743141,0.02656327089218913,0.0076488875226736865
estimatedReferenceFronts,7000,EP,12,blxAlphaBetaCrossoverBeta,0.013820712192065645,0.02412393011439098,0.0035174942697403107
estimatedReferenceFronts,7000,EP,13,powerLawMutationDelta,0.013161911586207076,0.025216494856845392,0.0011073283155687596
estimatedReferenceFronts,7000,EP,14,algorithmResult,0.01081249376104266,0.019980478286499216,0.0016445092355861048
estimatedReferenceFronts,7000,EP,15,archiveType,0.010767823627322929,0.020960721682962914,0.0005749255716829434
estimatedReferenceFronts,7000,EP,16,crossoverRepairStrategy,0.010265432219932437,0.01856243649727827,0.0019684279425866043
estimatedReferenceFronts,7000,EP,17,selection,0.009425986277490254,0.014520544331975674,0.004331428223004833
estimatedReferenceFronts,7000,EP,18,blxAlphaBetaCrossoverAlpha,0.008291726026831625,0.013639590665971781,0.0029438613876914678
estimatedReferenceFronts,7000,EP,19,levyFlightMutationBeta,0.007790322274759847,0.0033011835384824575,0.012279461011037237
estimatedReferenceFronts,7000,EP,20,crossover,0.004269006937820164,0.00820582017851983,0.000332193697120498
estimatedReferenceFronts,7000,EP,21,blxAlphaCrossoverAlpha,0.003870398188218826,0.0002392885637813612,0.007501507812656291
estimatedReferenceFronts,7000,EP,22,levyFlightMutationStepSize,0.003303570901556911,0.004161275554426658,0.002445866248687164
estimatedReferenceFronts,7000,EP,23,undcCrossoverZeta,0.0018545622486664498,0.0037056635433224136,3.4609540104859854e-06
estimatedReferenceFronts,7000,EP,24,undcCrossoverEta,0.0016250988594672716,0.0032457275080322264,4.47021090231689e-06
estimatedReferenceFronts,7000,EP,25,selectionTournamentSize,0.0010032083492455806,0.00024256777307737757,0.0017638489254137835
estimatedReferenceFronts,7000,EP,26,laplaceCrossoverScale,0.00030385301673280837,0.00043610243422499137,0.00017160359924062537
estimatedReferenceFronts,7000,EP,27,pcxCrossoverZeta,0.00017649144029634414,9.709914744975718e-05,0.0002558837331429311
estimatedReferenceFronts,7000,EP,28,pcxCrossoverEta,0.0001306981827681663,9.117752811629108e-05,0.00017021883742004152
estimatedReferenceFronts,7000,EP,29,fuzzyRecombinationCrossoverAlpha,5.788086534619499e-05,7.938121057265034e-05,3.638052011973963e-05
estimatedReferenceFronts,7000,EP,30,nonUniformMutationPerturbation,4.945337316445968e-06,5.178267459132497e-07,9.372847886978687e-06
estimatedReferenceFronts,7000,HVMinus,1,archiveType,0.31215382950083714,0.624224987604598,8.267139707630282e-05
estimatedReferenceFronts,7000,HVMinus,2,levyFlightMutationBeta,0.17719992371545049,0.0045438511580540054,0.34985599627284697
estimatedReferenceFronts,7000,HVMinus,3,crossoverProbability,0.14191570572885354,0.020333239556342163,0.26349817190136493
estimatedReferenceFronts,7000,HVMinus,4,powerLawMutationDelta,0.07726006316595718,0.011587792201407699,0.14293233413050666
estimatedReferenceFronts,7000,HVMinus,5,nonUniformMutationPerturbation,0.06440967367148333,0.12852185309084077,0.0002974942521258749
estimatedReferenceFronts,7000,HVMinus,6,mutation,0.05137522171900202,0.07166054281463964,0.031089900623364405
estimatedReferenceFronts,7000,HVMinus,7,polynomialMutationDistributionIndex,0.028916635450058587,0.000646041386893763,0.057187229513223414
