family,front_type,budget,runs,final_best_EP_median,final_best_EP_q25,final_best_EP_q75,final_best_HVMinus_median,final_best_HVMinus_q25,final_best_HVMinus_q75
RE3D,estimatedReferenceFronts,1000,30,-0.29978967128134903,-0.2998696010300209,-0.2997057776122415,-0.9973895547247931,-0.9974039295146997,-0.9973749157850333
RE3D,estimatedReferenceFronts,3000,30,-0.29990982489978824,-0.29992554562158974,-0.29990982475574635,-0.9974023363449189,-0.9974151729319513,-0.9973909386850102
RE3D,estimatedReferenceFronts,5000,30,-0.29997204903360913,-0.2999798366273732,-0.29995928333668015,-0.99738839886559,-0.9973996700127511,-0.997373041192434
RE3D,estimatedReferenceFronts,7000,30,-0.30000389326203336,-0.30001018640863525,-0.29998935607151517,-0.9973766154296969,-0.99739166117948,-0.9973726378394848
RE3D,referenceFronts,1000,30,0.020633871457158552,0.020546248239569825,0.0208735346241726,-0.8498443878253513,-0.850005707576097,-0.8497176092081258
RE3D,referenceFronts,3000,30,0.01597610928196735,0.015706430869108026,0.016323358228616,-0.8512886529050365,-0.8513292599278864,-0.8511692692360188
RE3D,referenceFronts,5000,30,0.01532382239790515,0.015211124386494575,0.015517216593146076,-0.8515383686787512,-0.8515592842269805,-0.8514982011121524
RE3D,referenceFronts,7000,30,0.0151979448081162,0.015019930872606224,0.015343799087501,-0.8516338179347311,-0.8516535081230998,-0.8515735520758442
RWA3D,estimatedReferenceFronts,1000,30,-0.11344389776839565,-0.11348536450616153,-0.11338474903740052,-0.829751514037333,-0.8297939344348431,-0.8297122007129708
RWA3D,estimatedReferenceFronts,3000,30,-0.11346256731806,-0.11348670888312941,-0.11342542307352957,-0.829993222678996,-0.8300034684406412,-0.8299677273828202
RWA3D,estimatedReferenceFronts,5000,30,-0.1134627168517483,-0.11347438629385687,-0.11342462279710827,-0.8300354959728058,-0.830042753879364,-0.8300251738221162
RWA3D,estimatedReferenceFronts,7000,30,-0.11345144126418905,-0.11348752441541404,-0.11343089957938325,-0.8300534866953317,-0.8300780908674718,-0.8300319892103144
RWA3D,referenceFronts,1000,30,0.17839634208372415,0.17823178771245127,0.1786086340834341,-0.5851843820608167,-0.585211736809522,-0.5851121645961427
RWA3D,referenceFronts,3000,30,0.17517727947028844,0.17504832819662397,0.17525370938054946,-0.5858298688471234,-0.5858664748583213,-0.58574483706342
RWA3D,referenceFronts,5000,30,0.1746904027540836,0.17453364122481796,0.1747998469854756,-0.5858496630096328,-0.5858826662037528,-0.5858093664395777
RWA3D,referenceFronts,7000,30,0.17445522328796653,0.17440116450942916,0.1746489133576907,-0.5859075611100876,-0.5859504479339166,-0.58581986987085
