# Evaluation: 0

# Evaluation: 100
EP=0.3925891408829252 HVMinus=-0.5830255146404771 | --algorithmResult population --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.23859992509768935 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.6153738988868253 --blxAlphaBetaCrossoverAlpha 0.8012365156606476 --mutation powerLaw --mutationProbabilityFactor 1.783427361223699 --mutationRepairStrategy bounds --powerLawMutationDelta 6.014255749361719 --selection random 
EP=0.3928126220276355 HVMinus=-0.5842600749289503 | --algorithmResult externalArchive --populationSizeWithArchive 127 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.3942390233469938 --crossoverRepairStrategy bounds --mutation powerLaw --mutationProbabilityFactor 0.9849295966186071 --mutationRepairStrategy bounds --powerLawMutationDelta 6.443031581985573 --selection boltzmann --boltzmannTemperature 58.864131679818314 

# Evaluation: 200
EP=0.39305430421376775 HVMinus=-0.585211919538195 | --algorithmResult externalArchive --populationSizeWithArchive 179 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.7238398526721791 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.27609763624619343 --mutation powerLaw --mutationProbabilityFactor 1.7938529000743146 --mutationRepairStrategy bounds --powerLawMutationDelta 7.937518375263878 --selection stochasticUniversalSampling 
EP=0.39238221425645925 HVMinus=-0.5848620294924166 | --algorithmResult externalArchive --populationSizeWithArchive 65 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5622172002500982 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.8121620612446018 --blxAlphaBetaCrossoverAlpha 0.802154582359836 --mutation powerLaw --mutationProbabilityFactor 1.783427361223699 --mutationRepairStrategy round --powerLawMutationDelta 6.014255749361719 --selection random 

# Evaluation: 300
EP=0.3919087554776481 HVMinus=-0.5853106413286263 | --algorithmResult externalArchive --populationSizeWithArchive 179 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.7238398526721791 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.27609763624619343 --mutation powerLaw --mutationProbabilityFactor 1.7938529000743146 --mutationRepairStrategy bounds --powerLawMutationDelta 7.937518375263878 --selection stochasticUniversalSampling 
EP=0.39172823232091475 HVMinus=-0.5837035176440696 | --algorithmResult externalArchive --populationSizeWithArchive 89 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.598715143791856 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.0528599542522423 --mutation powerLaw --mutationProbabilityFactor 0.7734954863698459 --mutationRepairStrategy round --powerLawMutationDelta 6.35377643086548 --selection boltzmann --boltzmannTemperature 74.66787054861243 

# Evaluation: 400
EP=0.3919087554776481 HVMinus=-0.5853106413286263 | --algorithmResult externalArchive --populationSizeWithArchive 179 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.7238398526721791 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.27609763624619343 --mutation powerLaw --mutationProbabilityFactor 1.7938529000743146 --mutationRepairStrategy bounds --powerLawMutationDelta 7.937518375263878 --selection stochasticUniversalSampling 
EP=0.39203644955482436 HVMinus=-0.5853168201396216 | --algorithmResult externalArchive --populationSizeWithArchive 36 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.20051311587671175 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8448696824907483 --blxAlphaBetaCrossoverAlpha 0.5697295046040219 --mutation powerLaw --mutationProbabilityFactor 0.5278003381294492 --mutationRepairStrategy round --powerLawMutationDelta 9.670279727499585 --selection stochasticUniversalSampling 
EP=0.3912185480394663 HVMinus=-0.5850294030273598 | --algorithmResult externalArchive --populationSizeWithArchive 36 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5622172002500982 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8447088739149439 --blxAlphaBetaCrossoverAlpha 0.5730095748850438 --mutation powerLaw --mutationProbabilityFactor 1.7682583759167354 --mutationRepairStrategy round --powerLawMutationDelta 6.014255749361719 --selection random 

# Evaluation: 500
