family,parameter,value
RE3D,algorithmResult,externalArchive
RE3D,archiveType,unboundedArchive
RE3D,blxAlphaBetaCrossoverAlpha,
RE3D,blxAlphaBetaCrossoverBeta,
RE3D,blxAlphaCrossoverAlpha,
RE3D,boltzmannTemperature,74.61364499783463
RE3D,createInitialSolutions,cauchy
RE3D,crossover,laplace
RE3D,crossoverProbability,0.7447826518992279
RE3D,crossoverRepairStrategy,bounds
RE3D,fuzzyRecombinationCrossoverAlpha,
RE3D,laplaceCrossoverScale,0.47943896540966724
RE3D,levyFlightMutationBeta,1.3646405560978851
RE3D,levyFlightMutationStepSize,0.746853859116406
RE3D,linkedPolynomialMutationDistributionIndex,
RE3D,mutation,levyFlight
RE3D,mutationProbabilityFactor,1.019233530565577
RE3D,mutationRepairStrategy,bounds
RE3D,nonUniformMutationPerturbation,
RE3D,offspringPopulationSize,5
RE3D,pcxCrossoverEta,
RE3D,pcxCrossoverZeta,
RE3D,polynomialMutationDistributionIndex,
RE3D,populationSizeWithArchive,57.0
RE3D,powerLawMutationDelta,
RE3D,sbxDistributionIndex,
RE3D,selection,boltzmann
RE3D,selectionTournamentSize,
RE3D,undcCrossoverEta,
RE3D,undcCrossoverZeta,
RE3D,uniformMutationPerturbation,
RE3D,variation,crossoverAndMutationVariation
RWA3D,algorithmResult,externalArchive
RWA3D,archiveType,unboundedArchive
RWA3D,blxAlphaBetaCrossoverAlpha,0.8983459546314853
RWA3D,blxAlphaBetaCrossoverBeta,0.7023297614285211
RWA3D,blxAlphaCrossoverAlpha,
RWA3D,boltzmannTemperature,
RWA3D,createInitialSolutions,cauchy
RWA3D,crossover,BLX-alpha-beta
RWA3D,crossoverProbability,0.3757628872400478
RWA3D,crossoverRepairStrategy,round
RWA3D,fuzzyRecombinationCrossoverAlpha,
RWA3D,laplaceCrossoverScale,
RWA3D,levyFlightMutationBeta,
RWA3D,levyFlightMutationStepSize,
RWA3D,linkedPolynomialMutationDistributionIndex,
RWA3D,mutation,powerLaw
RWA3D,mutationProbabilityFactor,1.708592193075607
RWA3D,mutationRepairStrategy,bounds
RWA3D,nonUniformMutationPerturbation,
RWA3D,offspringPopulationSize,10
RWA3D,pcxCrossoverEta,
RWA3D,pcxCrossoverZeta,
RWA3D,polynomialMutationDistributionIndex,
RWA3D,populationSizeWithArchive,32.0
RWA3D,powerLawMutationDelta,8.815985905732134
RWA3D,sbxDistributionIndex,
RWA3D,selection,ranking
RWA3D,selectionTournamentSize,
RWA3D,undcCrossoverEta,
RWA3D,undcCrossoverZeta,
RWA3D,uniformMutationPerturbation,
RWA3D,variation,crossoverAndMutationVariation
