Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,selection,selectionTournamentSize
100,0,0.0,NaN,NaN,1.0,2.0,0.0,1.0,0.052035541501147975,2.0,NaN,0.11725132250513282,3.0,0.8451720649131831,2.0,NaN,NaN,NaN,0.9635516035599505,0.0,5.0
100,1,1.0,48.0,1.0,2.0,4.0,0.0,0.0,0.16016730453398242,1.0,36.9611273733737,NaN,3.0,1.8846372471801816,1.0,NaN,NaN,NaN,0.661572801255521,0.0,7.0
100,2,1.0,134.0,1.0,0.0,4.0,0.0,0.0,0.2618313560696568,2.0,174.92338381528273,NaN,0.0,1.5157676909421667,2.0,0.5395042067145198,NaN,NaN,NaN,0.0,7.0
150,0,1.0,134.0,1.0,0.0,4.0,0.0,0.0,0.2618313560696568,2.0,174.92338381528273,NaN,0.0,1.5157676909421667,2.0,0.5395042067145198,NaN,NaN,NaN,0.0,7.0
150,1,0.0,NaN,NaN,1.0,2.0,0.0,0.0,0.2615366303561422,2.0,175.94795907444498,NaN,3.0,1.518466299505243,2.0,NaN,NaN,NaN,0.9635516035599505,0.0,5.0
150,2,1.0,134.0,1.0,0.0,4.0,0.0,1.0,0.2661722859474439,2.0,NaN,0.9212343120174238,3.0,0.8321968190746953,2.0,NaN,NaN,NaN,0.9980107243899574,0.0,7.0
200,0,1.0,48.0,1.0,2.0,4.0,0.0,0.0,0.16016730453398242,1.0,35.48759273541077,NaN,3.0,0.8155843232843369,1.0,NaN,NaN,NaN,0.6762079684475746,0.0,7.0
200,1,1.0,123.0,1.0,2.0,0.0,0.0,0.0,0.8294018689250794,1.0,221.53225681766443,NaN,3.0,1.8537033199765272,0.0,NaN,NaN,NaN,0.6626476015565747,0.0,7.0
250,0,1.0,48.0,1.0,2.0,4.0,0.0,0.0,0.16016730453398242,1.0,35.48759273541077,NaN,3.0,0.8155843232843369,1.0,NaN,NaN,NaN,0.6762079684475746,0.0,7.0
250,1,1.0,123.0,1.0,2.0,0.0,0.0,0.0,0.8294018689250794,1.0,221.53225681766443,NaN,3.0,1.8537033199765272,0.0,NaN,NaN,NaN,0.6626476015565747,0.0,7.0
300,0,1.0,123.0,1.0,2.0,4.0,0.0,0.0,0.8142738198542764,2.0,173.15735705005096,NaN,3.0,0.8321968190746953,2.0,NaN,NaN,NaN,0.9923617940092057,0.0,7.0
350,0,1.0,123.0,1.0,2.0,4.0,0.0,0.0,0.8142738198542764,2.0,173.15735705005096,NaN,3.0,0.8321968190746953,2.0,NaN,NaN,NaN,0.9923617940092057,0.0,7.0
