Rank,Parameter,GiniImportance,PermutationImportance
1,sbxDistributionIndex,0,555713,1,000000
2,mutation,0,499680,0,370049
3,mutationProbabilityFactor,0,422421,0,297358
4,selection,0,290006,0,179931
5,crossoverRepairStrategy,0,226865,0,230823
6,crossoverProbability,0,196825,0,220560
7,populationSizeWithArchive,0,068446,0,035711
8,archiveType,0,030385,0,060393
9,linkedPolynomialMutationDistributionIndex,0,014144,0,017547
10,createInitialSolutions,0,010621,0,004057
11,offspringPopulationSize,0,007148,0,010370
12,selectionTournamentSize,0,001131,0,000947
13,algorithmResult,0,000000,0,000000
14,variation,0,000000,0,000000
15,crossover,0,000000,0,000000
16,blxAlphaCrossoverAlpha,0,000000,0,000000
17,mutationRepairStrategy,0,000000,0,000000
18,uniformMutationPerturbation,0,000000,0,000000
19,polynomialMutationDistributionIndex,0,000000,0,000000
20,nonUniformMutationPerturbation,0,000000,0,000000
