Evaluation,SolutionId,EP,NHV
100,0,0.26451614275076873,0.3103310413146569
100,1,0.41594695023373196,0.21711631314661065
100,2,3.5198675184383825,0.2082397295156931
150,0,3.5198675184383825,0.2082397295156931
150,1,0.2063413794012237,0.23486481533625625
150,2,0.29626876202505414,0.21091164908467946
200,0,0.11583752596400879,0.18916068379276965
200,1,0.11415608582899028,0.1995862414908014
250,0,0.11583752596400879,0.18916068379276965
250,1,0.11415608582899028,0.1995862414908014
300,0,0.04618052047311706,0.0935251030377429
350,0,0.04618052047311706,0.0935251030377429
