# Evaluation: 0

# Evaluation: 100
EP=0.3927679108206182 HVMinus=-0.5829095170439896 | --algorithmResult externalArchive --populationSizeWithArchive 122 --archiveType crowdingDistanceArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.2998873381885844 --crossoverRepairStrategy bounds --sbxDistributionIndex 288.093074578944 --mutation levyFlight --mutationProbabilityFactor 1.2638312712049016 --mutationRepairStrategy round --levyFlightMutationBeta 1.0409245320402867 --levyFlightMutationStepSize 0.8932978267321038 --selection random 
EP=0.39375361378324797 HVMinus=-0.5843196494580746 | --algorithmResult externalArchive --populationSizeWithArchive 192 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7367998432417293 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9374348672327937 --mutation nonUniform --mutationProbabilityFactor 1.827798768496415 --mutationRepairStrategy round --nonUniformMutationPerturbation 0.3742871219642916 --selection ranking 
EP=0.39304849206929005 HVMinus=-0.5831452522515422 | --algorithmResult externalArchive --populationSizeWithArchive 156 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.8433979224729923 --crossoverRepairStrategy round --pcxCrossoverZeta 0.36967905395191947 --pcxCrossoverEta 0.4785148824201577 --mutation powerLaw --mutationProbabilityFactor 1.7792117501660076 --mutationRepairStrategy bounds --powerLawMutationDelta 1.9404244178560883 --selection boltzmann --boltzmannTemperature 50.44752294298094 

# Evaluation: 200
EP=0.3926502848055411 HVMinus=-0.5848929036974536 | --algorithmResult externalArchive --populationSizeWithArchive 10 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8670867995415585 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7984113552515044 --mutation levyFlight --mutationProbabilityFactor 0.9889005160651716 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.4422999023312273 --levyFlightMutationStepSize 0.6093366478408323 --selection tournament --selectionTournamentSize 8 
EP=0.39212135709949053 HVMinus=-0.5839900317197503 | --algorithmResult externalArchive --populationSizeWithArchive 192 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7367998432417293 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9374348672327937 --mutation nonUniform --mutationProbabilityFactor 1.827798768496415 --mutationRepairStrategy round --nonUniformMutationPerturbation 0.3742871219642916 --selection ranking 

# Evaluation: 300
EP=0.39251239491627027 HVMinus=-0.585197264212251 | --algorithmResult externalArchive --populationSizeWithArchive 120 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.05476522985116017 --crossoverRepairStrategy bounds --sbxDistributionIndex 46.38946706868261 --mutation powerLaw --mutationProbabilityFactor 1.905636947080335 --mutationRepairStrategy round --powerLawMutationDelta 6.962945697681964 --selection random 
EP=0.3919327570473423 HVMinus=-0.5849026442990292 | --algorithmResult externalArchive --populationSizeWithArchive 121 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.7367998432417293 --crossoverRepairStrategy random --sbxDistributionIndex 28.786608500564125 --mutation levyFlight --mutationProbabilityFactor 1.827798768496415 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2432870754733103 --levyFlightMutationStepSize 0.9202850996632047 --selection boltzmann --boltzmannTemperature 6.123131834367446 
