family,front_type,budget,parameter,parameter_kind,action,supported_views,recommendation_reason,recommended_value,recommended_min,recommended_max
RE3D,extremePointsFronts,7000,algorithmResult,categorical,fix,EP|HV|joint,dominant_category_repeats,externalArchive,,
RE3D,extremePointsFronts,7000,archiveType,categorical,fix,EP|HV|joint,dominant_category_repeats,unboundedArchive,,
RE3D,extremePointsFronts,7000,crossover,categorical,fix,EP|HV|joint,dominant_category_repeats,laplace,,
RE3D,extremePointsFronts,7000,crossoverRepairStrategy,categorical,fix,EP|HV|joint,dominant_category_repeats,bounds,,
RE3D,extremePointsFronts,7000,mutationRepairStrategy,categorical,fix,EP|HV|joint,dominant_category_repeats,bounds,,
RE3D,extremePointsFronts,7000,variation,categorical,fix,EP|HV|joint,dominant_category_repeats,crossoverAndMutationVariation,,
RE3D,extremePointsFronts,7000,blxAlphaBetaCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,blxAlphaBetaCrossoverBeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,blxAlphaCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,createInitialSolutions,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,fuzzyRecombinationCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,laplaceCrossoverScale,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,levyFlightMutationBeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,levyFlightMutationStepSize,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,linkedPolynomialMutationDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,mutation,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,mutationProbabilityFactor,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,nonUniformMutationPerturbation,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,offspringPopulationSize,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,pcxCrossoverEta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,pcxCrossoverZeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,polynomialMutationDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,powerLawMutationDelta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,sbxDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,selection,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,selectionTournamentSize,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,undcCrossoverEta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,undcCrossoverZeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,uniformMutationPerturbation,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,7000,boltzmannTemperature,numerical,narrow,EP|HV|joint,low_iqr_and_overlapping_centers,,52.63256744695127,89.65264966062594
RE3D,extremePointsFronts,7000,crossoverProbability,numerical,narrow,HV|joint,low_iqr_and_overlapping_centers,,0.7397830128391119,0.9997362995174516
RE3D,extremePointsFronts,7000,populationSizeWithArchive,numerical,narrow,HV|joint,low_iqr_and_overlapping_centers,,73.25,128.75
RWA3D,extremePointsFronts,7000,algorithmResult,categorical,fix,EP|HV|joint,dominant_category_repeats,externalArchive,,
RWA3D,extremePointsFronts,7000,archiveType,categorical,fix,EP|HV|joint,dominant_category_repeats,unboundedArchive,,
