Frente,Budget,Indicador,Componente,Importancia,Importancia RE3D,Importancia RWA3D
Puntos extremos,1000,EP,populationSizeWithArchive,0.1665505110207027,0.2087444576672837,0.1243565643741218
Puntos extremos,1000,HV,populationSizeWithArchive,0.2823289238195464,0.4651036856398676,0.0995541619992253
Real,1000,EP,mutationProbabilityFactor,0.2397699600444148,0.3319322604834219,0.1476076596054077
Real,1000,HV,mutationProbabilityFactor,0.3425098858175361,0.580298308446507,0.1047214631885653
Puntos extremos,3000,EP,mutationProbabilityFactor,0.1629434974786499,0.1073737770872588,0.218513217870041
Puntos extremos,3000,HV,crossoverProbability,0.2957465949730773,0.477528643921946,0.1139645460242087
Real,3000,EP,populationSizeWithArchive,0.2359875405737313,0.2129043851546678,0.2590706959927948
Real,3000,HV,powerLawMutationDelta,0.2578124734965602,0.044722254275594,0.4709026927175264
Puntos extremos,5000,EP,blxAlphaBetaCrossoverBeta,0.1953771559596113,0.3327448580945825,0.0580094538246401
Puntos extremos,5000,HV,powerLawMutationDelta,0.2649678956745115,0.0218858108490461,0.5080499804999771
Real,5000,EP,populationSizeWithArchive,0.4578134848689484,0.4749004780573088,0.4407264916805881
Real,5000,HV,powerLawMutationDelta,0.2161561489282585,0.0143675406122387,0.4179447572442784
Puntos extremos,7000,EP,powerLawMutationDelta,0.2114176667798527,0.2647572630153159,0.1580780705443896
Puntos extremos,7000,HV,crossoverProbability,0.1658269715718869,0.3031596754509691,0.0284942676928046
Real,7000,EP,populationSizeWithArchive,0.5523827732586488,0.4992717611562421,0.6054937853610555
Real,7000,HV,populationSizeWithArchive,0.3409920314164495,0.3384923284078762,0.3434917344250229
