Frente,Budget,Indicador,Rank,Componente,Importancia,Importancia RE3D,Importancia RWA3D
Real,1000,EP,1,mutationProbabilityFactor,0.2397699600444148,0.3319322604834219,0.1476076596054077
Real,1000,EP,2,powerLawMutationDelta,0.2296851323873515,0.0126894324173108,0.4466808323573921
Real,1000,EP,3,blxAlphaBetaCrossoverBeta,0.0791296259028955,0.1153454160024436,0.0429138358033474
Real,1000,HV,1,mutationProbabilityFactor,0.3425098858175361,0.580298308446507,0.1047214631885653
Real,1000,HV,2,powerLawMutationDelta,0.1544232518459559,0.0189348819702028,0.289911621721709
Real,1000,HV,3,blxAlphaBetaCrossoverAlpha,0.0644760054927339,0.0188045940088408,0.1101474169766269
Puntos extremos,1000,EP,1,populationSizeWithArchive,0.1665505110207027,0.2087444576672837,0.1243565643741218
Puntos extremos,1000,EP,2,crossoverProbability,0.1482546134621994,0.1824383509768391,0.1140708759475598
Puntos extremos,1000,EP,3,mutationProbabilityFactor,0.1473329988998452,0.1293873488026558,0.1652786489970346
Puntos extremos,1000,HV,1,populationSizeWithArchive,0.2823289238195464,0.4651036856398676,0.0995541619992253
Puntos extremos,1000,HV,2,crossoverProbability,0.1869818211462699,0.098937990155438,0.2750256521371018
Puntos extremos,1000,HV,3,selectionTournamentSize,0.1023667578710013,0.1024692008806964,0.1022643148613062
Real,3000,EP,1,populationSizeWithArchive,0.2359875405737313,0.2129043851546678,0.2590706959927948
Real,3000,EP,2,powerLawMutationDelta,0.2348801866528411,0.1375302228775998,0.3322301504280823
Real,3000,EP,3,crossoverProbability,0.1110885027620958,0.0820355203482096,0.140141485175982
Real,3000,HV,1,powerLawMutationDelta,0.2578124734965602,0.044722254275594,0.4709026927175264
Real,3000,HV,2,mutationProbabilityFactor,0.1279358310294601,0.1281971042919328,0.1276745577669875
Real,3000,HV,3,populationSizeWithArchive,0.0865705021662583,0.0562711557070009,0.1168698486255156
Puntos extremos,3000,EP,1,mutationProbabilityFactor,0.1629434974786499,0.1073737770872588,0.218513217870041
Puntos extremos,3000,EP,2,crossoverProbability,0.1586192691017275,0.1887280396139577,0.1285104985894973
Puntos extremos,3000,EP,3,populationSizeWithArchive,0.0862788638420768,0.0676812981329956,0.1048764295511581
Puntos extremos,3000,HV,1,crossoverProbability,0.2957465949730773,0.477528643921946,0.1139645460242087
Puntos extremos,3000,HV,2,mutationProbabilityFactor,0.1699147726177021,0.0357530953200189,0.3040764499153853
Puntos extremos,3000,HV,3,populationSizeWithArchive,0.1008378467512091,0.1509612089561476,0.0507144845462706
Real,5000,EP,1,populationSizeWithArchive,0.4578134848689484,0.4749004780573088,0.4407264916805881
Real,5000,EP,2,crossoverProbability,0.1421122351489721,0.062614143107366,0.2216103271905782
Real,5000,EP,3,powerLawMutationDelta,0.0976583047633494,0.0322611910970302,0.1630554184296686
Real,5000,HV,1,powerLawMutationDelta,0.2161561489282585,0.0143675406122387,0.4179447572442784
Real,5000,HV,2,populationSizeWithArchive,0.1672218353763311,0.1740485898750386,0.1603950808776237
Real,5000,HV,3,crossoverProbability,0.1134931435082244,0.030334682362131,0.1966516046543178
Puntos extremos,5000,EP,1,blxAlphaBetaCrossoverBeta,0.1953771559596113,0.3327448580945825,0.0580094538246401
Puntos extremos,5000,EP,2,populationSizeWithArchive,0.118423519898363,0.1696986693991229,0.0671483703976031
Puntos extremos,5000,EP,3,mutationProbabilityFactor,0.1061608979307359,0.054128590482484,0.1581932053789878
Puntos extremos,5000,HV,1,powerLawMutationDelta,0.2649678956745115,0.0218858108490461,0.5080499804999771
Puntos extremos,5000,HV,2,crossoverProbability,0.2008505452191746,0.3447037067906138,0.0569973836477353
Puntos extremos,5000,HV,3,crossover,0.1143783499941713,0.0625261076375749,0.1662305923507676
Real,7000,EP,1,populationSizeWithArchive,0.5523827732586488,0.4992717611562421,0.6054937853610555
Real,7000,EP,2,crossoverProbability,0.0668440101749544,0.0511587574883131,0.0825292628615957
Real,7000,EP,3,powerLawMutationDelta,0.0607001480388068,0.0243498647757634,0.0970504313018502
Real,7000,HV,1,populationSizeWithArchive,0.3409920314164495,0.3384923284078762,0.3434917344250229
Real,7000,HV,2,laplaceCrossoverScale,0.1445819428210615,0.2692561088412045,0.0199077768009185
Real,7000,HV,3,powerLawMutationDelta,0.1047706345957467,0.0190739552208094,0.190467313970684
Puntos extremos,7000,EP,1,powerLawMutationDelta,0.2114176667798527,0.2647572630153159,0.1580780705443896
Puntos extremos,7000,EP,2,mutationProbabilityFactor,0.1539420955635073,0.1476175168559197,0.160266674271095
Puntos extremos,7000,EP,3,populationSizeWithArchive,0.1323262651324739,0.0898812046312993,0.1747713256336486
Puntos extremos,7000,HV,1,crossoverProbability,0.1658269715718869,0.3031596754509691,0.0284942676928046
Puntos extremos,7000,HV,2,linkedPolynomialMutationDistributionIndex,0.1647959880087308,0.0,0.3295919760174616
Puntos extremos,7000,HV,3,mutation,0.1647332693207599,0.0030424412428324,0.3264240973986875
