family,front_type,budget,parameter,n,median,q25,q75
RE3D,extremePointsFronts,1000,blxAlphaBetaCrossoverAlpha,19,0.908931977624082,0.8214491835039431,0.9427721802017773
RE3D,referenceFronts,1000,blxAlphaBetaCrossoverAlpha,18,0.9073427344456128,0.8676017033211384,0.9667325569865319
RE3D,extremePointsFronts,3000,blxAlphaBetaCrossoverAlpha,14,0.8580189806145782,0.7878493952698418,0.9107578095316986
RE3D,referenceFronts,3000,blxAlphaBetaCrossoverAlpha,7,0.913406652834668,0.7862312987080563,0.9523052737491078
RE3D,extremePointsFronts,5000,blxAlphaBetaCrossoverAlpha,11,0.8438628724730726,0.7415483149862243,0.9106465435856514
RE3D,referenceFronts,5000,blxAlphaBetaCrossoverAlpha,6,0.7687620910898795,0.7120487490332994,0.9276753130524256
RE3D,referenceFronts,7000,blxAlphaBetaCrossoverAlpha,7,0.9189556228603556,0.7972669466658815,0.9450799773511992
RE3D,extremePointsFronts,1000,blxAlphaBetaCrossoverBeta,19,0.6983642347636797,0.6133722211839445,0.7671149577660836
RE3D,referenceFronts,1000,blxAlphaBetaCrossoverBeta,18,0.7638096954300382,0.6565474393245374,0.854820324834174
RE3D,extremePointsFronts,3000,blxAlphaBetaCrossoverBeta,14,0.8828153086477241,0.8631147013301095,0.9130079972923277
RE3D,referenceFronts,3000,blxAlphaBetaCrossoverBeta,7,0.961415633303234,0.8148267623525492,0.9803405370838005
RE3D,extremePointsFronts,5000,blxAlphaBetaCrossoverBeta,11,0.8629892901737238,0.8361582897502513,0.9155321036152064
RE3D,referenceFronts,5000,blxAlphaBetaCrossoverBeta,6,0.8986780774073349,0.8826765546807436,0.907044730901244
RE3D,referenceFronts,7000,blxAlphaBetaCrossoverBeta,7,0.8455474610072616,0.7765459018350014,0.8731800085163703
RE3D,extremePointsFronts,1000,blxAlphaCrossoverAlpha,11,0.9278545847921112,0.8900493691146188,0.9916832149880136
RE3D,referenceFronts,1000,blxAlphaCrossoverAlpha,10,0.8369148419981268,0.7404163424495106,0.9080799108922561
RE3D,extremePointsFronts,3000,blxAlphaCrossoverAlpha,5,0.8792311656531923,0.8749031331597041,0.9304902276419036
RE3D,referenceFronts,3000,blxAlphaCrossoverAlpha,11,0.9705945665072376,0.8585563659019955,0.9796277002944549
RE3D,extremePointsFronts,5000,blxAlphaCrossoverAlpha,4,0.9464553802472251,0.911343661535729,0.9580734680397296
RE3D,referenceFronts,5000,blxAlphaCrossoverAlpha,9,0.8664953534590187,0.8011746383480978,0.9377661112445338
RE3D,extremePointsFronts,7000,blxAlphaCrossoverAlpha,2,0.9005556175149672,0.8535746717227672,0.947536563307167
RE3D,referenceFronts,7000,blxAlphaCrossoverAlpha,4,0.9392705636278627,0.9008539356371913,0.9505716752199728
RE3D,extremePointsFronts,1000,boltzmannTemperature,12,26.522139133917292,24.191297266452345,46.33908381131009
RE3D,referenceFronts,1000,boltzmannTemperature,12,38.32665563769443,18.727029908517196,43.807784498918735
RE3D,extremePointsFronts,3000,boltzmannTemperature,12,37.28519228823038,20.809014983640303,69.91914109905309
RE3D,referenceFronts,3000,boltzmannTemperature,4,35.67686963017241,31.305346049200825,50.254470313682255
RE3D,extremePointsFronts,5000,boltzmannTemperature,6,75.94140560791072,65.1976072330058,90.91284238211159
RE3D,referenceFronts,5000,boltzmannTemperature,10,49.28853003537243,27.306422219073546,72.55206395325497
RE3D,extremePointsFronts,7000,boltzmannTemperature,10,74.98955300640384,66.83658889521357,81.11263717298661
RE3D,referenceFronts,7000,boltzmannTemperature,7,42.51252555119625,37.31172295423676,78.47625458812567
RE3D,extremePointsFronts,1000,crossoverProbability,30,0.9767291214274756,0.9452909486077832,0.9883825463002434
RE3D,referenceFronts,1000,crossoverProbability,30,0.985470226017383,0.9629815862102902,0.9939246502813908
RE3D,extremePointsFronts,3000,crossoverProbability,30,0.946556588614154,0.8719122570670511,0.9646983221529388
RE3D,referenceFronts,3000,crossoverProbability,30,0.9240850655799651,0.8605729095575216,0.9509568583744097
RE3D,extremePointsFronts,5000,crossoverProbability,30,0.875645411362416,0.7147606022146811,0.9723007746451802
RE3D,referenceFronts,5000,crossoverProbability,30,0.8608545497817928,0.7616050921895521,0.9225260637144321
RE3D,extremePointsFronts,7000,crossoverProbability,30,0.8490660325120014,0.724256800119458,0.9450725298401932
RE3D,referenceFronts,7000,crossoverProbability,30,0.841610182319751,0.7304681763984718,0.9110727365624323
RE3D,extremePointsFronts,1000,levyFlightMutationBeta,15,1.501511811973126,1.2020844783542124,1.665700492515291
RE3D,referenceFronts,1000,levyFlightMutationBeta,12,1.300350748739215,1.1391228644981495,1.5717252896056788
RE3D,extremePointsFronts,3000,levyFlightMutationBeta,14,1.477300753961957,1.3321862663396382,1.581745692069822
RE3D,referenceFronts,3000,levyFlightMutationBeta,18,1.3299659929114669,1.1983292973294208,1.585170700584128
RE3D,extremePointsFronts,5000,levyFlightMutationBeta,19,1.3642129209637095,1.174690315756996,1.5840173306253846
RE3D,referenceFronts,5000,levyFlightMutationBeta,17,1.2888391807394457,1.1960392592849518,1.5247177910160468
RE3D,extremePointsFronts,7000,levyFlightMutationBeta,20,1.3908687323663145,1.2940869350003876,1.5829397119664352
RE3D,referenceFronts,7000,levyFlightMutationBeta,16,1.4801844612054182,1.183069688042329,1.5454856815544762
RE3D,extremePointsFronts,1000,levyFlightMutationStepSize,15,0.632244946695641,0.5555842150706471,0.8207225452166189
RE3D,referenceFronts,1000,levyFlightMutationStepSize,12,0.7296767083198268,0.5995456575203848,0.8203496741765631
RE3D,extremePointsFronts,3000,levyFlightMutationStepSize,14,0.47225379069356255,0.4142887180297573,0.835016671933316
RE3D,referenceFronts,3000,levyFlightMutationStepSize,18,0.6921715386570579,0.56543171210497,0.8353782498495005
RE3D,extremePointsFronts,5000,levyFlightMutationStepSize,19,0.8850279483244552,0.6655153392516268,0.9243159299146918
RE3D,referenceFronts,5000,levyFlightMutationStepSize,17,0.6621865046512777,0.5564055790290046,0.7618770490167515
RE3D,extremePointsFronts,7000,levyFlightMutationStepSize,20,0.8328313251154811,0.7323264134822327,0.9629105646074119
RE3D,referenceFronts,7000,levyFlightMutationStepSize,16,0.8549667792385856,0.7821314443810191,0.9335470482794228
RE3D,extremePointsFronts,1000,mutationProbabilityFactor,30,0.43154251693870627,0.2847994535508519,0.704493503855663
RE3D,referenceFronts,1000,mutationProbabilityFactor,30,0.3495252002186434,0.1774327533451583,0.6045688547955504
RE3D,extremePointsFronts,3000,mutationProbabilityFactor,30,0.6065728981556999,0.37585644751354963,0.9108803295767094
RE3D,referenceFronts,3000,mutationProbabilityFactor,30,0.6967652574006047,0.38581394803730495,0.8293710033131662
RE3D,extremePointsFronts,5000,mutationProbabilityFactor,30,0.7382170104811929,0.5862196094505125,0.9318030543390954
RE3D,referenceFronts,5000,mutationProbabilityFactor,30,0.8292329799389601,0.5313047159782638,0.9306998860605217
RE3D,extremePointsFronts,7000,mutationProbabilityFactor,30,0.7295628841619494,0.5840657126028901,1.04217600433293
RE3D,referenceFronts,7000,mutationProbabilityFactor,30,0.803060502379376,0.5539955775213645,1.1742489322219383
