# Evaluation: 0

# Evaluation: 100
EP=0.18991900926567384 HVMinus=-0.5805762276321103 | --algorithmResult population --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.2114605942425981 --crossoverRepairStrategy round --pcxCrossoverZeta 0.16910673985142466 --pcxCrossoverEta 0.389429030756425 --mutation powerLaw --mutationProbabilityFactor 1.6262410646679548 --mutationRepairStrategy bounds --powerLawMutationDelta 5.756019595784592 --selection stochasticUniversalSampling 

# Evaluation: 200
EP=0.1855087797163919 HVMinus=-0.5809174907917501 | --algorithmResult externalArchive --populationSizeWithArchive 29 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.4919459198184639 --crossoverRepairStrategy round --mutation levyFlight --mutationProbabilityFactor 0.998297978865439 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.0263927516815876 --levyFlightMutationStepSize 0.6603653452135885 --selection boltzmann --boltzmannTemperature 47.4031001495665 

# Evaluation: 300
EP=0.18406699911506694 HVMinus=-0.5813620165650503 | --algorithmResult externalArchive --populationSizeWithArchive 29 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.4919459198184639 --crossoverRepairStrategy round --fuzzyRecombinationCrossoverAlpha 0.5627540247414341 --mutation levyFlight --mutationProbabilityFactor 0.9890410211427715 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.0257340380747917 --levyFlightMutationStepSize 0.6600601240330732 --selection boltzmann --boltzmannTemperature 47.4031001495665 
EP=0.18687825658537713 HVMinus=-0.5817486786177317 | --algorithmResult externalArchive --populationSizeWithArchive 118 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6107949855300733 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.7465141146697786 --blxAlphaBetaCrossoverAlpha 0.7392813105772018 --mutation powerLaw --mutationProbabilityFactor 1.4472990436253008 --mutationRepairStrategy bounds --powerLawMutationDelta 4.4981355778481635 --selection ranking 
EP=0.18937615966234858 HVMinus=-0.5818020638964269 | --algorithmResult externalArchive --populationSizeWithArchive 80 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.44995991123460627 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.43852198274345844 --mutation powerLaw --mutationProbabilityFactor 0.5732397361555341 --mutationRepairStrategy bounds --powerLawMutationDelta 8.337746026031292 --selection stochasticUniversalSampling 
EP=0.18410867910122197 HVMinus=-0.5815189447274047 | --algorithmResult externalArchive --populationSizeWithArchive 29 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.6108668469494882 --crossoverRepairStrategy round --mutation powerLaw --mutationProbabilityFactor 0.8943999921404878 --mutationRepairStrategy bounds --powerLawMutationDelta 8.879940904284114 --selection tournament --selectionTournamentSize 3 
EP=0.1861558581256215 HVMinus=-0.581694040608587 | --algorithmResult externalArchive --populationSizeWithArchive 23 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.4919459198184639 --crossoverRepairStrategy random --mutation levyFlight --mutationProbabilityFactor 1.0802167594118501 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6798587741680993 --levyFlightMutationStepSize 0.6658901538057188 --selection stochasticUniversalSampling 

# Evaluation: 400
EP=0.1819662631316594 HVMinus=-0.5827365699945779 | --algorithmResult externalArchive --populationSizeWithArchive 29 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.6011537418575928 --crossoverRepairStrategy random --fuzzyRecombinationCrossoverAlpha 0.564190629225983 --mutation powerLaw --mutationProbabilityFactor 1.0905809462360663 --mutationRepairStrategy bounds --powerLawMutationDelta 8.897605507335838 --selection stochasticUniversalSampling 
EP=0.18247653879776324 HVMinus=-0.5831710326823403 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover wholeArithmetic --crossoverProbability 0.6023722535383076 --crossoverRepairStrategy random --mutation powerLaw --mutationProbabilityFactor 1.4530220405785885 --mutationRepairStrategy bounds --powerLawMutationDelta 8.884399950567806 --selection ranking 

# Evaluation: 500
EP=0.18331872804999483 HVMinus=-0.5840726555966773 | --algorithmResult externalArchive --populationSizeWithArchive 27 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.4968328726448476 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.6491534460514765 --blxAlphaBetaCrossoverAlpha 0.43578912213949583 --mutation powerLaw --mutationProbabilityFactor 1.5818168621926139 --mutationRepairStrategy bounds --powerLawMutationDelta 8.913704867152356 --selection boltzmann --boltzmannTemperature 15.01035338462547 
EP=0.18266120914283432 HVMinus=-0.584043015473578 | --algorithmResult externalArchive --populationSizeWithArchive 125 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6146456062347244 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.6491534460514765 --blxAlphaBetaCrossoverAlpha 0.43578912213949583 --mutation powerLaw --mutationProbabilityFactor 1.5818168621926139 --mutationRepairStrategy bounds --powerLawMutationDelta 8.913704867152356 --selection boltzmann --boltzmannTemperature 15.01035338462547 
EP=0.17966373521862974 HVMinus=-0.5839480618549382 | --algorithmResult externalArchive --populationSizeWithArchive 27 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.49723928840545856 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.6505422310159497 --blxAlphaBetaCrossoverAlpha 0.43578912213949583 --mutation levyFlight --mutationProbabilityFactor 1.5818168621926139 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.4729523235061597 --levyFlightMutationStepSize 0.7036797875123464 --selection boltzmann --boltzmannTemperature 15.01035338462547 

