# Evaluation: 0

# Evaluation: 100
EP=0.15421929182920627 HVMinus=-0.848268795505776 | --algorithmResult population --createInitialSolutions oppositionBased --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9236121958457154 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.7484306198054241 --blxAlphaBetaCrossoverAlpha 0.7970711353033283 --mutation linkedPolynomial --mutationProbabilityFactor 0.08191578707798519 --mutationRepairStrategy bounds --linkedPolynomialMutationDistributionIndex 231.21261512890027 --selection stochasticUniversalSampling 
EP=0.1526916256547865 HVMinus=-0.8479752869933319 | --algorithmResult population --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8115315945425536 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6257789273060134 --mutation powerLaw --mutationProbabilityFactor 0.7074379220125477 --mutationRepairStrategy round --powerLawMutationDelta 1.1316316010803382 --selection ranking 

# Evaluation: 200
EP=0.1526916256547865 HVMinus=-0.8479752869933319 | --algorithmResult population --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8115315945425536 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6257789273060134 --mutation powerLaw --mutationProbabilityFactor 0.7074379220125477 --mutationRepairStrategy round --powerLawMutationDelta 1.1316316010803382 --selection ranking 
EP=0.15363267895686022 HVMinus=-0.8482897561216525 | --algorithmResult population --createInitialSolutions oppositionBased --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9236121958457154 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.7484306198054241 --blxAlphaBetaCrossoverAlpha 0.7970711353033283 --mutation linkedPolynomial --mutationProbabilityFactor 0.08191578707798519 --mutationRepairStrategy bounds --linkedPolynomialMutationDistributionIndex 231.21261512890027 --selection stochasticUniversalSampling 
EP=0.1517808440675805 HVMinus=-0.8468994462413532 | --algorithmResult population --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.42957999503410116 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.38176767072604156 --mutation powerLaw --mutationProbabilityFactor 1.6741542011977575 --mutationRepairStrategy bounds --powerLawMutationDelta 3.151687121230876 --selection boltzmann --boltzmannTemperature 28.254582045121477 

# Evaluation: 300
EP=0.15189231850935303 HVMinus=-0.8506584561844628 | --algorithmResult externalArchive --populationSizeWithArchive 165 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.9213071609365706 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.4776247786443243 --mutation nonUniform --mutationProbabilityFactor 0.6646038930723648 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.4154529893228597 --selection boltzmann --boltzmannTemperature 16.9096730407471 
EP=0.15082835405265405 HVMinus=-0.8496359762401207 | --algorithmResult externalArchive --populationSizeWithArchive 193 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8115315945425536 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6258013339425779 --mutation powerLaw --mutationProbabilityFactor 0.7074379220125477 --mutationRepairStrategy round --powerLawMutationDelta 2.616860792412721 --selection ranking 

# Evaluation: 400
