# Evaluation: 0

# Evaluation: 100
EP=0.1869458948745761 HVMinus=-0.5827705151550894 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9848073009741336 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.79066448421099 --mutation powerLaw --mutationProbabilityFactor 1.2249176407207192 --mutationRepairStrategy round --powerLawMutationDelta 6.39103593137894 --selection tournament --selectionTournamentSize 4 

# Evaluation: 200
EP=0.1869458948745761 HVMinus=-0.5827705151550894 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9848073009741336 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.79066448421099 --mutation powerLaw --mutationProbabilityFactor 1.2249176407207192 --mutationRepairStrategy round --powerLawMutationDelta 6.39103593137894 --selection tournament --selectionTournamentSize 4 
EP=0.18619856527011625 HVMinus=-0.5820237838363381 | --algorithmResult externalArchive --populationSizeWithArchive 70 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover arithmetic --crossoverProbability 0.25145056530047516 --crossoverRepairStrategy round --mutation powerLaw --mutationProbabilityFactor 1.2144982739637573 --mutationRepairStrategy bounds --powerLawMutationDelta 9.221066811544286 --selection random 
EP=0.18810859861595164 HVMinus=-0.5829630028877225 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9848073009741336 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.79066448421099 --mutation powerLaw --mutationProbabilityFactor 1.2249176407207192 --mutationRepairStrategy round --powerLawMutationDelta 6.39103593137894 --selection tournament --selectionTournamentSize 4 
EP=0.1852820247676981 HVMinus=-0.5810736229438449 | --algorithmResult externalArchive --populationSizeWithArchive 148 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6874953522124572 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.4600380091806615 --blxAlphaBetaCrossoverAlpha 0.16372201687701576 --mutation levyFlight --mutationProbabilityFactor 1.7054159587634783 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1221570490781132 --levyFlightMutationStepSize 0.8432094276916839 --selection stochasticUniversalSampling 

# Evaluation: 300
EP=0.1869458948745761 HVMinus=-0.5827705151550894 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9848073009741336 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.79066448421099 --mutation powerLaw --mutationProbabilityFactor 1.2249176407207192 --mutationRepairStrategy round --powerLawMutationDelta 6.39103593137894 --selection tournament --selectionTournamentSize 4 
EP=0.18810859861595164 HVMinus=-0.5829630028877225 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9848073009741336 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.79066448421099 --mutation powerLaw --mutationProbabilityFactor 1.2249176407207192 --mutationRepairStrategy round --powerLawMutationDelta 6.39103593137894 --selection tournament --selectionTournamentSize 4 
EP=0.18775726872026963 HVMinus=-0.5828245605219186 | --algorithmResult population --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9848073009741336 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.79066448421099 --mutation powerLaw --mutationProbabilityFactor 1.2240690064594322 --mutationRepairStrategy round --powerLawMutationDelta 6.402259786778796 --selection tournament --selectionTournamentSize 3 
EP=0.18321693855069113 HVMinus=-0.5789843622099933 | --algorithmResult externalArchive --populationSizeWithArchive 21 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.8470665175195773 --crossoverRepairStrategy round --sbxDistributionIndex 315.68573399016066 --mutation nonUniform --mutationProbabilityFactor 1.361625364637419 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.4531435337156179 --selection ranking 
EP=0.18385264066938115 HVMinus=-0.5822688607235654 | --algorithmResult externalArchive --populationSizeWithArchive 77 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover UNDC --crossoverProbability 0.6135863125208495 --crossoverRepairStrategy bounds --undcCrossoverZeta 0.7907505476243485 --undcCrossoverEta 0.4635157735133373 --mutation powerLaw --mutationProbabilityFactor 1.2380665980496381 --mutationRepairStrategy round --powerLawMutationDelta 6.814597427214677 --selection boltzmann --boltzmannTemperature 92.87937935920738 
EP=0.18341354603710847 HVMinus=-0.5818190547099168 | --algorithmResult externalArchive --populationSizeWithArchive 94 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8861419082803023 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.4675805538687329 --blxAlphaBetaCrossoverAlpha 0.5649110779027521 --mutation levyFlight --mutationProbabilityFactor 0.6460296037775881 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3934527934190177 --levyFlightMutationStepSize 0.5614113626375675 --selection boltzmann --boltzmannTemperature 48.48100237809805 

# Evaluation: 400
EP=0.18119984775123885 HVMinus=-0.5839717594681803 | --algorithmResult externalArchive --populationSizeWithArchive 154 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9848073009741336 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.79066448421099 --mutation powerLaw --mutationProbabilityFactor 1.2249176407207192 --mutationRepairStrategy round --powerLawMutationDelta 6.393050325720213 --selection tournament --selectionTournamentSize 9 
