cluster,n_rows,hv_median,ep_median,algorithmResult_mode,populationSizeWithArchive_median,archiveType_mode,createInitialSolutions_mode,offspringPopulationSize_mode,variation_mode,crossover_mode,crossoverProbability_median,crossoverRepairStrategy_mode,sbxDistributionIndex_median,blxAlphaCrossoverAlpha_median,blxAlphaBetaCrossoverBeta_median,blxAlphaBetaCrossoverAlpha_median,laplaceCrossoverScale_median,fuzzyRecombinationCrossoverAlpha_median,pcxCrossoverZeta_median,pcxCrossoverEta_median,undcCrossoverZeta_median,undcCrossoverEta_median,mutation_mode,mutationProbabilityFactor_median,mutationRepairStrategy_mode,uniformMutationPerturbation_median,polynomialMutationDistributionIndex_median,linkedPolynomialMutationDistributionIndex_median,nonUniformMutationPerturbation_median,levyFlightMutationBeta_median,levyFlightMutationStepSize_median,powerLawMutationDelta_median,selection_mode,selectionTournamentSize_median,boltzmannTemperature_median,HV_median,cluster_median,family,front_type
0,24,0.8511423879682881,0.0199541160529004,externalArchive,29.0,unboundedArchive,oppositionBased,10,crossoverAndMutationVariation,BLX-alpha,0.9510771143682865,bounds,,0.8489625559482498,0.8026664957225241,0.9340460010129497,0.4388090382241575,,,,,,levyFlight,0.5157621392587584,bounds,,,397.40957908625785,,1.340455278108676,0.7638553713474849,,tournament,3.0,38.70593735135755,0.8511423879682881,0.0,RE3D,referenceFronts
1,15,0.8514031899898331,0.0172245280910716,externalArchive,43.0,unboundedArchive,cauchy,5,crossoverAndMutationVariation,BLX-alpha,0.9343278981866076,bounds,,0.952970179365983,,,0.4919922089216345,,,,,,powerLaw,0.4624154861143291,bounds,0.3506833090984876,,,,1.5451520082870465,0.7542988528221213,6.6448480857521455,boltzmann,3.0,41.853078605495206,0.8514031899898331,1.0,RE3D,referenceFronts
2,11,0.8500376821267908,0.021794613810029,externalArchive,37.0,unboundedArchive,cauchy,1,crossoverAndMutationVariation,BLX-alpha,0.9863583095131194,bounds,,0.8714728391523974,0.7115396316788403,0.8903182544472529,,,,,,,powerLaw,0.4240202758613072,bounds,0.9735989567054,,,0.8075005403176456,,,7.330918250220336,tournament,4.0,,0.8500376821267908,2.0,RE3D,referenceFronts
3,36,0.8515739190359675,0.016283578530713952,externalArchive,77.0,unboundedArchive,sobol,5,crossoverAndMutationVariation,laplace,0.8439276560580392,bounds,,,0.8783243446124155,0.7662509104343653,0.4593509777675882,,,,,,levyFlight,0.9638684106337905,bounds,,,,,1.3758164964704225,0.6980510905176152,,boltzmann,3.0,60.5807270832953,0.8515739190359675,3.0,RE3D,referenceFronts
4,14,0.8515188162640857,0.017148306237580048,externalArchive,33.0,unboundedArchive,sobol,10,crossoverAndMutationVariation,BLX-alpha,0.9054550428127491,bounds,,0.8664953534590187,0.8506399761322805,0.942325490158794,0.4361574600835367,,,,,,powerLaw,0.5313815197868801,bounds,,,,0.7319609255219917,,,7.19869170091981,boltzmann,,31.1120469045144,0.8515188162640857,4.0,RE3D,referenceFronts
5,15,0.8513651366405638,0.0175443570038651,externalArchive,22.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha-beta,0.9478505127018744,bounds,,,0.9005222084363909,0.8866348839245245,,,,,,,powerLaw,0.6846059240057543,bounds,0.6323232861585377,,,0.139132648155253,,,7.7465212254426525,boltzmann,,43.06518653964539,0.8513651366405638,5.0,RE3D,referenceFronts
6,5,0.8510558043875127,0.0193630984019307,externalArchive,66.0,unboundedArchive,cauchy,5,crossoverAndMutationVariation,PCX,0.8575438570681946,bounds,,,,,,,0.8463507801692093,0.8899743470180971,,,powerLaw,0.7611741864173363,bounds,,,,,1.0822158547606637,0.6266863252847694,7.814002887165778,ranking,8.0,12.978149858304455,0.8510558043875127,6.0,RE3D,referenceFronts
0,52,0.8513430552368595,0.15198891181130691,externalArchive,34.0,unboundedArchive,cauchy,5,crossoverAndMutationVariation,BLX-alpha-beta,0.9490209837647806,bounds,,0.934778589463994,0.8662118717790409,0.8571145308658688,0.4815034354960531,,,,,,powerLaw,0.5505912468326749,bounds,0.804220596540215,325.52128697059436,342.74688238383624,0.6474747174380304,,,7.911440457851539,boltzmann,5.0,65.95912187803151,0.8513430552368595,0.0,RE3D,extremePointsFronts
1,68,0.8515279765944818,0.15134362632358794,externalArchive,74.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,laplace,0.923065628171099,bounds,,0.9076810413895302,0.7549646135684749,0.908931977624082,0.4664993785779932,,0.6868285123140184,0.9480157827601924,,,levyFlight,0.7439672752048607,bounds,,,,,1.40930537043719,0.7690793987267068,,boltzmann,5.0,56.65501100810529,0.8515279765944818,1.0,RE3D,extremePointsFronts
0,12,0.5851681765252899,0.17945962513887803,externalArchive,23.0,unboundedArchive,latinHypercubeSampling,10,crossoverAndMutationVariation,BLX-alpha,0.7774907264396431,bounds,292.9572997989667,0.9654872878507336,0.7601030428380238,0.9406335149762352,0.4949028625407995,,,,,,levyFlight,1.816965276346655,bounds,,,,,1.0721083629625214,0.9202215758117388,,boltzmann,3.0,61.43817555344741,0.5851681765252899,0.0,RWA3D,referenceFronts
1,23,0.5858331392342935,0.1772480740843548,externalArchive,36.0,unboundedArchive,cauchy,5,crossoverAndMutationVariation,BLX-alpha-beta,0.4783376708268471,random,,0.9224849206423921,0.6860979586531648,0.8859140173042949,,,,,,,powerLaw,1.728334821793744,round,,,,,,,8.494983225742606,boltzmann,7.0,30.062591845217902,0.5858331392342935,1.0,RWA3D,referenceFronts
2,44,0.5857964662068964,0.1780392579942502,externalArchive,34.5,unboundedArchive,cauchy,20,crossoverAndMutationVariation,BLX-alpha-beta,0.6194183044947879,round,,,0.6395021641062963,0.8505685703391068,,,,,,,powerLaw,1.7799241307147584,bounds,,,,,,,8.937852473770281,ranking,4.0,28.29073676830115,0.5857964662068964,2.0,RWA3D,referenceFronts
3,26,0.5858714730686017,0.1773495777200056,externalArchive,42.5,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha,0.40683371472650626,bounds,,0.9293202282523318,,,,,,,,,powerLaw,1.882972161100401,round,,,,,,,9.279474135635603,tournament,4.0,12.624472247512802,0.5858714730686017,3.0,RWA3D,referenceFronts
4,15,0.5858331653485057,0.1766743690577702,externalArchive,56.0,unboundedArchive,cauchy,20,crossoverAndMutationVariation,laplace,0.24807573674275,bounds,228.49293742622746,,,,0.4661111119266228,,0.6603626753764951,0.0274530829652231,0.3048149716338632,0.1090276292776207,powerLaw,1.7989236835524696,round,,,,,,,8.865159128419366,random,9.0,11.473591152341903,0.5858331653485057,4.0,RWA3D,referenceFronts
0,46,0.585883104407654,0.3925070873764336,externalArchive,33.5,unboundedArchive,cauchy,50,crossoverAndMutationVariation,BLX-alpha-beta,0.4826841147088715,bounds,,0.8643737956086104,0.7268418488128021,0.8715849178097606,0.40520134508902006,,,,,,powerLaw,1.851075381644137,round,,,,,,,9.511252967814231,tournament,5.0,19.740554231805568,0.585883104407654,0.0,RWA3D,extremePointsFronts
1,69,0.5858689754746869,0.3924610583467358,externalArchive,31.0,unboundedArchive,cauchy,1,crossoverAndMutationVariation,BLX-alpha-beta,0.432419370559266,bounds,,0.8912625258318584,0.7659617004435127,0.8434426836948681,0.4580054490615627,,,,,,powerLaw,1.7659899550161855,round,,,,,,,9.05625697152221,stochasticUniversalSampling,6.5,38.64480620042049,0.5858689754746869,1.0,RWA3D,extremePointsFronts
2,5,0.585135774584488,0.3922981057021396,externalArchive,24.0,unboundedArchive,cauchy,1,crossoverAndMutationVariation,BLX-alpha,0.8422927259416315,bounds,,0.8376297413820522,0.7576916623823571,0.9468754244884522,,,,,,,levyFlight,1.559763760648745,bounds,,,,,1.104147456300535,0.9543869668117616,,ranking,4.0,42.70295817201614,0.585135774584488,2.0,RWA3D,extremePointsFronts
