family,front_type,budget,view,quantile,parameter,category,observed_share,elite_share,elite_over_representation
RE3D,extremePointsFronts,1000,EP,0.05,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,EP,0.1,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,EP,0.2,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,HV,0.05,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,HV,0.1,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,HV,0.2,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,joint,0.05,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,joint,0.1,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,joint,0.2,algorithmResult,externalArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,EP,0.05,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,EP,0.1,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,EP,0.2,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,HV,0.05,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,HV,0.1,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,HV,0.2,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,joint,0.05,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,joint,0.1,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,joint,0.2,archiveType,unboundedArchive,1.0,1.0,0.0
RE3D,extremePointsFronts,1000,EP,0.05,createInitialSolutions,cauchy,0.4148936170212766,0.2,-0.21489361702127657
RE3D,extremePointsFronts,1000,EP,0.05,createInitialSolutions,default,0.10638297872340426,0.0,-0.10638297872340426
RE3D,extremePointsFronts,1000,EP,0.05,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.2,0.0794326241134752
RE3D,extremePointsFronts,1000,EP,0.05,createInitialSolutions,oppositionBased,0.06382978723404255,0.06666666666666667,0.0028368794326241176
RE3D,extremePointsFronts,1000,EP,0.05,createInitialSolutions,scatterSearch,0.12411347517730496,0.3333333333333333,0.20921985815602834
RE3D,extremePointsFronts,1000,EP,0.05,createInitialSolutions,sobol,0.1702127659574468,0.2,0.029787234042553207
RE3D,extremePointsFronts,1000,EP,0.1,createInitialSolutions,cauchy,0.4148936170212766,0.27586206896551724,-0.13903154805575935
RE3D,extremePointsFronts,1000,EP,0.1,createInitialSolutions,default,0.10638297872340426,0.034482758620689655,-0.0719002201027146
RE3D,extremePointsFronts,1000,EP,0.1,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.1724137931034483,0.05184641721692347
RE3D,extremePointsFronts,1000,EP,0.1,createInitialSolutions,oppositionBased,0.06382978723404255,0.06896551724137931,0.005135730007336761
RE3D,extremePointsFronts,1000,EP,0.1,createInitialSolutions,scatterSearch,0.12411347517730496,0.2413793103448276,0.11726583516752263
RE3D,extremePointsFronts,1000,EP,0.1,createInitialSolutions,sobol,0.1702127659574468,0.20689655172413793,0.036683785766691124
