front_type,budget,parameter_family,EP,HVMinus,mean_weight
referenceFronts,5000,algorithmResult,0.0,0.0,0.0
referenceFronts,5000,populationSizeWithArchive,0.4578134848689484,0.1672218353763311,0.3125176601226401
referenceFronts,5000,archiveType,0.0,0.0,0.0
referenceFronts,5000,createInitialSolutions,0.0139549118189235,0.0210295534406621,0.017492232629792822
referenceFronts,5000,offspringPopulationSize,0.0229304841518946,0.0106960713751442,0.016813277763519416
referenceFronts,5000,variation,0.0,0.0,0.0
referenceFronts,5000,crossover,0.0110747140130499,0.0846097669118819,0.04784224046246596
referenceFronts,5000,crossoverProbability,0.1421122351489721,0.1134931435082244,0.12780268932859837
referenceFronts,5000,crossoverRepairStrategy,0.0049964313663467,0.0041295880010301,0.004563009683688405
referenceFronts,5000,sbxDistributionIndex,0.0012867001788867,0.0008484735691034,0.0010675868739950512
referenceFronts,5000,blxAlphaCrossoverAlpha,0.0610112869300691,0.0096041520251921,0.035307719477630645
referenceFronts,5000,blxAlphaBetaCrossoverBeta,0.0172081869366193,0.0147207093834397,0.015964448160029517
referenceFronts,5000,blxAlphaBetaCrossoverAlpha,0.0166474778003588,0.0090804635602339,0.012863970680296363
referenceFronts,5000,laplaceCrossoverScale,0.0146652540957969,0.0621459924995595,0.03840562329767824
referenceFronts,5000,fuzzyRecombinationCrossoverAlpha,3.080781142103115e-05,2.630450739988391e-06,1.6719131080509786e-05
referenceFronts,5000,pcxCrossoverZeta,0.0021037932040835,0.0818303257474802,0.0419670594757819
referenceFronts,5000,pcxCrossoverEta,0.0023514495190244,0.0776179882921324,0.03998471890557844
referenceFronts,5000,undcCrossoverZeta,0.0001239424358575,0.0001467572290351,0.00013534983244630017
referenceFronts,5000,undcCrossoverEta,8.571322957419536e-05,8.853820115559049e-05,8.712571536489302e-05
referenceFronts,5000,mutation,0.0015315319783972,0.0019316654416696,0.001731598710033402
referenceFronts,5000,mutationProbabilityFactor,0.0374154569677809,0.0590652455227209,0.04824035124525095
referenceFronts,5000,mutationRepairStrategy,0.0093438232759743,0.0173822347568313,0.013363029016402815
referenceFronts,5000,uniformMutationPerturbation,0.0003040483191171,0.0002095847577509,0.0002568165384340003
referenceFronts,5000,polynomialMutationDistributionIndex,0.0,0.0,0.0
referenceFronts,5000,linkedPolynomialMutationDistributionIndex,0.0,0.0,0.0
referenceFronts,5000,nonUniformMutationPerturbation,0.0,0.0,0.0
referenceFronts,5000,levyFlightMutationBeta,0.0149226668788306,0.0080980311466135,0.01151034901272206
referenceFronts,5000,levyFlightMutationStepSize,0.0105477445228711,0.0049727223946169,0.007760233458744008
referenceFronts,5000,powerLawMutationDelta,0.0976583047633494,0.2161561489282585,0.1569072268458041
referenceFronts,5000,selection,0.0408701768778448,0.0263996260491902,0.03363490146351753
referenceFronts,5000,selectionTournamentSize,0.0071004589418511,0.0030678470942422,0.005084153018046656
referenceFronts,5000,boltzmannTemperature,0.0119089139641559,0.0054509043367591,0.00867990915045751
