front_type,budget,parameter_family,EP,HVMinus,mean_weight
extremePointsFronts,5000,algorithmResult,0.0,0.0,0.0
extremePointsFronts,5000,populationSizeWithArchive,0.118423519898363,0.0420394379300702,0.08023147891421668
extremePointsFronts,5000,archiveType,0.0,0.0,0.0
extremePointsFronts,5000,createInitialSolutions,0.079651527642914,0.0183500146301436,0.04900077113652885
extremePointsFronts,5000,offspringPopulationSize,0.0379781161469493,0.0481552893908122,0.04306670276888079
extremePointsFronts,5000,variation,0.0,0.0,0.0
extremePointsFronts,5000,crossover,0.0154109320125044,0.1143783499941713,0.06489464100333792
extremePointsFronts,5000,crossoverProbability,0.1043734766719628,0.2008505452191746,0.15261201094556884
extremePointsFronts,5000,crossoverRepairStrategy,0.0130812136066635,0.0094162698839694,0.011248741745316461
extremePointsFronts,5000,sbxDistributionIndex,0.0008137308172088,4.762631215555715e-05,0.00043067856468217904
extremePointsFronts,5000,blxAlphaCrossoverAlpha,0.0558088740522495,0.0045884743032561,0.03019867417775283
extremePointsFronts,5000,blxAlphaBetaCrossoverBeta,0.1953771559596113,0.0070099343193384,0.10119354513947496
extremePointsFronts,5000,blxAlphaBetaCrossoverAlpha,0.0550943150686651,0.006281060427564,0.03068768774811458
extremePointsFronts,5000,laplaceCrossoverScale,0.0494411126740417,0.0269246890938504,0.03818290088394608
extremePointsFronts,5000,fuzzyRecombinationCrossoverAlpha,0.0001152700830317,0.0362533934547369,0.01818433176888432
extremePointsFronts,5000,pcxCrossoverZeta,0.0006306250941552,0.0304397223177709,0.015535173705963065
extremePointsFronts,5000,pcxCrossoverEta,0.0004853132113839,0.0314230851353046,0.015954199173344265
extremePointsFronts,5000,undcCrossoverZeta,2.5316557708304244e-06,0.0070554645860858,0.0035289981209283183
extremePointsFronts,5000,undcCrossoverEta,3.436731745164363e-06,0.0074563004000797,0.003729868565912436
extremePointsFronts,5000,mutation,0.0019364747359316,0.005967325550176,0.003951900143053804
extremePointsFronts,5000,mutationProbabilityFactor,0.1061608979307359,0.065881681613565,0.08602128977215054
extremePointsFronts,5000,mutationRepairStrategy,0.0212339850428938,0.0175996995230111,0.01941684228295247
extremePointsFronts,5000,uniformMutationPerturbation,0.0,0.0,0.0
extremePointsFronts,5000,polynomialMutationDistributionIndex,6.015419364602838e-06,0.0020438553289128,0.0010249353741387025
extremePointsFronts,5000,linkedPolynomialMutationDistributionIndex,0.0,0.0,0.0
extremePointsFronts,5000,nonUniformMutationPerturbation,0.0016325992738794,1.1376409154295232e-05,0.0008219878415168485
extremePointsFronts,5000,levyFlightMutationBeta,0.0154889008127289,0.0081713315895758,0.011830116201152362
extremePointsFronts,5000,levyFlightMutationStepSize,0.0173721254247652,0.012943186830822,0.015157656127793616
extremePointsFronts,5000,powerLawMutationDelta,0.0541575389531903,0.2649678956745115,0.15956271731385108
extremePointsFronts,5000,selection,0.0247573734444866,0.0139585762322629,0.019357974838374772
extremePointsFronts,5000,selectionTournamentSize,0.0171635186797632,0.012848315307726,0.015005916993744615
extremePointsFronts,5000,boltzmannTemperature,0.013399418955039,0.0049370985417981,0.00916825874841856
