Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII-Standard,RE31,EP,0,4.687989876003E-4
NSGAII-Standard,RE31,EP,1,2.3258509714152087E-4
NSGAII-Standard,RE31,EP,2,2.803890671315152E-4
NSGAII-Standard,RE31,EP,3,2.881975805429325E-4
NSGAII-Standard,RE31,EP,4,2.2493908339251634E-4
NSGAII-Standard,RE31,EP,5,2.1040478880643505E-4
NSGAII-Standard,RE31,EP,6,2.1767747729292865E-4
NSGAII-Standard,RE31,EP,7,7.733111774048908E-4
NSGAII-Standard,RE31,EP,8,2.416430547233074E-4
NSGAII-Standard,RE31,EP,9,2.524411851428741E-4
NSGAII-Standard,RE31,EP,10,2.2332456852564567E-4
NSGAII-Standard,RE31,EP,11,2.1935626617146313E-4
NSGAII-Standard,RE31,EP,12,2.0834489575947734E-4
NSGAII-Standard,RE31,EP,13,2.2088799620222598E-4
NSGAII-Standard,RE31,EP,14,0.002147260078544555
NSGAII-Standard,RE31,EP,15,2.598692722435391E-4
NSGAII-Standard,RE31,EP,16,9.004069019348187E-4
NSGAII-Standard,RE31,EP,17,2.8170746782162916E-4
NSGAII-Standard,RE31,EP,18,2.5690957334470644E-4
NSGAII-Standard,RE31,EP,19,2.977923164131304E-4
NSGAII-Standard,RE31,EP,20,2.649190904387165E-4
NSGAII-Standard,RE31,EP,21,2.2853374913568814E-4
NSGAII-Standard,RE31,EP,22,3.356218875764466E-4
NSGAII-Standard,RE31,EP,23,2.770226518205255E-4
NSGAII-Standard,RE31,EP,24,3.0309093474996607E-4
NSGAII-Standard,RE32,EP,0,0.015125533246061045
NSGAII-Standard,RE32,EP,1,0.032463776444121586
NSGAII-Standard,RE32,EP,2,0.0219668206960537
NSGAII-Standard,RE32,EP,3,0.044209049938176696
NSGAII-Standard,RE32,EP,4,0.046291728293219585
NSGAII-Standard,RE32,EP,5,0.010488750297799533
NSGAII-Standard,RE32,EP,6,0.011412238611995218
NSGAII-Standard,RE32,EP,7,0.003803693495254199
NSGAII-Standard,RE32,EP,8,0.007544447909278063
NSGAII-Standard,RE32,EP,9,0.00972968353857445
NSGAII-Standard,RE32,EP,10,0.007998604144586242
NSGAII-Standard,RE32,EP,11,0.020981255329373012
NSGAII-Standard,RE32,EP,12,0.0580421577489882
NSGAII-Standard,RE32,EP,13,0.040581606582986936
NSGAII-Standard,RE32,EP,14,0.011714043580632863
NSGAII-Standard,RE32,EP,15,0.021798987062953336
NSGAII-Standard,RE32,EP,16,0.010933870194601887
NSGAII-Standard,RE32,EP,17,0.011978340757096107
NSGAII-Standard,RE32,EP,18,0.03633710517155845
NSGAII-Standard,RE32,EP,19,0.08303732742816758
NSGAII-Standard,RE32,EP,20,0.010943277990968486
NSGAII-Standard,RE32,EP,21,0.01249624989543147
NSGAII-Standard,RE32,EP,22,0.016125985632690246
NSGAII-Standard,RE32,EP,23,0.012158032848917647
NSGAII-Standard,RE32,EP,24,0.027317052715822437
NSGAII-Standard,RE33,EP,0,0.014113314249280676
NSGAII-Standard,RE33,EP,1,0.013834098099445429
NSGAII-Standard,RE33,EP,2,0.012100089046763761
NSGAII-Standard,RE33,EP,3,0.0129431562047418
NSGAII-Standard,RE33,EP,4,0.012293798454985301
NSGAII-Standard,RE33,EP,5,0.015074390109127386
NSGAII-Standard,RE33,EP,6,0.009338993767219472
NSGAII-Standard,RE33,EP,7,0.021838617854879033
NSGAII-Standard,RE33,EP,8,0.014426225889894529
NSGAII-Standard,RE33,EP,9,0.057955248956627306
NSGAII-Standard,RE33,EP,10,0.009732161038653039
NSGAII-Standard,RE33,EP,11,0.015087365822457769
NSGAII-Standard,RE33,EP,12,0.012407160575443759
NSGAII-Standard,RE33,EP,13,0.0116622811090865
NSGAII-Standard,RE33,EP,14,0.010268750824874162
NSGAII-Standard,RE33,EP,15,0.06449573217523853
NSGAII-Standard,RE33,EP,16,0.01199754328998312
NSGAII-Standard,RE33,EP,17,0.012723604511201886
NSGAII-Standard,RE33,EP,18,0.010174323879064556
NSGAII-Standard,RE33,EP,19,0.015097623776384182
NSGAII-Standard,RE33,EP,20,0.014299957305729296
NSGAII-Standard,RE33,EP,21,0.01439172298034628
NSGAII-Standard,RE33,EP,22,0.010831230306778305
NSGAII-Standard,RE33,EP,23,0.01401435803292773
NSGAII-Standard,RE33,EP,24,0.009851160986652403
NSGAII-Standard,RE34,EP,0,0.0443849857089626
NSGAII-Standard,RE34,EP,1,0.04777021221246179
NSGAII-Standard,RE34,EP,2,0.044139861482040965
NSGAII-Standard,RE34,EP,3,0.040276684293171994
NSGAII-Standard,RE34,EP,4,0.05758107024902078
NSGAII-Standard,RE34,EP,5,0.05759706214966159
NSGAII-Standard,RE34,EP,6,0.039967204065298245
NSGAII-Standard,RE34,EP,7,0.04254632973210004
NSGAII-Standard,RE34,EP,8,0.04094152391990841
NSGAII-Standard,RE34,EP,9,0.05271264767030162
NSGAII-Standard,RE34,EP,10,0.04258784966075316
NSGAII-Standard,RE34,EP,11,0.05190263859512568
NSGAII-Standard,RE34,EP,12,0.041572199384327255
NSGAII-Standard,RE34,EP,13,0.040207243859224556
NSGAII-Standard,RE34,EP,14,0.05819040067054561
NSGAII-Standard,RE34,EP,15,0.057538454832256766
NSGAII-Standard,RE34,EP,16,0.05766418523732928
NSGAII-Standard,RE34,EP,17,0.057813483578098096
NSGAII-Standard,RE34,EP,18,0.043650275948870776
NSGAII-Standard,RE34,EP,19,0.057554588370561925
NSGAII-Standard,RE34,EP,20,0.06037134350840204
NSGAII-Standard,RE34,EP,21,0.05170631946355067
NSGAII-Standard,RE34,EP,22,0.057539379868827525
NSGAII-Standard,RE34,EP,23,0.0547898542126445
NSGAII-Standard,RE34,EP,24,0.04526530820687272
