scope,front_type,budget,indicator,rank,parameter_family,importance,n_samples
RE3D,referenceFronts,7000,EP,1,populationSizeWithArchive,0.49927176115624217,264
RE3D,referenceFronts,7000,EP,2,levyFlightMutationStepSize,0.07721722565448047,264
RE3D,referenceFronts,7000,EP,3,selection,0.06928297629427803,264
RE3D,referenceFronts,7000,EP,4,crossoverProbability,0.051158757488313146,264
RE3D,referenceFronts,7000,EP,5,laplaceCrossoverScale,0.04847429716352255,264
RE3D,referenceFronts,7000,EP,6,mutationProbabilityFactor,0.04503546512097494,264
RE3D,referenceFronts,7000,EP,7,levyFlightMutationBeta,0.03712376403569853,264
RE3D,referenceFronts,7000,EP,8,createInitialSolutions,0.028575687091145184,264
RE3D,referenceFronts,7000,EP,9,powerLawMutationDelta,0.024349864775763456,264
RE3D,referenceFronts,7000,EP,10,boltzmannTemperature,0.021588773688892015,264
RE3D,referenceFronts,7000,EP,11,offspringPopulationSize,0.021306785753973857,264
RE3D,referenceFronts,7000,EP,12,blxAlphaCrossoverAlpha,0.018925341522076557,264
RE3D,referenceFronts,7000,EP,13,crossover,0.01472862583465534,264
RE3D,referenceFronts,7000,EP,14,blxAlphaBetaCrossoverAlpha,0.013148560608418746,264
RE3D,referenceFronts,7000,EP,15,blxAlphaBetaCrossoverBeta,0.011689792809382886,264
RE3D,referenceFronts,7000,EP,16,crossoverRepairStrategy,0.009509833121108894,264
RE3D,referenceFronts,7000,EP,17,pcxCrossoverEta,0.0023112358401914507,264
RE3D,referenceFronts,7000,EP,18,pcxCrossoverZeta,0.002183541300380299,264
RE3D,referenceFronts,7000,EP,19,mutationRepairStrategy,0.0017135066784430305,264
RE3D,referenceFronts,7000,EP,20,mutation,0.0014552386904169274,264
RE3D,referenceFronts,7000,EP,21,nonUniformMutationPerturbation,0.0003378071681529085,264
RE3D,referenceFronts,7000,EP,22,selectionTournamentSize,0.00026921985673360155,264
RE3D,referenceFronts,7000,EP,23,uniformMutationPerturbation,0.00017765765302252818,264
RE3D,referenceFronts,7000,EP,24,linkedPolynomialMutationDistributionIndex,0.00011821417858218088,264
RE3D,referenceFronts,7000,EP,25,undcCrossoverZeta,3.1746041656476815e-05,264
RE3D,referenceFronts,7000,EP,26,undcCrossoverEta,1.4320473493812054e-05,264
RE3D,referenceFronts,7000,HVMinus,1,populationSizeWithArchive,0.3384923284078762,264
RE3D,referenceFronts,7000,HVMinus,2,laplaceCrossoverScale,0.26925610884120443,264
RE3D,referenceFronts,7000,HVMinus,3,mutationProbabilityFactor,0.07736002204925502,264
RE3D,referenceFronts,7000,HVMinus,4,crossover,0.048193552138159505,264
RE3D,referenceFronts,7000,HVMinus,5,crossoverProbability,0.044100982162892634,264
RE3D,referenceFronts,7000,HVMinus,6,levyFlightMutationStepSize,0.034110167559683484,264
RE3D,referenceFronts,7000,HVMinus,7,offspringPopulationSize,0.03229834976393062,264
RE3D,referenceFronts,7000,HVMinus,8,powerLawMutationDelta,0.01907395522080945,264
RE3D,referenceFronts,7000,HVMinus,9,pcxCrossoverEta,0.017446953888003512,264
RE3D,referenceFronts,7000,HVMinus,10,createInitialSolutions,0.01694791705654567,264
RE3D,referenceFronts,7000,HVMinus,11,levyFlightMutationBeta,0.01600182881028857,264
RE3D,referenceFronts,7000,HVMinus,12,blxAlphaBetaCrossoverAlpha,0.015394007468986469,264
RE3D,referenceFronts,7000,HVMinus,13,selection,0.014500954636345079,264
RE3D,referenceFronts,7000,HVMinus,14,linkedPolynomialMutationDistributionIndex,0.010383892984289688,264
RE3D,referenceFronts,7000,HVMinus,15,pcxCrossoverZeta,0.008610047307188257,264
RE3D,referenceFronts,7000,HVMinus,16,blxAlphaBetaCrossoverBeta,0.00834606795944504,264
RE3D,referenceFronts,7000,HVMinus,17,mutationRepairStrategy,0.008077476442546897,264
RE3D,referenceFronts,7000,HVMinus,18,mutation,0.0070317630575922,264
RE3D,referenceFronts,7000,HVMinus,19,blxAlphaCrossoverAlpha,0.00633221826848218,264
RE3D,referenceFronts,7000,HVMinus,20,boltzmannTemperature,0.0036918854492211943,264
RE3D,referenceFronts,7000,HVMinus,21,crossoverRepairStrategy,0.002655174620215651,264
RE3D,referenceFronts,7000,HVMinus,22,selectionTournamentSize,0.0011410030686092427,264
RE3D,referenceFronts,7000,HVMinus,23,uniformMutationPerturbation,0.0002605172735970158,264
RE3D,referenceFronts,7000,HVMinus,24,nonUniformMutationPerturbation,0.0001836774086952229,264
RE3D,referenceFronts,7000,HVMinus,25,undcCrossoverZeta,0.00010618025638900905,264
RE3D,referenceFronts,7000,HVMinus,26,undcCrossoverEta,2.9678997477647827e-06,264
RWA3D,referenceFronts,7000,EP,1,populationSizeWithArchive,0.6054937853610555,407
RWA3D,referenceFronts,7000,EP,2,powerLawMutationDelta,0.09705043130185022,407
RWA3D,referenceFronts,7000,EP,3,crossoverProbability,0.08252926286159579,407
RWA3D,referenceFronts,7000,EP,4,mutationProbabilityFactor,0.04221792151440532,407
RWA3D,referenceFronts,7000,EP,5,crossoverRepairStrategy,0.03052103649620424,407
RWA3D,referenceFronts,7000,EP,6,selection,0.029828241201645546,407
RWA3D,referenceFronts,7000,EP,7,blxAlphaBetaCrossoverBeta,0.019045974980886636,407
RWA3D,referenceFronts,7000,EP,8,blxAlphaBetaCrossoverAlpha,0.01734486702266034,407
RWA3D,referenceFronts,7000,EP,9,laplaceCrossoverScale,0.013265325615028838,407
RWA3D,referenceFronts,7000,EP,10,boltzmannTemperature,0.01051385718701804,407
RWA3D,referenceFronts,7000,EP,11,offspringPopulationSize,0.009785527506210347,407
RWA3D,referenceFronts,7000,EP,12,blxAlphaCrossoverAlpha,0.00909971583811948,407
RWA3D,referenceFronts,7000,EP,13,createInitialSolutions,0.00736311336839132,407
RWA3D,referenceFronts,7000,EP,14,mutationRepairStrategy,0.0072146304741392015,407
RWA3D,referenceFronts,7000,EP,15,selectionTournamentSize,0.006201652207503734,407
RWA3D,referenceFronts,7000,EP,16,crossover,0.00545863912407181,407
RWA3D,referenceFronts,7000,EP,17,levyFlightMutationStepSize,0.0027718271606400383,407
RWA3D,referenceFronts,7000,EP,18,levyFlightMutationBeta,0.0020360672865391443,407
RWA3D,referenceFronts,7000,EP,19,mutation,0.0010361371656861722,407
RWA3D,referenceFronts,7000,EP,20,sbxDistributionIndex,0.0008788657411440142,407
RWA3D,referenceFronts,7000,EP,21,pcxCrossoverEta,0.00015584078079241388,407
RWA3D,referenceFronts,7000,EP,22,pcxCrossoverZeta,0.00010701135953966429,407
RWA3D,referenceFronts,7000,EP,23,fuzzyRecombinationCrossoverAlpha,8.026844487236613e-05,407
RWA3D,referenceFronts,7000,HVMinus,1,populationSizeWithArchive,0.34349173442502284,407
RWA3D,referenceFronts,7000,HVMinus,2,powerLawMutationDelta,0.190467313970684,407
RWA3D,referenceFronts,7000,HVMinus,3,crossoverProbability,0.11561051459903596,407
RWA3D,referenceFronts,7000,HVMinus,4,mutationProbabilityFactor,0.07209800952637338,407
RWA3D,referenceFronts,7000,HVMinus,5,crossoverRepairStrategy,0.055186799756637095,407
RWA3D,referenceFronts,7000,HVMinus,6,createInitialSolutions,0.028634555024059833,407
RWA3D,referenceFronts,7000,HVMinus,7,crossover,0.02148845427336782,407
RWA3D,referenceFronts,7000,HVMinus,8,mutation,0.020665935702089737,407
RWA3D,referenceFronts,7000,HVMinus,9,mutationRepairStrategy,0.020191713738376325,407
RWA3D,referenceFronts,7000,HVMinus,10,levyFlightMutationBeta,0.02001979662487307,407
RWA3D,referenceFronts,7000,HVMinus,11,laplaceCrossoverScale,0.01990777680091851,407
RWA3D,referenceFronts,7000,HVMinus,12,offspringPopulationSize,0.017763999914749144,407
RWA3D,referenceFronts,7000,HVMinus,13,blxAlphaBetaCrossoverBeta,0.014701289509953664,407
RWA3D,referenceFronts,7000,HVMinus,14,blxAlphaBetaCrossoverAlpha,0.014287700763131687,407
RWA3D,referenceFronts,7000,HVMinus,15,selection,0.010791241515286711,407
RWA3D,referenceFronts,7000,HVMinus,16,blxAlphaCrossoverAlpha,0.010384612566673411,407
RWA3D,referenceFronts,7000,HVMinus,17,levyFlightMutationStepSize,0.00880802617689607,407
RWA3D,referenceFronts,7000,HVMinus,18,fuzzyRecombinationCrossoverAlpha,0.00801017413032477,407
RWA3D,referenceFronts,7000,HVMinus,19,boltzmannTemperature,0.0033022075729518914,407
RWA3D,referenceFronts,7000,HVMinus,20,selectionTournamentSize,0.002605880996412391,407
RWA3D,referenceFronts,7000,HVMinus,21,sbxDistributionIndex,0.001440707189181077,407
RWA3D,referenceFronts,7000,HVMinus,22,pcxCrossoverZeta,7.313016070217509e-05,407
RWA3D,referenceFronts,7000,HVMinus,23,pcxCrossoverEta,6.842506229831059e-05,407
RE3D,estimatedReferenceFronts,7000,EP,1,mutationProbabilityFactor,0.3207421704130774,667
RE3D,estimatedReferenceFronts,7000,EP,2,linkedPolynomialMutationDistributionIndex,0.20364272438490968,667
RE3D,estimatedReferenceFronts,7000,EP,3,polynomialMutationDistributionIndex,0.16560222053504217,667
RE3D,estimatedReferenceFronts,7000,EP,4,populationSizeWithArchive,0.040506980173828006,667
RE3D,estimatedReferenceFronts,7000,EP,5,mutation,0.03956091064075188,667
RE3D,estimatedReferenceFronts,7000,EP,6,crossoverProbability,0.028306984106885327,667
RE3D,estimatedReferenceFronts,7000,EP,7,createInitialSolutions,0.026563270892189128,667
RE3D,estimatedReferenceFronts,7000,EP,8,powerLawMutationDelta,0.02521649485684539,667
RE3D,estimatedReferenceFronts,7000,EP,9,blxAlphaBetaCrossoverBeta,0.024123930114390978,667
RE3D,estimatedReferenceFronts,7000,EP,10,archiveType,0.02096072168296291,667
RE3D,estimatedReferenceFronts,7000,EP,11,algorithmResult,0.019980478286499213,667
RE3D,estimatedReferenceFronts,7000,EP,12,crossoverRepairStrategy,0.018562436497278265,667
RE3D,estimatedReferenceFronts,7000,EP,13,selection,0.014520544331975672,667
RE3D,estimatedReferenceFronts,7000,EP,14,blxAlphaBetaCrossoverAlpha,0.01363959066597178,667
RE3D,estimatedReferenceFronts,7000,EP,15,offspringPopulationSize,0.009784971326171718,667
RE3D,estimatedReferenceFronts,7000,EP,16,crossover,0.008205820178519828,667
RE3D,estimatedReferenceFronts,7000,EP,17,levyFlightMutationStepSize,0.004161275554426657,667
RE3D,estimatedReferenceFronts,7000,EP,18,undcCrossoverZeta,0.003705663543322413,667
RE3D,estimatedReferenceFronts,7000,EP,19,mutationRepairStrategy,0.003337156627634945,667
RE3D,estimatedReferenceFronts,7000,EP,20,levyFlightMutationBeta,0.003301183538482457,667
RE3D,estimatedReferenceFronts,7000,EP,21,undcCrossoverEta,0.003245727508032226,667
RE3D,estimatedReferenceFronts,7000,EP,22,boltzmannTemperature,0.0008827128338917274,667
RE3D,estimatedReferenceFronts,7000,EP,23,laplaceCrossoverScale,0.0004361024342249913,667
RE3D,estimatedReferenceFronts,7000,EP,24,uniformMutationPerturbation,0.0002598968229418122,667
RE3D,estimatedReferenceFronts,7000,EP,25,selectionTournamentSize,0.00024256777307737754,667
RE3D,estimatedReferenceFronts,7000,EP,26,blxAlphaCrossoverAlpha,0.00023928856378136119,667
RE3D,estimatedReferenceFronts,7000,EP,27,pcxCrossoverZeta,9.709914744975717e-05,667
RE3D,estimatedReferenceFronts,7000,EP,28,pcxCrossoverEta,9.117752811629107e-05,667
RE3D,estimatedReferenceFronts,7000,EP,29,fuzzyRecombinationCrossoverAlpha,7.938121057265033e-05,667
RE3D,estimatedReferenceFronts,7000,EP,30,nonUniformMutationPerturbation,5.178267459132496e-07,667
RE3D,estimatedReferenceFronts,7000,HVMinus,1,archiveType,0.624224987604598,667
RE3D,estimatedReferenceFronts,7000,HVMinus,2,nonUniformMutationPerturbation,0.12852185309084077,667
RE3D,estimatedReferenceFronts,7000,HVMinus,3,mutation,0.07166054281463964,667
RE3D,estimatedReferenceFronts,7000,HVMinus,4,laplaceCrossoverScale,0.042936978772607944,667
