family,front_type,budget,run,checkpoint_eval,checkpoint_fraction,incumbent_found_at,distance_to_final_elite_medoid
RE3D,extremePointsFronts,1000,1,300,0.1,100,0.31647403534410445
RE3D,extremePointsFronts,1000,1,800,0.26666666666666666,700,0.2588613686200763
RE3D,extremePointsFronts,1000,1,1500,0.5,1300,0.3396041980721236
RE3D,extremePointsFronts,1000,1,2300,0.7666666666666667,2200,0.29058271892309184
RE3D,extremePointsFronts,1000,1,3000,1.0,2200,0.29058271892309184
RE3D,extremePointsFronts,1000,2,300,0.1,200,0.44293833824644613
RE3D,extremePointsFronts,1000,2,800,0.26666666666666666,700,0.20311690273591645
RE3D,extremePointsFronts,1000,2,1500,0.5,1100,0.19966291794082
RE3D,extremePointsFronts,1000,2,2300,0.7666666666666667,2200,0.20018343418705073
RE3D,extremePointsFronts,1000,2,3000,1.0,2200,0.20018343418705073
RE3D,extremePointsFronts,1000,3,300,0.1,300,0.38222509876290267
RE3D,extremePointsFronts,1000,3,800,0.26666666666666666,800,0.44492810825293955
RE3D,extremePointsFronts,1000,3,1500,0.5,1400,0.4173524261862248
RE3D,extremePointsFronts,1000,3,2300,0.7666666666666667,1900,0.4462108118081121
RE3D,extremePointsFronts,1000,3,3000,1.0,2700,0.3952086127425665
RE3D,extremePointsFronts,1000,4,300,0.1,200,0.41731020481163816
RE3D,extremePointsFronts,1000,4,800,0.26666666666666666,800,0.39052803234648603
RE3D,extremePointsFronts,1000,4,1500,0.5,1100,0.3477016454902623
RE3D,extremePointsFronts,1000,4,2300,0.7666666666666667,1700,0.3477016346853532
RE3D,extremePointsFronts,1000,4,3000,1.0,2700,0.4249797932067374
RE3D,extremePointsFronts,1000,5,300,0.1,300,0.36279988403014496
RE3D,extremePointsFronts,1000,5,800,0.26666666666666666,700,0.19684304475986664
RE3D,extremePointsFronts,1000,5,1500,0.5,1500,0.25708033042272294
RE3D,extremePointsFronts,1000,5,2300,0.7666666666666667,1900,0.2345139109567873
RE3D,extremePointsFronts,1000,5,3000,1.0,2700,0.2256576051741132
RE3D,extremePointsFronts,1000,6,300,0.1,300,0.5734470940914628
RE3D,extremePointsFronts,1000,6,800,0.26666666666666666,700,0.3824047230502236
RE3D,extremePointsFronts,1000,6,1500,0.5,1500,0.4387414069385671
RE3D,extremePointsFronts,1000,6,2300,0.7666666666666667,1800,0.4295086439740222
RE3D,extremePointsFronts,1000,6,3000,1.0,1800,0.4295086439740222
RE3D,extremePointsFronts,1000,7,300,0.1,300,0.3217910887573742
RE3D,extremePointsFronts,1000,7,800,0.26666666666666666,700,0.2907647901285353
RE3D,extremePointsFronts,1000,7,1500,0.5,1500,0.22912893237051513
RE3D,extremePointsFronts,1000,7,2300,0.7666666666666667,2000,0.2595511714216394
RE3D,extremePointsFronts,1000,7,3000,1.0,2600,0.17750007035190646
RE3D,extremePointsFronts,1000,8,300,0.1,200,0.36473947388919054
RE3D,extremePointsFronts,1000,8,800,0.26666666666666666,800,0.22604451668643122
RE3D,extremePointsFronts,1000,8,1500,0.5,1500,0.20982159273389692
RE3D,extremePointsFronts,1000,8,2300,0.7666666666666667,1600,0.25438121249358714
RE3D,extremePointsFronts,1000,8,3000,1.0,1600,0.25438121249358714
RE3D,extremePointsFronts,1000,9,300,0.1,300,0.467117685033944
RE3D,extremePointsFronts,1000,9,800,0.26666666666666666,700,0.45301853959321076
RE3D,extremePointsFronts,1000,9,1500,0.5,1500,0.3523060852329635
RE3D,extremePointsFronts,1000,9,2300,0.7666666666666667,2200,0.38354651787477495
RE3D,extremePointsFronts,1000,9,3000,1.0,2200,0.38354651787477495
RE3D,extremePointsFronts,1000,10,300,0.1,200,0.24557739080344076
RE3D,extremePointsFronts,1000,10,800,0.26666666666666666,700,0.14334073793807772
RE3D,extremePointsFronts,1000,10,1500,0.5,1400,0.12066137218976133
RE3D,extremePointsFronts,1000,10,2300,0.7666666666666667,2200,0.1177759986964555
RE3D,extremePointsFronts,1000,10,3000,1.0,2700,0.14655854353944492
RE3D,extremePointsFronts,1000,11,300,0.1,300,0.20254388303821494
RE3D,extremePointsFronts,1000,11,800,0.26666666666666666,800,0.226834607018382
RE3D,extremePointsFronts,1000,11,1500,0.5,1500,0.15455646535931167
RE3D,extremePointsFronts,1000,11,2300,0.7666666666666667,2300,0.1045693325873776
RE3D,extremePointsFronts,1000,11,3000,1.0,2300,0.1045693325873776
RE3D,extremePointsFronts,1000,12,300,0.1,200,0.5754118940672878
RE3D,extremePointsFronts,1000,12,800,0.26666666666666666,700,0.43112428676055387
RE3D,extremePointsFronts,1000,12,1500,0.5,1300,0.4062983299446665
RE3D,extremePointsFronts,1000,12,2300,0.7666666666666667,2300,0.39933860670899
RE3D,extremePointsFronts,1000,12,3000,1.0,2900,0.3936633807171387
RE3D,extremePointsFronts,1000,13,300,0.1,300,0.3877734416127678
RE3D,extremePointsFronts,1000,13,800,0.26666666666666666,800,0.37067297641823815
RE3D,extremePointsFronts,1000,13,1500,0.5,1300,0.41519001796230887
RE3D,extremePointsFronts,1000,13,2300,0.7666666666666667,2100,0.35254720296914
RE3D,extremePointsFronts,1000,13,3000,1.0,2700,0.3225738350967747
RE3D,extremePointsFronts,1000,14,300,0.1,300,0.36727604100927863
RE3D,extremePointsFronts,1000,14,800,0.26666666666666666,800,0.30927214991815155
RE3D,extremePointsFronts,1000,14,1500,0.5,1100,0.33565678983119607
RE3D,extremePointsFronts,1000,14,2300,0.7666666666666667,2200,0.291990836828085
RE3D,extremePointsFronts,1000,14,3000,1.0,2200,0.291990836828085
RE3D,extremePointsFronts,1000,15,300,0.1,200,0.23774041736101292
RE3D,extremePointsFronts,1000,15,800,0.26666666666666666,800,0.27018927195631554
RE3D,extremePointsFronts,1000,15,1500,0.5,1500,0.265039987397295
RE3D,extremePointsFronts,1000,15,2300,0.7666666666666667,2200,0.3740932156071258
RE3D,extremePointsFronts,1000,15,3000,1.0,2800,0.3440583326060384
RE3D,extremePointsFronts,1000,16,300,0.1,300,0.3005171247103308
RE3D,extremePointsFronts,1000,16,800,0.26666666666666666,800,0.42288922941568335
RE3D,extremePointsFronts,1000,16,1500,0.5,1400,0.422556946842052
RE3D,extremePointsFronts,1000,16,2300,0.7666666666666667,2000,0.4229475397079261
RE3D,extremePointsFronts,1000,16,3000,1.0,2000,0.4229475397079261
RE3D,extremePointsFronts,1000,17,300,0.1,300,0.4868164043886249
RE3D,extremePointsFronts,1000,17,800,0.26666666666666666,700,0.25700239872549535
RE3D,extremePointsFronts,1000,17,1500,0.5,1400,0.24400087229900463
RE3D,extremePointsFronts,1000,17,2300,0.7666666666666667,1800,0.2130373563532374
RE3D,extremePointsFronts,1000,17,3000,1.0,2600,0.26977042976932797
RE3D,extremePointsFronts,1000,18,300,0.1,300,0.3708963093266304
RE3D,extremePointsFronts,1000,18,800,0.26666666666666666,700,0.16487772955138533
RE3D,extremePointsFronts,1000,18,1500,0.5,1500,0.14663119184834061
RE3D,extremePointsFronts,1000,18,2300,0.7666666666666667,2100,0.1908575917866976
RE3D,extremePointsFronts,1000,18,3000,1.0,2700,0.1352522495855921
RE3D,extremePointsFronts,1000,19,300,0.1,200,0.4561992283691526
RE3D,extremePointsFronts,1000,19,800,0.26666666666666666,800,0.2751360199398068
RE3D,extremePointsFronts,1000,19,1500,0.5,1300,0.4064679971517858
RE3D,extremePointsFronts,1000,19,2300,0.7666666666666667,2100,0.3966951547813845
RE3D,extremePointsFronts,1000,19,3000,1.0,2600,0.39026052530632216
RE3D,extremePointsFronts,1000,20,300,0.1,300,0.44922684469767854
RE3D,extremePointsFronts,1000,20,800,0.26666666666666666,800,0.41320122700191253
RE3D,extremePointsFronts,1000,20,1500,0.5,1400,0.406323596634599
RE3D,extremePointsFronts,1000,20,2300,0.7666666666666667,1400,0.406323596634599
RE3D,extremePointsFronts,1000,20,3000,1.0,2400,0.399459221639077
RE3D,extremePointsFronts,1000,21,300,0.1,300,0.3417679401218116
RE3D,extremePointsFronts,1000,21,800,0.26666666666666666,800,0.47368997987400474
RE3D,extremePointsFronts,1000,21,1500,0.5,1400,0.46786860830703036
RE3D,extremePointsFronts,1000,21,2300,0.7666666666666667,2300,0.4590098066475895
RE3D,extremePointsFronts,1000,21,3000,1.0,2600,0.4616675970831048
RE3D,extremePointsFronts,1000,22,300,0.1,300,0.4862609346311853
RE3D,extremePointsFronts,1000,22,800,0.26666666666666666,800,0.3767817300841105
RE3D,extremePointsFronts,1000,22,1500,0.5,1400,0.3597049515986037
RE3D,extremePointsFronts,1000,22,2300,0.7666666666666667,2200,0.3607887527033509
RE3D,extremePointsFronts,1000,22,3000,1.0,2800,0.3606807830163663
RE3D,extremePointsFronts,1000,23,300,0.1,300,0.43482228942383905
RE3D,extremePointsFronts,1000,23,800,0.26666666666666666,700,0.4459601011543741
RE3D,extremePointsFronts,1000,23,1500,0.5,1500,0.4127008029935658
RE3D,extremePointsFronts,1000,23,2300,0.7666666666666667,2300,0.36829202691824603
RE3D,extremePointsFronts,1000,23,3000,1.0,2400,0.3507163600425087
RE3D,extremePointsFronts,1000,24,300,0.1,300,0.27538861831706507
RE3D,extremePointsFronts,1000,24,800,0.26666666666666666,700,0.10596563580571303
RE3D,extremePointsFronts,1000,24,1500,0.5,1400,0.09934050058240655
RE3D,extremePointsFronts,1000,24,2300,0.7666666666666667,2200,0.016104522609879185
RE3D,extremePointsFronts,1000,24,3000,1.0,2900,0.0
RE3D,extremePointsFronts,1000,25,300,0.1,300,0.4788365574461734
RE3D,extremePointsFronts,1000,25,800,0.26666666666666666,700,0.3775465036745107
RE3D,extremePointsFronts,1000,25,1500,0.5,1500,0.33067793003726603
