Evaluation,median_running_best_hv,family,front_type,budget,total_cost,reference_hv,pct_reference_hv
100,0.8421781099212774,RE3D,referenceFronts,1000,100000,0.8516409093858637,98.88887448215586
200,0.8445027680789319,RE3D,referenceFronts,1000,200000,0.8516409093858637,99.16183672857153
300,0.8460133051270193,RE3D,referenceFronts,1000,300000,0.8516409093858637,99.33920456417452
400,0.847024915854887,RE3D,referenceFronts,1000,400000,0.8516409093858637,99.45798828119878
500,0.8476974918298138,RE3D,referenceFronts,1000,500000,0.8516409093858637,99.53696240838248
600,0.848195490747581,RE3D,referenceFronts,1000,600000,0.8516409093858637,99.59543763101196
700,0.8487330124495343,RE3D,referenceFronts,1000,700000,0.8516409093858637,99.6585536340162
800,0.8489519506983934,RE3D,referenceFronts,1000,800000,0.8516409093858637,99.6842614465985
900,0.8490917042816157,RE3D,referenceFronts,1000,900000,0.8516409093858637,99.70067136557752
1000,0.8492535350874424,RE3D,referenceFronts,1000,1000000,0.8516409093858637,99.71967360044471
1100,0.8493156231883052,RE3D,referenceFronts,1000,1100000,0.8516409093858637,99.72696400889956
1200,0.8493865970880494,RE3D,referenceFronts,1000,1200000,0.8516409093858637,99.73529779124398
1300,0.8494484368765258,RE3D,referenceFronts,1000,1300000,0.8516409093858637,99.74255904276382
1400,0.8495555554260902,RE3D,referenceFronts,1000,1400000,0.8516409093858637,99.75513694365888
1500,0.8495678057998025,RE3D,referenceFronts,1000,1500000,0.8516409093858637,99.75657538720678
1600,0.8495965385096438,RE3D,referenceFronts,1000,1600000,0.8516409093858637,99.75994919294163
1700,0.8496487937467321,RE3D,referenceFronts,1000,1700000,0.8516409093858637,99.7660850227864
1800,0.8496835313488813,RE3D,referenceFronts,1000,1800000,0.8516409093858637,99.77016392526355
1900,0.8497136951868909,RE3D,referenceFronts,1000,1900000,0.8516409093858637,99.77370577461309
2000,0.8497136951868909,RE3D,referenceFronts,1000,2000000,0.8516409093858637,99.77370577461309
