scope,front_type,budget,parameter,stabilization_eval,total_evals,pct_budget_at_stabilization
RE3D,referenceFronts,7000,populationSizeWithArchive,100,3000,3.3
RE3D,referenceFronts,7000,powerLawMutationDelta,100,3000,3.3
RE3D,referenceFronts,7000,mutationProbabilityFactor,100,3000,3.3
RE3D,referenceFronts,7000,crossoverProbability,100,3000,3.3
RWA3D,referenceFronts,7000,populationSizeWithArchive,100,3000,3.3
RWA3D,referenceFronts,7000,powerLawMutationDelta,100,3000,3.3
RWA3D,referenceFronts,7000,mutationProbabilityFactor,100,3000,3.3
RWA3D,referenceFronts,7000,crossoverProbability,100,3000,3.3
RE3D,extremePointsFronts,7000,populationSizeWithArchive,100,3000,3.3
RE3D,extremePointsFronts,7000,powerLawMutationDelta,100,3000,3.3
RE3D,extremePointsFronts,7000,mutationProbabilityFactor,100,3000,3.3
RE3D,extremePointsFronts,7000,crossoverProbability,100,3000,3.3
RWA3D,extremePointsFronts,7000,populationSizeWithArchive,100,3000,3.3
RWA3D,extremePointsFronts,7000,powerLawMutationDelta,100,3000,3.3
RWA3D,extremePointsFronts,7000,mutationProbabilityFactor,100,3000,3.3
RWA3D,extremePointsFronts,7000,crossoverProbability,100,3000,3.3
